,combined
3,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 46-52"
4,IS: 0022-0515
5,AV: http://www.aeaweb.org/jel/index.php
6,DT: Journal Article
7,PY: 1970
8,DE: Economic Studies of Developing Countries--Asian Countries 1214Economic and Social Statistical Data and Analysis--General 2200
9,GD: Asia
10,GR: Asia
11,LA: English
12,UD: 199006
13,AN: 0056935
14,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
15,TI: Public Finance in the International Encyclopedia of the Social Sciences: A Review Article
16,"AU: Goode, Richard"
17,AF: Unlisted
18,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 27-34"
19,IS: 0022-0515
20,AV: http://www.aeaweb.org/jel/index.php
21,DT: Journal Article
22,PY: 1970
23,"DE: Fiscal Theory and Policy, Public Finance--General 3200"
24,LA: English
25,UD: 199006
26,AN: 0056936
27,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
28,TI: A Note on Cambridge Controversies in Capital Theory: A Reply to the Comment by Nell
29,"AU: Harcourt, G. C."
30,AF: Unlisted
31,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 44-45"
32,IS: 0022-0515
33,AV: http://www.aeaweb.org/jel/index.php
34,DT: Journal Article
35,PY: 1970
36,DE: Growth Theories--General 1110Microeconomics--Theory of Factor Distribution and Distributive Shares 0224
37,LA: English
38,UD: 199006
39,AN: 0056937
40,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
41,TI: The Distribution of Labor Incomes: A Survey with Special Reference to the Human Capital Approach
42,"AU: Mincer, Jacob"
43,AF: Unlisted
44,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 1-26"
45,IS: 0022-0515
46,AV: http://www.aeaweb.org/jel/index.php
47,DT: Journal Article
48,PY: 1970
49,"DE: Income Distribution 2213Human Capital, Value of Human Life 8510"
50,LA: English
51,UD: 199006
52,AN: 0056938
53,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
54,TI: Some Comments on the Treatment of the Problems of the Inadequate Statistics of South Asia Countries in Asian Drama: A Reply to the Comment by Ely
55,"AU: Myrdal, Gunnar"
56,AF: Unlisted
57,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 52-53"
58,IS: 0022-0515
59,AV: http://www.aeaweb.org/jel/index.php
60,DT: Journal Article
61,PY: 1970
62,DE: Economic Studies of Developing Countries--Asian Countries 1214Economic and Social Statistical Data and Analysis--General 2200
63,GD: Asia
64,GR: Asia
65,LA: English
66,UD: 199006
67,AN: 0056939
68,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
69,TI: A Note on Cambridge Controversies in Capital Theory
70,"AU: Nell, Edward J."
71,AF: Unlisted
72,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 41-44"
73,IS: 0022-0515
74,AV: http://www.aeaweb.org/jel/index.php
75,DT: Journal Article
76,PY: 1970
77,DE: Growth Theories--General 1110Microeconomics--Theory of Factor Distribution and Distributive Shares 0224
78,LA: English
79,UD: 199006
80,AN: 0056940
81,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
82,TI: Economic History in the International Encyclopedia of the Social Sciences: A Review Article
83,"AU: Taylor, George Rogers"
84,AF: Unlisted
85,"SO: Journal of Economic Literature, 8(1), March 1970, pp. 35-40"
86,IS: 0022-0515
87,AV: http://www.aeaweb.org/jel/index.php
88,DT: Journal Article
89,PY: 1970
90,DE: Economic History--General 0410
91,LA: English
92,UD: 199006
93,AN: 0056941
94,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
95,TI: A Comment on 'Cost-Benefit Analysis and the Theory of Public Finance'
96,"AU: Aronson, J. Richard"
97,AF: Unlisted
98,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 442-43"
99,IS: 0022-0515
100,AV: http://www.aeaweb.org/jel/index.php
101,DT: Journal Article
102,PY: 1970
103,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212Welfare Theory--Allocative Efficiency including Theory of Cost-Benefit 0242"
104,LA: English
105,UD: 199006
106,AN: 0056942
107,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
108,TI: International Economics in the International Encyclopedia of the Social Sciences
109,"AU: Cooper, Richard N."
110,AF: Unlisted
111,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 435-39"
112,IS: 0022-0515
113,AV: http://www.aeaweb.org/jel/index.php
114,DT: Journal Article
115,PY: 1970
116,DE: International Trade Theory--General 4110History of Economic Thought--General 0310
117,LA: English
118,UD: 199006
119,AN: 0056943
120,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
121,TI: Agriculture and Structural Transformation in Developing Countries: A Survey of Research
122,"AU: Johnston, Bruce F."
123,AF: Unlisted
124,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 369-404"
125,IS: 0022-0515
126,AV: http://www.aeaweb.org/jel/index.php
127,DT: Journal Article
128,PY: 1970
129,DE: Economic Studies of Developing Countries--General 1210Agriculture--General 7100Economic Development Models and Theories 1120
130,LA: English
131,UD: 199006
132,AN: 0056944
133,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
134,TI: R. A. Musgraves's Reply to Skolnik and Aronson
135,"AU: Musgrave, Richard A."
136,AF: Unlisted
137,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 443"
138,IS: 0022-0515
139,AV: http://www.aeaweb.org/jel/index.php
140,DT: Journal Article
141,PY: 1970
142,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212Welfare Theory--Allocative Efficiency including Theory of Cost-Benefit 0242"
143,LA: English
144,UD: 199006
145,AN: 0056945
146,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
147,TI: A Curmudgeon's Guide to Microeconomics
148,"AU: Shubik, Martin"
149,AF: Unlisted
150,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 405-34"
151,IS: 0022-0515
152,AV: http://www.aeaweb.org/jel/index.php
153,DT: Journal Article
154,PY: 1970
155,DE: Microeconomic Theory--General 0220
156,LA: English
157,UD: 199006
158,AN: 0056946
159,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
160,TI: A Comment on Professor Musgrave's Separation of Distribution from Allocation
161,"AU: Skolnik, M. L."
162,AF: Unlisted
163,"SO: Journal of Economic Literature, 8(2), June 1970, pp. 440-42"
164,IS: 0022-0515
165,AV: http://www.aeaweb.org/jel/index.php
166,DT: Journal Article
167,PY: 1970
168,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212Welfare Theory--Allocative Efficiency including Theory of Cost-Benefit 0242"
169,LA: English
170,UD: 199006
171,AN: 0056947
172,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
173,TI: Economists' Perception of Minority Economic Problems: A View of Emerging Literature
174,"AU: Brimmer, Andrew F., Harper, Harriett"
175,"AF: Unlisted, Unlisted"
176,"SO: Journal of Economic Literature, 8(3), September 1970, pp. 783-806"
177,IS: 0022-0515
178,AV: http://www.aeaweb.org/jel/index.php
179,DT: Journal Article
180,PY: 1970
181,"DE: Economics of Health (including medical subsidy programs) 9130Economics of Poverty 9140Economics of Minorities, Economics of Discrimination 9170Urban Economics and Public Policy 9310"
182,GD: U.S.
183,GR: Northern America
184,LA: English
185,UD: 199006
186,AN: 0056948
187,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
188,TI: Radical Economics in America: A 1970 Survey
189,"AU: Bronfenbrenner, Martin"
190,AF: Unlisted
191,"SO: Journal of Economic Literature, 8(3), September 1970, pp. 747-66"
192,IS: 0022-0515
193,AV: http://www.aeaweb.org/jel/index.php
194,DT: Journal Article
195,PY: 1970
196,"DE: Role of Economics, Role of Economists 0112"
197,GD: U.S.
198,GR: Northern America
199,LA: English
200,UD: 199006
201,AN: 0056949
202,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
203,TI: On Some Current Issues in Monetary Economics: An Interpretation
204,"AU: Smith, Warren L."
205,AF: Unlisted
206,"SO: Journal of Economic Literature, 8(3), September 1970, pp. 767-82"
207,IS: 0022-0515
208,AV: http://www.aeaweb.org/jel/index.php
209,DT: Journal Article
210,PY: 1970
211,"DE: Domestic Monetary Theory, Empirical Studies Illustrating Theory 3112Macroeconomic Theory--General 0230"
212,LA: English
213,UD: 199006
214,AN: 0056950
215,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
216,TI: Ernest Mandel's Marxist Economic Theory: A Review Article
217,"AU: Guelfat, Isaac"
218,AF: Unlisted
219,"SO: Journal of Economic Literature, 8(4), December 1970, pp. 1195-1203"
220,IS: 0022-0515
221,AV: http://www.aeaweb.org/jel/index.php
222,DT: Journal Article
223,PY: 1970
224,DE: History of Economic Thought--Individuals 0322History of Economic Thought--Socialist and Marxian until 1945 0317
225,LA: English
226,UD: 199006
227,AN: 0056951
228,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
229,TI: The Value Added Tax: A Short Review of the Literature
230,"AU: Lindholm, Richard W."
231,AF: Unlisted
232,"SO: Journal of Economic Literature, 8(4), December 1970, pp. 1178-89"
233,IS: 0022-0515
234,AV: http://www.aeaweb.org/jel/index.php
235,DT: Journal Article
236,PY: 1970
237,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212National Taxation, Revenue, and Subsidies 3230"
238,LA: English
239,UD: 199006
240,AN: 0056952
241,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
242,TI: Some Approaches to the Theory and Measurement of Total Factor Productivity: A Survey
243,"AU: Nadiri, M. Ishaq"
244,AF: Unlisted
245,"SO: Journal of Economic Literature, 8(4), December 1970, pp. 1137-77"
246,IS: 0022-0515
247,AV: http://www.aeaweb.org/jel/index.php
248,DT: Journal Article
249,PY: 1970
250,DE: Technological Change and Innovation 6211Productivity and Growth: Theory and Data 2260Macroeconomics--Theory of Aggregate Supply 0234
251,LA: English
252,UD: 199006
253,AN: 0056953
254,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
255,TI: Max Weber's Economy
256,"AU: Schweitzer, Arthur"
257,AF: Unlisted
258,"SO: Journal of Economic Literature, 8(4), December 1970, pp. 1203-09"
259,IS: 0022-0515
260,AV: http://www.aeaweb.org/jel/index.php
261,DT: Journal Article
262,PY: 1970
263,DE: History of Economic Thought--Individuals 0322Relation of Economics to Social Values 0114
264,LA: English
265,UD: 199006
266,AN: 0056954
267,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
268,"TI: The Works, Political, Metaphysical, and Chronological of Sir James Stewart: A Review Article"
269,"AU: Vickers, Douglas"
270,AF: Unlisted
271,"SO: Journal of Economic Literature, 8(4), December 1970, pp. 1190-94"
272,IS: 0022-0515
273,AV: http://www.aeaweb.org/jel/index.php
274,DT: Journal Article
275,PY: 1970
276,DE: History of Economic Thought--Individuals 0322
277,LA: English
278,UD: 199006
279,AN: 0056955
280,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
0,TI: Foreign Economic Aid in the International Encyclopedia of the Social Sciences: A Review Article
1,"AU: Horvath, Janos"
2,AF: Unlisted
3,"SO: Journal of Economic Literature, 9(2), June 1971, pp. 432-41"
4,IS: 0022-0515
5,AV: http://www.aeaweb.org/jel/index.php
6,DT: Journal Article
7,PY: 1971
8,DE: International Lending and Aid (Public) 4430
9,LA: English
10,UD: 199006
11,AN: 0060400
12,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
13,TI: Soviet Views on Keynes: A Review Article Surveying the Literature
14,"AU: Letiche, J. M."
15,AF: Unlisted
16,"SO: Journal of Economic Literature, 9(2), June 1971, pp. 442-58"
17,IS: 0022-0515
18,AV: http://www.aeaweb.org/jel/index.php
19,DT: Journal Article
20,PY: 1971
21,"DE: History of Economic Thought--Individuals 0322History of Economic Thought--Austrian, Marshallian, Neoclassical 0315Comparative Economic Systems 0530"
22,GD: U.S.S.R.
23,GR: Asia
24,LA: English
25,UD: 199006
26,AN: 0060401
27,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
28,TI: Understanding the Marxian Notion of Exploitation: A Summary of the So-Called Transformation Problem Between Marxian Values and Competitive Prices
29,"AU: Samuelson, Paul A."
30,AF: Unlisted
31,"SO: Journal of Economic Literature, 9(2), June 1971, pp. 399-431"
32,IS: 0022-0515
33,AV: http://www.aeaweb.org/jel/index.php
34,DT: Journal Article
35,PY: 1971
36,"DE: History of Economic Thought--Socialist and Marxian until 1945 0317History of Economic Thought--Individuals 0322History of Economic Thought--Classical 0314Microeconomics--Theory of Firm and Industry under Competitive Market Structures 0225History of Economic Thought--Austrian, Marshallian, Neoclassical 0315Comparative Economic Systems 0530"
37,LA: English
38,UD: 199006
39,AN: 0060402
40,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
41,TI: Ability and the Investment in Schooling: A Theoretical Note on J. Mincer's 'Distribution of Labor Income'
42,"AU: Weiss, Yoram"
43,AF: Unlisted
44,"SO: Journal of Economic Literature, 9(2), June 1971, pp. 459-61"
45,IS: 0022-0515
46,AV: http://www.aeaweb.org/jel/index.php
47,DT: Journal Article
48,PY: 1971
49,"DE: Human Capital, Value of Human Life 8510National Income Accounts 2212"
50,LA: English
51,UD: 199006
52,AN: 0060403
53,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
54,TI: Increasing the Efficiency of the Economics Journal Market
55,"AU: Berg, Sanford V."
56,AF: Unlisted
57,"SO: Journal of Economic Literature, 9(3), September 1971, pp. 798-13"
58,IS: 0022-0515
59,AV: http://www.aeaweb.org/jel/index.php
60,DT: Journal Article
61,PY: 1971
62,"DE: General Economics 0110Industry Studies--Electrical, Gas, Communication, and Information Services 6352"
63,LA: English
64,UD: 199006
65,AN: 0060404
66,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
67,TI: Michal Kalecki's Introduction to the theory of growth in a Socialist economy: A Review Article
68,"AU: Feiwel, George R."
69,AF: Unlisted
70,"SO: Journal of Economic Literature, 9(3), September 1971, pp. 814-18"
71,IS: 0022-0515
72,AV: http://www.aeaweb.org/jel/index.php
73,DT: Journal Article
74,PY: 1971
75,DE: One and Two Sector Growth Models and Related Topics 1112Socialist and Communist Economic Systems 0520History of Economic Thought--Individuals 0322
76,LA: English
77,UD: 199006
78,AN: 0060405
79,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
80,TI: Three Basic Postulates for Applied Welfare Economics: An Interpretive Essay
81,"AU: Harberger, Arnold C."
82,AF: Unlisted
83,"SO: Journal of Economic Literature, 9(3), September 1971, pp. 785-97"
84,IS: 0022-0515
85,AV: http://www.aeaweb.org/jel/index.php
86,DT: Journal Article
87,PY: 1971
88,DE: Welfare Theory--General 0240Welfare Theory--Allocative Efficiency including Theory of Cost-Benefit 0242
89,LA: English
90,UD: 199006
91,AN: 0060406
92,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
93,TI: The Demand for International Reserves: A Critical Review of the Literature
94,"AU: Grubel, Herbert G."
95,AF: Unlisted
96,"SO: Journal of Economic Literature, 9(4), December 1971, pp. 1148-66"
97,IS: 0022-0515
98,AV: http://www.aeaweb.org/jel/index.php
99,DT: Journal Article
100,PY: 1971
101,"DE: Open Economy Macroeconomics, Exchange Rates--General 4310"
102,LA: English
103,UD: 199006
104,AN: 0061965
105,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
106,TI: Econometric Studies of Investment Behavior: A Survey
107,"AU: Jorgenson, Dale W."
108,AF: Unlisted
109,"SO: Journal of Economic Literature, 9(4), December 1971, pp. 1111-47"
110,IS: 0022-0515
111,AV: http://www.aeaweb.org/jel/index.php
112,DT: Journal Article
113,PY: 1971
114,DE: Macroeconomics--Theory of Aggregate Demand: Investment 0233Business Investment 5220
115,LA: English
116,UD: 199006
117,AN: 0061966
118,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
119,TI: The Value Added Tax: Critique of a Review
120,"AU: Krauss, Mel, Bird, Richard M."
121,"AF: Unlisted, Unlisted"
122,"SO: Journal of Economic Literature, 9(4), December 1971, pp. 1167-73"
123,IS: 0022-0515
124,AV: http://www.aeaweb.org/jel/index.php
125,DT: Journal Article
126,PY: 1971
127,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212National Taxation, Revenue, and Subsidies 3230"
128,LA: English
129,UD: 199006
130,AN: 0061967
131,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
132,TI: The Value Added Tax: Rejoinder to a Critique
133,"AU: Lindholm, Richard W."
134,AF: Unlisted
135,"SO: Journal of Economic Literature, 9(4), December 1971, pp. 1173-79"
136,IS: 0022-0515
137,AV: http://www.aeaweb.org/jel/index.php
138,DT: Journal Article
139,PY: 1971
140,"DE: Fiscal Theory, Empirical Studies Illustrating Fiscal Theory 3212National Taxation, Revenue, and Subsidies 3230"
141,LA: English
142,UD: 199006
143,AN: 0061968
144,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
145,TI: Investment Cycles in European Socialist Economies: A Review Article
146,"AU: Bajt, Alexander"
147,AF: Unlisted
148,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 53-63"
149,IS: 0022-0515
150,AV: http://www.aeaweb.org/jel/index.php
151,DT: Journal Article
152,PY: 1971
153,DE: Economic Fluctuations--General 1310
154,GD: E. Europe
155,GR: Europe
156,LA: English
157,UD: 199409
158,AN: 0046800
159,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
160,TI: The Role of Scholarly Journals in the History of Economics: An Essay
161,"AU: Coats, A. W."
162,AF: Unlisted
163,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 29-44"
164,IS: 0022-0515
165,AV: http://www.aeaweb.org/jel/index.php
166,DT: Journal Article
167,PY: 1971
168,DE: General Economics 0110
169,LA: English
170,UD: 199409
171,AN: 0046801
172,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
173,TI: Some Comments on the Treatment of Problems of the Inadequate Statistics in the United States: Precept and Practice
174,"AU: Framingham, C. F., Macmillan, J. A."
175,"AF: Unlisted, Unlisted"
176,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 64-67"
177,IS: 0022-0515
178,AV: http://www.aeaweb.org/jel/index.php
179,DT: Journal Article
180,PY: 1971
181,"DE: Survey Methods, Sampling Methods 2117Microdata and Database Analysis 2290"
182,GD: U.S.
183,GR: Northern America
184,LA: English
185,UD: 199409
186,AN: 0046802
187,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
188,TI: Some Cambridge Controversies in the Theory of Capital: Reply
189,"AU: Harcourt, G. C."
190,AF: Unlisted
191,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 69-70"
192,IS: 0022-0515
193,AV: http://www.aeaweb.org/jel/index.php
194,DT: Journal Article
195,PY: 1971
196,DE: Macroeconomics--Theory of Aggregate Distribution 0235
197,LA: English
198,UD: 199409
199,AN: 0046803
200,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
201,"TI: The Bulletins of N.Y.U.'s Institute of Finance, 1926-1970: A Review Article"
202,"AU: Katz, Samuel I."
203,AF: Unlisted
204,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 45-52"
205,IS: 0022-0515
206,AV: http://www.aeaweb.org/jel/index.php
207,DT: Journal Article
208,PY: 1971
209,DE: General Economics 0110
210,LA: English
211,UD: 199409
212,AN: 0046804
213,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
214,TI: The Postwar Literature on Externalities: An Interpretative Essay
215,"AU: Mishan, E. J."
216,AF: Unlisted
217,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 1-28"
218,IS: 0022-0515
219,AV: http://www.aeaweb.org/jel/index.php
220,DT: Journal Article
221,PY: 1971
222,DE: Welfare Theory--Externalities 0244
223,LA: English
224,UD: 199409
225,AN: 0046805
226,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
227,"TI: A Note on ""Some Cambridge Controversies in the Theory of Capital."""
228,"AU: Ng, Yew-Kwang"
229,AF: Unlisted
230,"SO: Journal of Economic Literature, 9(1), March 1971, pp. 68-69"
231,IS: 0022-0515
232,AV: http://www.aeaweb.org/jel/index.php
233,DT: Journal Article
234,PY: 1971
235,DE: Macroeconomics--Theory of Aggregate Distribution 0235
236,LA: English
237,UD: 199409
238,AN: 0046806
239,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
0,TI: Copeland's Moneyflows After Twenty-Five Years: A Survey
1,"AU: Cohen, Jacob"
2,AF: Unlisted
3,"SO: Journal of Economic Literature, 10(1), March 1972, pp. 1-25"
4,IS: 0022-0515
5,AV: http://www.aeaweb.org/jel/index.php
6,DT: Journal Article
7,PY: 1972
8,"DE: Domestic Monetary Theory and Policy 3110Financial Accounts, Financial Statistics, Empirical Analyses of Capital Adequacy 2230"
9,LA: English
10,UD: 199006
11,AN: 0065262
12,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
13,"TI: Was Keynes a ""Keynesian""? A Review Article"
14,"AU: Grossman, Herschel I."
15,AF: Unlisted
