,index,ArticleID,Journal,PubDate,Title,Abstract,Language,Received,Accepted,Volume,Issue,Part,FirstPage,LastPage,Comments,CiteCount,Note
0,MISSING,MISSING,QJE,MISSING,Capitalists in the Twenty-First Century,"How important is human capital at the top of the U.S. income distribution? A primary source of top income is private “pass-through” business profit, which can include entrepreneurial labor income for tax reasons. This article asks whether top pass-through profit mostly reflects human capital, defined as all inalienable factors embodied in business owners, rather than financial capital. Tax data linking 11 million firms to their owners show that top pass-through profit accrues to working-age owners of closely held mid-market firms in skill-intensive industries. Pass-through profit falls by three-quarters after owner retirement or premature death. Classifying three-quarters of pass-through profit as human capital income, we find that the typical top earner derives most of her income from human capital, not financial capital. Growth in pass-through profit is explained by both rising productivity and a rising share of value added accruing to owners.",MISSING,MISSING,MISSING,134,4,MISSING,1675,1745,MISSING,2 ,MISSING
0,MISSING,MISSING,QJE,MISSING,What do Workplace Wellness Programs do? Evidence from the Illinois Workplace Wellness Study,"Workplace wellness programs cover over 50 million U.S. workers and are intended to reduce medical spending, increase productivity, and improve well-being. Yet limited evidence exists to support these claims. We designed and implemented a comprehensive workplace wellness program for a large employer and randomly assigned program eligibility and financial incentives at the individual level for nearly 5,000 employees. We find strong patterns of selection: during the year prior to the intervention, program participants had lower medical expenditures and healthier behaviors than nonparticipants. The program persistently increased health screening rates, but we do not find significant causal effects of treatment on total medical expenditures, other health behaviors, employee productivity, or self-reported health status after more than two years. Our 95% confidence intervals rule out 84% of previous estimates on medical spending and absenteeism.",MISSING,MISSING,MISSING,134,4,MISSING,1747,1791,MISSING,14 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Food Deserts and the Causes of Nutritional Inequality,"We study the causes of “nutritional inequality”: why the wealthy eat more healthfully than the poor in the United States. Exploiting supermarket entry and household moves to healthier neighborhoods, we reject that neighborhood environments contribute meaningfully to nutritional inequality. We then estimate a structural model of grocery demand, using a new instrument exploiting the combination of grocery retail chains’ differing presence across geographic markets with their differing comparative advantages across product groups. Counterfactual simulations show that exposing low-income households to the same products and prices available to high-income households reduces nutritional inequality by only about 10%, while the remaining 90% is driven by differences in demand. These findings counter the argument that policies to increase the supply of healthy groceries could play an important role in reducing nutritional inequality.",MISSING,MISSING,MISSING,134,4,MISSING,1793,1844,MISSING,5 ,MISSING
0,MISSING,MISSING,QJE,MISSING,How Wide Is the Firm Border?,"We examine the within- and across-firm shipment decisions of tens of thousands of goods-producing and goods-distributing establishments. This allows us to quantify the normally unobservable forces that determine firm boundaries, that is, which transactions are mediated by ownership control, as opposed to contracts or markets. We find firm boundaries to be an economically significant barrier to trade: having an additional vertically integrated establishment in a given destination ZIP code has the same effect on shipment volumes as a 40% reduction in distance. These effects are larger for high value-to-weight products, faraway destinations, differentiated products, and IT-intensive industries.",MISSING,MISSING,MISSING,134,4,MISSING,1845,1882,MISSING,4 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Industrial Policies in Production Networks,"Many developing economies adopt industrial policies favoring selected sectors. Is there an economic logic to this type of intervention? I analyze industrial policy when economic sectors form a production network via input-output linkages. Market imperfections generate distortionary effects that compound through backward demand linkages, causing upstream sectors to become the sink for imperfections and have the greatest size distortions. My key finding is that the distortion in sectoral size is a sufficient statistic for the social value of promoting that sector; thus, there is an incentive for a well-meaning government to subsidize upstream sectors. Furthermore, sectoral interventions’ aggregate effects can be simply summarized, to first order, by the cross-sector covariance between my sufficient statistic and subsidy spending. My sufficient statistic predicts sectoral policies in South Korea in the 1970s and modern-day China, suggesting that sectoral interventions might have generated positive aggregate effects in these economies.",MISSING,MISSING,MISSING,134,4,MISSING,1883,1948,MISSING,1 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Shift-Share Designs: Theory and Inference,"We study inference in shift-share regression designs, such as when a regional outcome is regressed on a weighted average of sectoral shocks, using regional sector shares as weights. We conduct a placebo exercise in which we estimate the effect of a shift-share regressor constructed with randomly generated sectoral shocks on actual labor market outcomes across U.S. commuting zones. Tests based on commonly used standard errors with 5% nominal significance level reject the null of no effect in up to 55% of the placebo samples. We use a stylized economic model to show that this overrejection problem arises because regression residuals are correlated across regions with similar sectoral shares, independent of their geographic location. We derive novel inference methods that are valid under arbitrary cross-regional correlation in the regression residuals. We show using popular applications of shift-share designs that our methods may lead to substantially wider confidence intervals in practice.",MISSING,MISSING,MISSING,134,4,MISSING,1949,2010,MISSING,2 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Uniform Pricing in U.S. Retail Chains,"We show that most U.S. food, drugstore, and mass-merchandise chains charge nearly uniform prices across stores, despite wide variation in consumer demographics and competition. Demand estimates reveal substantial within-chain variation in price elasticities and suggest that the median chain sacrifices ${\$}$16 million of annual profit relative to a benchmark of optimal prices. In contrast, differences in average prices between chains are broadly consistent with the optimal benchmark. We discuss a range of explanations for nearly uniform pricing, highlighting managerial inertia and brand image concerns as mechanisms frequently mentioned by industry participants. Relative to our optimal benchmark, uniform pricing may significantly increase the prices paid by poorer households relative to the rich, dampen the response of prices to local economic shocks, alter the analysis of mergers in antitrust, and shift the incidence of intranational trade costs.",MISSING,MISSING,MISSING,134,4,MISSING,2011,2084,MISSING,20 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Promotions and the Peter Principle,"The best worker is not always the best candidate for manager. In these cases, do firms promote the best potential manager or the best worker in their current job? Using microdata on the performance of sales workers at 131 firms, we find evidence consistent with the Peter Principle, which proposes that firms prioritize current job performance in promotion decisions at the expense of other observable characteristics that better predict managerial performance. We estimate that the costs of promoting workers with lower managerial potential are high, suggesting either that firms are making inefficient promotion decisions or that the benefits of promotion-based incentives are great enough to justify the costs of managerial mismatch. We find that firms manage the costs of the Peter Principle by placing less weight on sales performance in promotion decisions when managerial roles entail greater responsibility and when frontline workers are incentivized by strong pay for performance.",MISSING,MISSING,MISSING,134,4,MISSING,2085,2134,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Firm-Level Political Risk: Measurement and Effects,"We adapt simple tools from computational linguistics to construct a new measure of political risk faced by individual U.S. firms: the share of their quarterly earnings conference calls that they devote to political risks. We validate our measure by showing that it correctly identifies calls containing extensive conversations on risks that are political in nature, that it varies intuitively over time and across sectors, and that it correlates with the firm’s actions and stock market volatility in a manner that is highly indicative of political risk. Firms exposed to political risk retrench hiring and investment and actively lobby and donate to politicians. These results continue to hold after controlling for news about the mean (as opposed to the variance) of political shocks. Interestingly, the vast majority of the variation in our measure is at the firm level rather than at the aggregate or sector level, in the sense that it is captured neither by the interaction of sector and time fixed effects nor by heterogeneous exposure of individual firms to aggregate political risk. The dispersion of this firm-level political risk increases significantly at times with high aggregate political risk. Decomposing our measure of political risk by topic, we find that firms that devote more time to discussing risks associated with a given political topic tend to increase lobbying on that topic, but not on other topics, in the following quarter.",MISSING,MISSING,MISSING,134,4,MISSING,2135,2202,MISSING,16 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Liquidity Affects Job Choice: Evidence from Teach for America,"Can access to a few hundred dollars of liquidity affect the career choice of a recent college graduate? In a three-year field experiment with Teach For America (TFA), a prestigious teacher placement program, we randomly increase the financial packages offered to nearly 7,300 potential teachers who requested support for the transition into teaching. The first two years of the experiment reveal that although most applicants do not respond to a marginal $600 of grants or loans, those in the worst financial position respond by joining TFA at higher rates. We continue the experiment into the third year and self-replicate our results. For the highest-need applicants, an extra $600 in loans, $600 in grants, and $1,200 in grants increase the likelihood of joining TFA by 12.2, 11.4, and 17.1 percentage points (or 20.0%, 18.7%, and 28.1%), respectively. Additional grant and loan dollars are equally effective, suggesting a liquidity mechanism. A follow-up survey bolsters the liquidity story and also shows that those drawn into teaching would have otherwise worked in private-sector firms.",MISSING,MISSING,MISSING,134,4,MISSING,2203,2236,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,"Ever Failed, Try Again, Succeed Better: Results from a Randomized Educational Intervention on Grit","We show that grit, a skill that has been shown to be highly predictive of achievement, is malleable in childhood and can be fostered in the classroom environment. We evaluate a randomized educational intervention implemented in two independent elementary school samples. Outcomes are measured via a novel incentivized real-effort task and performance in standardized tests. We find that treated students are more likely to exert effort to accumulate task-specific ability and hence more likely to succeed. In a follow up 2.5 years after the intervention, we estimate an effect of about 0.2 standard deviations on a standardized math test.",MISSING,MISSING,MISSING,134,3,MISSING,1121,1162,MISSING,11 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Implicit Stereotypes: Evidence from Teachers’ Gender Bias,"I study whether exposure to teacher stereotypes, as measured by the Gender-Science Implicit Association Test, affects student achievement. I provide evidence that the gender gap in math performance, defined as the score of boys minus the score of girls in standardized tests, substantially increases when students are assigned to math teachers with stronger gender stereotypes. Teacher stereotypes induce girls to underperform in math and self-select into less demanding high schools, following the track recommendation of their teachers. These effects are at least partially driven by lower self-confidence on math ability of girls exposed to gender-biased teachers. Stereotypes impair the test performance of girls, who end up failing to achieve their full potential. I do not detect statistically significant effects on student outcomes of literature teacher stereotypes.",MISSING,MISSING,MISSING,134,3,MISSING,1163,1224,MISSING,7 ,MISSING
0,MISSING,MISSING,QJE,MISSING,"The Rate of Return on Everything, 1870–2015","What is the aggregate real rate of return in the economy? Is it higher than the growth rate of the economy and, if so, by how much? Is there a tendency for returns to fall in the long run? Which particular assets have the highest long-run returns? We answer these questions on the basis of a new and comprehensive data set for all major asset classes, including housing. The annual data on total returns for equity, housing, bonds, and bills cover 16 advanced economies from 1870 to 2015, and our new evidence reveals many new findings and puzzles.",MISSING,MISSING,MISSING,134,3,MISSING,1225,1298,MISSING,24 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Industry Input in Policy Making: Evidence from Medicare,"In setting prices for physician services, Medicare solicits input from a committee that evaluates proposals from industry. The committee itself comprises members from industry; we investigate whether this arrangement leads to regulatory capture with prices biased toward industry interests. We find that increasing a measure of affiliation between the committee and proposers by one standard deviation increases prices by 10%. We then evaluate whether employing a biased committee as an intermediary may nonetheless be desirable, if greater affiliation allows the committee to extract information needed for regulation. We find industry proposers more affiliated with the committee produce less hard evidence in their proposals. However, on soft information, we find evidence of a trade-off: private insurers set prices that more closely track Medicare prices generated under higher affiliation.",MISSING,MISSING,MISSING,134,3,MISSING,1299,1342,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Who Profits from Patents? Rent-Sharing at Innovative Firms,"This article analyzes how patent-induced shocks to labor productivity propagate into worker compensation using a new linkage of U.S. patent applications to U.S. business and worker tax records. We infer the causal effects of patent allowances by comparing firms whose patent applications were initially allowed to those whose patent applications were initially rejected. To identify patents that are ex ante valuable, we extrapolate the excess stock return estimates of Kogan et al. (2017) to the full set of accepted and rejected patent applications based on predetermined firm and patent application characteristics. An initial allowance of an ex ante valuable patent generates substantial increases in firm productivity and worker compensation. By contrast, initial allowances of lower ex ante value patents yield no detectable effects on firm outcomes. Patent allowances lead firms to increase employment, but entry wages and workforce composition are insensitive to patent decisions. On average, workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings. This share is roughly twice as high among workers present since the year of application. These earnings effects are concentrated among men and workers in the top half of the earnings distribution and are paired with corresponding improvements in worker retention among these groups. We interpret these earnings responses as reflecting the capture of economic rents by senior workers, who are most costly for innovative firms to replace.",MISSING,MISSING,MISSING,134,3,MISSING,1343,1404,MISSING,25 ,MISSING
0,MISSING,MISSING,QJE,MISSING,The Effect of Minimum Wages on Low-Wage Jobs,"We estimate the effect of minimum wages on low-wage jobs using 138 prominent state-level minimum wage changes between 1979 and 2016 in the United States using a difference-in-differences approach. We first estimate the effect of the minimum wage increase on employment changes by wage bins throughout the hourly wage distribution. We then focus on the bottom part of the wage distribution and compare the number of excess jobs paying at or slightly above the new minimum wage to the missing jobs paying below it to infer the employment effect. We find that the overall number of low-wage jobs remained essentially unchanged over the five years following the increase. At the same time, the direct effect of the minimum wage on average earnings was amplified by modest wage spillovers at the bottom of the wage distribution. Our estimates by detailed demographic groups show that the lack of job loss is not explained by labor-labor substitution at the bottom of the wage distribution. We also find no evidence of disemployment when we consider higher levels of minimum wages. However, we do find some evidence of reduced employment in tradeable sectors. We also show how decomposing the overall employment effect by wage bins allows a transparent way of assessing the plausibility of estimates.",MISSING,MISSING,MISSING,134,3,MISSING,1405,1454,MISSING,2 ,MISSING
0,MISSING,MISSING,QJE,MISSING,"Trade, Merchants, and the Lost Cities of the Bronze Age","We analyze a large data set of commercial records produced by Assyrian merchants in the nineteenth century BCE. Using the information from these records, we estimate a structural gravity model of long-distance trade in the Bronze Age. We use our structural gravity model to locate lost ancient cities. In many cases, our estimates confirm the conjectures of historians who follow different methodologies. In some instances, our estimates confirm one conjecture against others. We also structurally estimate ancient city sizes and offer evidence in support of the hypothesis that large cities tend to emerge at the intersections of natural transport routes, as dictated by topography. Finally, we document persistent patterns in the distribution of city sizes across four millennia, find a distance elasticity of trade in the Bronze Age close to modern estimates, and show suggestive evidence that the distribution of ancient city sizes, inferred from trade data, is well approximated by Zipf’s law.",MISSING,MISSING,MISSING,134,3,MISSING,1455,1503,MISSING,0,MISSING
0,MISSING,MISSING,QJE,MISSING,Take-Up and Targeting: Experimental Evidence from SNAP,"We develop a framework for welfare analysis of interventions designed to increase take-up of social safety net programs in the presence of potential behavioral biases. We calibrate the key parameters using a randomized field experiment in which 30,000 elderly individuals not enrolled in—but likely eligible for—the Supplemental Nutrition Assistance Program (SNAP) are either provided with information that they are likely eligible, provided with this information and offered assistance in applying, or are in a “status quo” control group. Only 6% of the control group enrolls in SNAP over the next nine months, compared to 11% of the Information Only group and 18% of the Information Plus Assistance group. The individuals who apply or enroll in response to either intervention have higher net income and are less sick than the average enrollee in the control group. We present evidence consistent with the existence of optimization frictions that are greater for needier individuals, which suggests that the poor targeting properties of the interventions reduce their welfare benefits.",MISSING,MISSING,MISSING,134,3,MISSING,1505,1556,MISSING,6 ,MISSING
0,MISSING,MISSING,QJE,MISSING,"Regressive Sin Taxes, with an Application to the Optimal Soda Tax","A common objection to “sin taxes”—corrective taxes on goods that are thought to be overconsumed, such as cigarettes, alcohol, and sugary drinks—is that they often fall disproportionately on low-income consumers. This paper studies the interaction between corrective and redistributive motives in a general optimal taxation framework and delivers empirically implementable formulas for sufficient statistics for the optimal commodity tax. The optimal sin tax is increasing in the price elasticity of demand, increasing in the degree to which lower-income consumers are more biased or more elastic to the tax, decreasing in the extent to which consumption is concentrated among the poor, and decreasing in income effects, because income effects imply that commodity taxes create labor supply distortions. Contrary to common intuitions, stronger preferences for redistribution can increase the optimal sin tax, if lower-income consumers are more responsive to taxes or are more biased. As an application, we estimate the optimal nationwide tax on sugar-sweetened beverages, using Nielsen Homescan data and a specially designed survey measuring nutrition knowledge and self-control. Holding federal income tax rates constant, our estimates imply an optimal federal sugar-sweetened beverage tax of 1 to 2.1 cents per ounce, although optimal city-level taxes could be as much as 60% lower due to cross-border shopping.",MISSING,MISSING,MISSING,134,3,MISSING,1557,1626,MISSING,7 ,MISSING
0,MISSING,MISSING,QJE,MISSING,"Inputs, Incentives, and Complementarities in Education: Experimental Evidence from Tanzania","We present results from a large-scale randomized experiment across 350 schools in Tanzania that studied the impact of providing schools with (i) unconditional grants, (ii) teacher incentives based on student performance, and (iii) both of the above. After two years, we find (i) no impact on student test scores from providing school grants, (ii) some evidence of positive effects from teacher incentives, and (iii) significant positive effects from providing both programs. Most important, we find strong evidence of complementarities between the programs, with the effect of joint provision being significantly greater than the sum of the individual effects. Our results suggest that combining spending on school inputs (the default policy) with improved teacher incentives could substantially increase the cost-effectiveness of public spending on education.",MISSING,MISSING,MISSING,134,3,MISSING,1627,1673,MISSING,4 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Channeling Fisher: Randomization Tests and the Statistical Insignificance of Seemingly Significant Experimental Results,"I follow R. A. Fisher'sThe Design of Experiments (1935), using randomization statistical inference to test the null hypothesis of no treatment effects in a comprehensive sample of 53 experimental papers drawn from the journals of the American Economic Association. In the average paper, randomization tests of the significance of individual treatment effects find 13% to 22% fewer significant results than are found using authors’ methods. In joint tests of multiple treatment effects appearing together in tables, randomization tests yield 33% to 49% fewer statistically significant results than conventional tests. Bootstrap and jackknife methods support and confirm the randomization results.",MISSING,MISSING,MISSING,134,2,MISSING,557,598,MISSING,4 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Exchange Arrangements Entering the Twenty-First Century: Which Anchor will Hold?,"This article provides a comprehensive history of anchor or reference currencies, exchange rate arrangements, and a new measure of foreign exchange restrictions for 194 countries and territories over 1946–2016. We find that the often cited post–Bretton Woods transition from fixed to flexible arrangements is overstated; regimes with limited flexibility remain in the majority. Even if central bankers’ communications jargon has evolved considerably in recent decades, it is apparent that many still place a large implicit weight on the exchange rate. The U.S. dollar scores as the world's dominant anchor currency by a very large margin. By some metrics, its use is far wider today than 70 years ago. In contrast, the global role of the euro appears to have stalled. We argue that in addition to the usual safe assets story, the record accumulation of reserves since 2002 may also have to do with many countries’ desire to stabilize exchange rates in an environment of markedly reduced exchange rate restrictions or, more broadly, capital controls: an important amendment to the conventional portrayal of the macroeconomic trilemma.",MISSING,MISSING,MISSING,134,2,MISSING,599,646,MISSING,355 ,MISSING
0,MISSING,MISSING,QJE,MISSING,Who Becomes an Inventor in America? The Importance of Exposure to Innovation,"We characterize the factors that determine who becomes an inventor in the United States, focusing on the role of inventive ability (“nature”) versus environment (“nurture”). Using deidentified data on 1.2 million inventors from patent records linked to tax records, we first show that children’s chances of becoming inventors vary sharply with characteristics at birth, such as their race, gender, and parents’ socioeconomic class. For example, children from high-income (top 1%) families are 10 times as likely to become inventors as those from below-median income families. These gaps persist even among children with similar math test scores in early childhood—which are highly predictive of innovation rates—suggesting that the gaps may be driven by differences in environment rather than abilities to innovate. We directly establish the importance of environment by showing that exposure to innovation during childhood has significant causal effects on children’s propensities to invent. Children whose families move to a high-innovation area when they are young are more likely to become inventors. These exposure effects are technology class and gender specific. Children who grow up in a neighborhood or family with a high innovation rate in a specific technology class are more likely to patent in exactly the same class. Girls are more likely to invent in a particular class if they grow up in an area with more women (but not men) who invent in that class. These gender- and technology class–specific exposure effects are more likely to be driven by narrow mechanisms, such as role-model or network effects, than factors that only affect general human capital accumulation, such as the quality of schools. Consistent with the importance of exposure effects in career selection, women and disadvantaged youth are as underrepresented among high-impact inventors as they are among inventors as a whole. These findings suggest that there are many “lost Einsteins”—individuals who would have had highly impactful inventions had they been exposed to innovation in childhood—especially among women, minorities, and children from low-income families.",MISSING,MISSING,MISSING,134,2,MISSING,647,713,MISSING,23 ,MISSING
0,MISSING,MISSING,QJE,MISSING,The Unequal Gains from Product Innovations: Evidence from the U.S. Retail Sector,"This article examines how product innovations led to inflation inequality in the United States from 2004 to 2015. Using scanner data from the retail sector, I find that annual inflation for retail products was 0.661 (std. err. 0.0535) percentage points higher for the bottom income quintile relative to the top income quintile. When including changes in product variety over time, this difference increases to 0.8846 (std. err. 0.0739) percentage points a year. In CEX-CPI data covering the full consumption basket, the annual inflation difference is 0.368 (std. err. 0.0502) percentage points. I investigate the following hypothesis: (i) the relative demand for products consumed by high-income households increased because of growth and rising inequality; (ii) in response, firms introduced more new products catering to such households; (iii) as a result, the prices of continuing products in these market segments fell due to increased competitive pressure. Using a shift-share research design, I find causal evidence that increasing relative demand leads to increasing product variety and lower inflation for continuing products. A calibration indicates that the hypothesized channel accounts for a large fraction (over 50%) of observed inflation inequality.",MISSING,MISSING,MISSING,134,2,MISSING,715,783,MISSING,2 ,MISSING
