index,ArticleID,JEL
203,3566,J13
204,3566,J12
205,3567,R12
206,3567,N10
207,3567,R11
208,3567,O18
209,3568,E62
210,3568,O23
211,3569,F32
212,3569,E32
213,3569,E44
214,3569,F34
215,3570,J64
216,3570,J65
217,3570,J68
218,3571,O18
219,3571,N91
220,3571,N92
221,3571,R12
222,3571,F12
223,3572,D82
224,3572,D02
225,3572,H10
226,3573,D03
227,3573,D04
228,3573,D01
229,3573,D44
230,3573,D02
231,3574,K41
232,3574,K40
233,3574,H10
234,3574,K14
235,3574,K00
236,3574,J71
237,3575,O31
238,3575,J61
239,3576,F13
240,3576,D24
241,3576,D21
242,3576,F12
243,3577,H4
244,3577,J24
245,3577,I2
246,3578,D03
247,3578,D81
248,3579,D74
249,3579,N33
250,3579,N94
251,3579,N34
252,3579,N93
253,3580,H51
254,3580,I1
255,3580,H75
256,3581,D85
257,3581,D83
258,3581,Z13
259,3581,J15
260,3581,I21
261,3582,E32
262,3582,E13
263,3582,H25
264,3583,E52
265,3583,E62
266,3583,E32
267,3584,H20
268,3584,E62
269,3585,L13
270,3585,C73
271,3585,D82
272,3586,C72
273,3586,D23
274,3586,D78
275,3586,D82
276,3587,D71
277,3587,N32
278,3587,R23
279,3587,D72
280,3588,J3
281,3588,J2
282,3588,N2
283,3588,G2
284,3589,D8
285,3589,C7
286,3590,D61
287,3590,D40
288,3590,D82
289,3590,L40
290,3590,L10
291,3591,D23
292,3591,D20
293,3592,D73
294,3592,L73
295,3593,D11
296,3593,I2
297,3593,I23
298,3593,C35
299,3594,O32
300,3594,L2
301,3594,O14
302,3594,O33
303,3594,M2
304,3595,C72
305,3595,C73
306,3595,Z1
307,3596,J63
308,3596,J16
309,3596,J71
310,3597,O40
311,3597,O14
312,3598,J24
313,3598,I28
314,3598,I21
315,3598,C31
316,3599,D40
317,3599,D91
318,3599,D03
319,3600,I25
320,3600,O11
321,3600,R11
322,3601,C6
323,3601,C73
324,3601,D91
325,3601,E21
326,3602,K14
327,3602,K40
328,3602,H76
329,3603,G31
330,3603,D24
331,3604,C78
332,3604,C72
333,3604,C71
334,3605,L22
335,3605,D41
336,3605,D21
337,3605,D23
338,3605,L14
339,3605,L11
340,3606,E6
341,3606,D5
342,3606,H2
343,3606,E2
344,3606,J3
345,3606,D8
346,3606,J6
347,3607,D74
348,3607,D71
349,3608,C93
350,3608,J64
351,3608,J68
352,3609,E24
353,3609,D21
354,3609,J60
355,3610,H1
356,3610,D74
357,3610,D02
358,3611,J22
359,3611,O12
360,3611,H31
361,3612,D03
362,3612,J16
363,3612,N30
364,3613,J00
365,3613,J31
366,3613,J40
367,3614,D53
368,3614,G12
369,3614,G11
370,3615,H1
371,3616,O43
372,3616,J61
373,3616,L14
374,3616,O10
375,3616,F20
376,3617,G21
377,3617,G23
378,3617,E44
379,3618,J1
380,3618,O15
381,3618,I25
382,3619,H87
383,3619,F32
384,3619,H26
385,3620,D82
386,3620,C73
387,3621,D72
388,3621,P16
389,3621,C73
390,3622,J64
391,3623,F5
392,3623,F1
393,3624,F10
394,3625,D03
395,3625,D12
396,3625,L15
397,3625,Q41
398,3626,C78
399,3626,D47
400,3627,E44
401,3627,E21
402,3627,E60
403,3627,E32
404,3628,D72
405,3629,R11
406,3629,H41
407,3629,Q50
408,3630,D84
409,3630,G32
410,3630,G31
411,3630,G34
412,3630,D03
413,3630,D22
414,3631,D22
415,3631,M42
416,3631,Q56
417,3632,O18
418,3632,O15
419,3633,I24
420,3633,I20
421,3634,E31
422,3634,E10
423,3634,D8
424,3634,E50
425,3634,E30
426,3635,I2
427,3635,D72
428,3635,H7
429,3635,J15
430,3635,N32
431,3636,O43
432,3636,O10
433,3636,N17
434,3636,O40
435,3636,Z10
436,3637,E58
437,3637,E52
438,3638,E44
439,3638,E24
440,3638,G20
441,3639,E21
442,3639,E22
443,3639,E25
444,3640,J61
445,3640,H31
446,3641,R11
447,3641,O40
448,3641,N92
449,3641,J20
450,3642,H23
451,3642,C91
452,3642,D31
453,3643,O41
454,3643,J61
455,3643,E24
456,3643,R11
457,3643,O13
458,3643,O11
459,3643,O15
460,3643,O18
461,3643,E01
462,3644,J24
463,3644,D13
464,3644,O12
465,3644,C93
466,3645,F14
467,3645,F12
468,3646,D24
469,3646,C93
470,3646,O12
471,3646,Q14
472,3646,G22
473,3646,Q12
474,3646,D92
475,3646,O13
476,3646,O16
477,3647,G21
478,3647,G28
479,3648,R11
480,3648,D72
481,3649,H75
482,3649,I1
483,3649,J22
484,3650,D02
485,3650,N43
486,3650,F10
487,3651,N33
488,3651,I25
489,3651,N13
490,3651,O10
491,3652,F41
492,3652,E30
493,3652,F30
494,3653,J16
495,3653,J24
496,3653,I20
497,3653,C9
498,3654,F10
499,3654,F16
500,3654,O10
501,3655,I24
502,3655,J24
503,3655,I28
504,3655,I21
505,3656,E21
506,3656,E44
507,3656,D91
508,3656,G11
509,3657,H3
510,3657,H2
511,3658,O47
512,3658,O53
513,3658,O11
514,3659,D83
515,3659,O14
516,3659,O13
517,3659,D03
518,3659,Q16
519,3659,O30
520,3660,R12
521,3660,F10
522,3660,R40
523,3660,R13
524,3661,D90
525,3661,D03
526,3661,C99
527,3661,C10
528,3662,E20
529,3662,D30
530,3662,D31
531,3662,E10
532,3662,D33
533,3663,I38
534,3663,J62
535,3663,H53
536,3664,N4
537,3664,D7
538,3665,B49
539,3666,J0
540,3666,R0
541,3666,H0
542,3667,J16
543,3667,C92
544,3668,D11
545,3668,D03
546,3668,D51
547,3668,D01
548,3669,G14
549,3669,D84
550,3669,D61
551,3669,G12
552,3669,D62
553,3670,J63
554,3670,J31
555,3670,F16
556,3670,H55
557,3670,J23
558,3671,F22
559,3671,H21
560,3671,D82
561,3671,H87
562,3672,D03
563,3672,D74
564,3672,O12
565,3672,F63
566,3672,D22
567,3672,J24
568,3672,O14
569,3672,D24
570,3672,J33
571,3672,J71
572,3672,D61
573,3672,D64
574,9269,K41
575,9269,O31
576,9269,O34
577,9269,L24
578,9269,O33
579,9272,D10
580,9272,I38
581,9272,H23
582,9267,D62
583,9267,D03
584,9267,M14
585,9267,C92
586,9266,D24
587,9266,L23
588,9266,O31
589,9266,M54
590,9266,L84
591,9266,M11
592,9270,D12
593,9270,D03
594,9271,L15
595,9271,D21
596,9271,D82
597,9271,L51
598,9264,E32
599,9264,L16
600,9264,G02
601,9263,R30
602,9263,G12
603,9263,G11
604,9265,G02
605,9265,G21
606,9265,L13
607,9265,D0
608,9265,G28
609,9265,G0
610,9265,L15
611,9265,D14
612,9265,L0
613,9268,H56
614,9268,C23
615,9268,D74
616,9268,F51
617,9268,Q34
618,9291,J16
619,9291,J12
620,9291,D10
621,9292,E20
622,9292,O40
623,9292,O43
624,9292,Z12
625,9295,K14
626,9294,J27
627,9294,O15
628,9294,N37
629,9297,D12
630,9297,G22
631,9290,E30
632,9290,E24
633,9290,E10
634,9290,J64
635,9290,J2
636,9293,F11
637,9293,F13
638,9293,F10
639,9299,H77
640,9299,D78
641,9296,M51
642,9296,J30
643,9296,J63
644,9296,J24
645,9298,D72
646,9298,H00
647,4683,C92
648,4683,O40
649,4683,C91
650,4684,E62
651,4684,E22
652,4685,H21
653,4686,F36
654,4686,G21
655,4687,J31
656,4687,K31
657,4687,D21
658,4687,J71
659,4688,O47
660,4688,O16
661,4688,O53
662,4688,O11
663,4689,O47
664,4689,O30
665,4689,D24
666,4690,D91
667,4690,D81
668,4691,C72
669,4691,D44
670,4692,D8
671,4692,C7
672,4693,O
673,4693,F0
674,4693,D31
675,4693,N0
676,4694,M13
677,4694,G11
678,4694,G12
679,4695,L10
680,4695,D44
681,4695,C73
682,4696,D23
683,4696,L14
684,4696,D8
685,4697,D91
686,4697,O17
687,4697,Q15
688,4697,I32
689,4697,D31
690,4698,L8
691,4698,D2
692,4698,L2
693,4698,M12
694,4698,J2
695,4699,G21
696,4699,G20
697,4699,G28
698,4700,F15
699,4700,F13
700,4701,E30
701,4701,J60
702,4701,J22
703,4702,F58
704,4702,E42
705,4702,E52
706,4703,J26
707,4703,I21
708,4704,J10
709,4704,H41
710,4705,I38
711,4705,J24
712,4706,L1
713,4706,J7
714,4707,H0
715,4707,J0
716,4708,H1
717,4708,O
718,4709,D70
719,4709,H77
720,4709,H40
721,4710,F11
722,4710,D2
723,4710,F12
724,4711,F0
725,4711,O1
726,4711,O3
727,4712,O31
728,4712,L52
729,4712,O32
730,4713,O31
731,4713,Q42
732,4713,Q40
733,4714,E22
734,4714,E32
735,4715,O15
736,4715,O41
737,4715,F22
738,4716,E10
739,4716,O40
740,4717,L33
741,4717,P35
742,4717,P16
743,4717,D72
744,4718,J1
745,4718,N9
746,4718,D5
747,4718,R1
748,4719,I11
749,4719,O31
750,4719,D33
751,4720,I1
752,4721,D23
753,4721,P23
754,4722,L93
755,4722,L50
756,4722,H23
757,4723,L1
758,4723,L9
759,4724,O13
760,4724,R11
761,4724,N25
762,4724,O18
763,4725,Q15
764,4725,P32
765,4726,G34
766,4726,G30
767,4726,D72
768,4727,J71
769,4727,J78
770,4728,C52
771,4728,J22
772,4728,E32
773,4729,D82
774,4730,I28
775,4730,I22
776,4730,J13
777,4731,L81
778,4731,L13
779,4731,E32
780,4732,G1
781,4732,F4
782,4732,F3
783,4732,C5
784,4733,O40
785,4733,F43
786,4733,F15
787,4734,H11
788,4734,D72
789,4734,P16
790,4734,H31
791,4734,E62
792,4735,P16
793,4735,D74
794,4735,G14
795,4736,D80
796,4736,C72
797,4736,D72
798,4737,A12
799,4737,P00
800,4737,J10
801,4738,F10
802,4738,F15
803,4739,G11
804,4740,D80
805,4740,J41
806,4740,J70
807,4753,D42
808,4753,D82
809,4753,D44
810,4753,D83
811,4754,E3
812,4754,E0
813,4754,O4
814,4754,O3
815,4755,L23
816,4755,L92
817,4755,L14
818,4755,L22
819,4755,D23
820,4756,O3
821,4756,J3
822,4757,G1
823,4757,F3
824,4758,E31
825,4758,E52
826,4758,E58
827,4758,E61
828,4759,D44
829,4759,D89
830,4759,C70
831,4759,L12
832,4759,O32
833,4760,C78
834,4760,C92
835,4760,D64
836,4761,F11
837,4761,F2
838,4761,C21
839,4761,F14
840,4762,F12
841,4762,O33
842,4762,J31
843,4763,D61
844,4763,I20
845,4763,D78
846,4763,C78
847,4764,D40
848,4764,M31
849,4764,L10
850,4765,F10
851,4765,F16
852,4766,H50
853,4766,H32
854,4766,H00
855,4767,D7
856,4767,H3
857,4767,H5
858,4767,H4
859,4767,H6
860,4767,D1
861,4767,H0
862,4768,L14
863,4768,D82
864,4768,C73
865,4769,D83
866,4769,E17
867,4769,E31
868,4770,H91
869,4770,H55
870,4771,E61
871,4771,E63
872,4772,E13
873,4772,O31
874,4772,O40
875,4773,H4
876,4773,I2
877,4773,I0
878,4774,C8
879,4774,D4
880,4775,Q2
881,4776,G21
882,4776,N22
883,4776,E5
884,4776,N12
885,4776,E32
886,4777,H7
887,4777,R5
888,4777,N3
889,4777,D7
890,4778,F33
891,4778,F34
892,4778,D82
893,4779,L12
894,4779,L0
895,4779,L5
896,4780,J41
897,4780,O17
898,4780,O16
899,4781,R20
900,4781,D12
901,4781,C25
902,4781,D61
903,4782,H55
904,4783,L11
905,4784,O40
906,4784,J13
907,4785,E24
908,4785,C34
909,4785,J31
910,4786,D78
911,4786,D72
912,4786,H11
913,4786,H50
914,4787,L1
915,4787,G34
916,4787,G21
917,4788,F41
918,4788,F31
919,4789,D6
920,4789,L2
921,4789,L9
922,4789,L5
923,4790,F41
924,4790,C11
925,4790,C32
926,4790,E32
927,4791,O3
928,4791,E44
929,4791,O41
930,4792,F17
931,4792,F11
932,4792,O33
933,4793,F1
934,4794,J65
935,4795,L92
936,4795,D24
937,4795,O33
938,4795,O47
939,4796,H40
940,4796,D72
941,4797,D81
942,4797,G3
943,4798,D8
944,4798,C92
945,4799,D7
946,4799,H1
947,4799,H7
948,4799,K4
949,4800,I2
950,4800,R31
951,4801,G10
952,4801,O16
953,4801,Z13
954,4802,J41
955,4802,J33
956,4802,J44
957,4802,D82
958,4802,L22
959,4803,J64
960,4803,J31
961,4803,J70
962,4803,A14
963,4804,G32
964,4805,O1
965,4805,O3
966,4805,F2
967,4806,O40
968,4806,J30
969,4806,L60
970,4807,K11
971,4807,L41
972,4807,M2
973,4808,G33
974,4808,G28
975,4808,G21
976,4808,G38
977,4809,G24
978,4809,E51
979,4809,J64
980,4810,E32
981,4810,E24
982,4810,E52
983,4811,J64
984,4811,J71
985,4812,O51
986,4812,O53
987,4812,O52
988,4813,H7
989,4813,H1
990,4813,K4
991,4814,O40
992,4814,E63
993,4814,D60
994,4814,E32
995,4815,F15
996,4815,F13
997,4815,F14
998,4815,F16
999,4815,D24
1000,4816,G22
1001,4816,D91
1002,4817,E52
1003,4817,E32
1004,4817,E31
1005,4817,E58
1006,4818,D40
1007,4818,D50
1008,4819,H4
1009,4819,I2
1010,4819,J7
1011,4819,J1
1012,4819,N3
1013,4820,R1
1014,4820,F1
1015,4821,D84
1016,4821,C70
1017,4821,D81
1018,4821,B49
1019,4821,A12
1020,4822,D62
1021,4822,D31
1022,4822,D11
1023,4822,C72
1024,4823,D51
1025,4823,D63
1026,4824,D64
1027,4824,D63
1028,4824,C99
1029,4825,I28
1030,4825,J13
1031,4825,I21
1032,4825,J18
1033,4826,O47
1034,4826,E31
1035,4826,C43
1036,4827,D8
1037,4828,E6
1038,4828,J62
1039,4828,I2
1040,4829,D01
1041,4829,I12
1042,4829,H21
1043,4829,D11
1044,4829,H23
1045,4829,K32
1046,4829,H31
1047,4829,I18
1048,4829,H20
1049,4830,D27
1050,4831,G14
1051,4831,N22
1052,4831,G12
1053,4832,L22
1054,4832,L65
1055,4832,O32
1056,4832,J41
1057,4833,N23
1058,4833,E44
1059,4833,G14
1060,4834,G23
1061,4834,G2
1062,4834,G20
1063,4834,L22
1064,4834,L2
1065,4835,C8
1066,4835,F0
1067,4835,D1
1068,4836,E22
1069,4837,D51
1070,4837,J61
1071,4837,D30
1072,4837,R12
1073,4838,F13
1074,4838,O34
1075,4839,D44
1076,4840,D83
1077,4840,C91
1078,4841,E32
1079,4841,E22
1080,4842,E60
1081,4842,D72
1082,4842,H00
1083,4843,G3
1084,4843,L1
1085,4843,D8
1086,4844,C70
1087,4844,D72
1088,4845,F12
1089,4845,F14
1090,4846,F13
1091,4846,F15
1092,4847,K42
1093,4848,F13
1094,4848,L11
1095,4849,K42
1096,4849,I2
1097,4850,C62
1098,4850,C52
1099,4850,E52
1100,4850,C11
1101,4851,C41
1102,4851,J64
1103,4852,I38
1104,4852,J18
1105,4852,I28
1106,4853,H7
1107,4853,F0
1108,4853,H2
1109,4854,J44
1110,4854,J4
1111,4854,D72
1112,4855,E43
1113,4855,E63
1114,4855,E52
1115,4856,J6
1116,4856,E24
1117,4856,E32
1118,4857,N75
1119,4857,F14
1120,4857,N10
1121,4857,F11
1122,4858,C32
1123,4858,C53
1124,4858,E47
1125,4859,H3
1126,4859,H0
1127,4859,D7
1128,4859,H4
1129,4859,H6
1130,4859,H5
1131,4859,D1
1132,4860,F31
1133,4860,G15
1134,4861,O57
1135,4861,I31
1136,4861,I10
1137,4861,J17
1138,4862,E24
1139,4862,J6
1140,4862,E32
1141,4862,J63
1142,4862,J41
1143,4863,G0
1144,4863,E4
1145,4863,E0
1146,4863,G1
1147,4864,F1
1148,4865,F41
1149,4865,F11
1150,4865,F43
1151,4865,F14
1152,4866,E31
1153,4866,E52
1154,4866,E32
1155,4867,J1
1156,4867,E1
1157,4867,O3
1158,4868,G28
1159,4868,P16
1160,4868,P34
1161,4868,N20
1162,4868,P11
1163,4869,E3
1164,4869,D84
1165,4869,D83
1166,4870,H11
1167,4870,D71
1168,4870,H41
1169,4871,F10
1170,4871,N13
1171,4871,O10
1172,4871,P10
1173,4873,C9
1174,4873,D5
1175,4873,E3
1176,4874,D82
1177,4874,D42
1178,4874,D23
1179,4876,F43
1180,4876,F12
1181,4877,H41
1182,4877,D73
1183,4877,L31
1184,4877,D23
1185,4878,G12
1186,4878,E43
1187,4878,G3
1188,4878,E32
1189,4878,E44
1190,4878,G32
1191,4879,D82
1192,4879,L12
1193,4879,C92
1194,4879,C72
1195,4880,R21
1196,4880,E52
1197,4880,E44
1198,4880,E31
1199,4880,E32
1200,4881,O40
1201,4881,J13
1202,4881,J11
1203,4881,O10
1204,4882,N11
1205,4882,E59
1206,4882,N41
1207,4882,N21
1208,4883,D44
1209,4883,C78
1210,4884,D44
1211,4884,G34
1212,4884,G32
1213,4885,D8
1214,4885,G11
1215,4885,D1
1216,4885,E21
1217,4885,G12
1218,4886,K11
1219,4886,O14
1220,4886,L51
1221,4886,D2
1222,4886,N0
1223,4887,C23
1224,4887,I21
1225,4887,I28
1226,4887,C29
1227,4887,I29
1228,4888,D72
1229,4888,D7
1230,4889,D91
1231,4889,E21
1232,4890,F33
1233,4890,F32
1234,4890,N10
1235,4890,F31
1236,4891,P16
1237,4891,P51
1238,4891,O11
1239,4892,F12
1240,4892,D23
1241,4892,F14
1242,4892,F21
1243,4892,F23
1244,4892,L22
1245,4892,L33
1246,4893,D23
1247,4893,L82
1248,4894,G34
1249,4894,K42
1250,4894,K22
1251,4895,P16
1252,4895,E62
1253,4895,D31
1254,4895,H2
1255,4896,L15
1256,4896,D82
1257,4896,K13
1258,4897,D62
1259,4897,R31
1260,4897,Z13
1261,4898,G21
1262,4898,E51
1263,4898,G28
1264,4898,E44
1265,4899,H0
1266,4899,L0
1267,4899,I0
1268,4900,D01
1269,4900,A12
1270,4901,E58
1271,4901,G21
1272,4901,D51
1273,4901,D82
1274,4904,H55
1275,4904,J26
1276,4904,D11
1277,4904,D91
1278,4904,J14
1279,4904,E21
1280,4906,D83
1281,4907,D8
1282,4907,G1
1283,4907,C92
1284,4909,D12
1285,4909,G22
1286,4909,L15
1287,4909,D83
1288,4913,R0
1289,4913,R3
1290,4913,F1
1291,4917,K31
1292,4917,J13
1293,4917,O10
1294,4917,J82
1295,4918,C92
1296,4918,C91
1297,4918,C73
1298,4918,C72
1299,4919,G14
1300,4919,C92
1301,4919,D8
1302,4920,D23
1303,4920,K12
1304,4920,L14
1305,4921,H20
1306,4921,C41
1307,4921,D14
1308,4921,G11
1309,4922,J31
1310,4922,C91
1311,4924,O16
1312,4924,D72
1313,4924,D82
1314,4924,D78
1315,4927,J7
1316,4928,M53
1317,4928,C72
1318,4928,C92
1319,4930,J14
1320,4930,H20
1321,4930,N20
1322,4932,M37
1323,4932,D42
1324,4932,L15
1325,4933,I28
1326,4933,I20
1327,4933,I21
1328,4934,J24
1329,4934,D20
1330,4934,J41
1331,4935,E47
1332,4935,E52
1333,4935,C53
1334,4937,P16
1335,4937,O19
1336,4937,K33
1337,4937,F34
1338,4941,I12
1339,4941,I10
1340,4941,J14
1341,4943,E40
1342,4943,G20
1343,4943,E50
1344,4945,D81
1345,4946,C78
1346,4946,J12
1347,4947,L11
1348,4947,G31
1349,4947,O31
1350,4947,O33
1351,4948,G22
1352,4948,I12
1353,4948,I18
1354,4948,J14
1355,4949,D86
1356,4949,O34
1357,4949,O31
1358,4949,L65
1359,4950,O14
1360,4950,L67
1361,4950,O15
1362,4950,J81
1363,4950,J31
1364,4950,F23
1365,4951,E52
1366,4951,E13
1367,4951,E31
1368,4951,D84
1369,4951,C62
1370,4951,E32
1371,4952,E31
1372,4952,F31
1373,4952,F14
1374,4953,E13
1375,4953,J11
1376,4953,H24
1377,4953,H25
1378,4954,O13
1379,4954,Q16
1380,4954,D83
1381,4954,O33
1382,4955,F14
1383,4955,F13
1384,4955,F11
1385,4956,D86
1386,4956,F13
1387,4957,D74
1388,4957,C72
1389,4957,H41
1390,4958,D86
1391,4958,D83
1392,4958,C73
1393,4958,D82
1394,4959,D23
1395,4959,L20
1396,4960,E65
1397,4960,E52
1398,4960,E32
1399,4960,E31
1400,4961,D31
1401,4961,I32
1402,4961,I31
1403,4961,C43
1404,4961,F31
1405,4962,D82
1406,4962,M54
1407,4963,F32
1408,4963,F31
1409,4963,G15
1410,4964,H41
1411,4964,Z13
1412,4964,D83
1413,4964,D12
1414,4965,P36
1415,4965,O12
1416,4965,C83
1417,4965,D12
1418,4966,J65
1419,4966,J31
1420,4966,R23
1421,4966,J63
1422,4967,L65
1423,4967,I18
1424,4967,L11
1425,4968,E12
1426,4968,E52
1427,4968,E31
1428,4968,E43
1429,4969,E52
1430,4969,E12
1431,4969,E31
1432,4969,E43
1433,4970,M54
1434,4970,D86
1435,4970,D82
1436,4971,D81
1437,4971,C72
1438,4971,Z13
1439,4972,L25
1440,4972,L21
1441,4972,L11
1442,4972,L60
1443,4973,K10
1444,4973,J13
1445,4973,N31
1446,4973,J12
1447,4973,N32
1448,4974,F16
1449,4974,E24
1450,4974,F13
1451,4975,G21
1452,4975,O33
1453,4975,G31
1454,4976,D14
1455,4976,E21
1456,4976,D91
1457,4977,R41
1458,4977,K42
1459,4978,D82
1460,4978,D83
1461,4979,L26
1462,4979,G24
1463,4979,M13
1464,4979,G32
1465,4980,R32
1466,4980,R23
1467,4980,L60
1468,4980,L14
1469,4980,O33
1470,4981,J24
1471,4981,E32
1472,4981,J63
1473,4981,J64
1474,4981,E24
1475,4981,J41
1476,4982,D12
1477,4982,D81
1478,4983,D82
1479,4983,D72
1480,4984,L81
1481,4984,L42
1482,4984,L22
1483,4984,L13
1484,4984,L71
1485,4985,L22
1486,4985,L81
1487,4985,L42
1488,4985,L13
1489,4985,L71
1490,4986,F31
1491,4986,F13
1492,4986,F14
1493,4986,F23
1494,4987,F13
1495,4987,F14
1496,4987,F23
1497,4987,F31
1498,4988,O31
1499,4988,L11
1500,4988,E32
1501,4988,E31
1502,4989,D43
1503,4989,L12
1504,4989,D44
1505,4990,N12
1506,4990,E62
1507,4990,H20
1508,4990,E32
1509,4991,C78
1510,4991,D82
1511,4992,L51
1512,4992,Q58
1513,4992,L98
1514,4992,Q53
1515,4992,L94
1516,4993,F31
1517,4993,G11
1518,4993,G15
1519,4994,R11
1520,4994,D24
1521,4994,C51
1522,4994,R31
1523,4995,O33
1524,4995,E23
1525,4995,G32
1526,4995,G31
1527,4995,D82
1528,4995,G12
1529,4996,L31
1530,4996,H41
1531,4996,D64
1532,4996,C93
1533,4996,D82
1534,4996,Z12
1535,4997,Z13
1536,4997,C91
1537,4997,D82
1538,4997,C72
1539,4998,D64
1540,4998,H41
1541,4998,L51
1542,4999,E22
1543,4999,O41
1544,4999,O33
1545,5000,L82
1546,5000,H41
1547,5000,C93
1548,5001,L11
1549,5001,I18
1550,5001,G22
1551,5001,I11
1552,5001,L25
1553,5002,J22
1554,5002,J31
1555,5002,J65
1556,5002,D91
1557,5002,J61
1558,5002,J64
1559,5003,D85
1560,5003,D83
1561,5003,Z13
1562,5004,F32
1563,5004,F23
1564,5005,G15
1565,5005,F34
1566,5005,G12
1567,5006,D12
1568,5006,D03
1569,5006,D87
1570,5006,C91
1571,5007,O17
1572,5007,D72
1573,5007,O13
1574,5007,Q15
1575,5008,D42
1576,5009,C72
1577,5009,D72
1578,5010,L14
1579,5010,D85
1580,5010,D42
1581,5011,D31
1582,5011,H25
1583,5011,H23
1584,5012,C72
1585,5012,D83
1586,5013,D64
1587,5013,J12
1588,5013,Z13
1589,5013,D13
1590,5014,F34
1591,5014,D72
1592,5014,O19
1593,5014,O17
1594,5015,C73
1595,5015,G31
1596,5015,D82
1597,5015,D44
1598,5016,Z13
1599,5016,O18
1600,5016,O15
1601,5016,J12
1602,5016,J16
1603,5017,D82
1604,5018,D13
1605,5018,I12
1606,5018,J16
1607,5018,J23
1608,5018,J31
1609,5019,I21
1610,5019,D82
1611,5020,O33
1612,5020,O41
1613,5020,G31
1614,5020,O16
1615,5020,G21
1616,5021,C71
1617,5021,M54
1618,5021,D83
1619,5021,C91
1620,5021,D23
1621,5022,Z13
1622,5022,D81
1623,5022,J15
1624,5022,J16
1625,5023,D44
1626,5024,O11
1627,5024,E21
1628,5024,O16
1629,5024,G01
1630,5024,E32
1631,5024,E44
1632,5024,E23
1633,5025,G21
1634,5025,D72
1635,5025,G28
1636,5026,J31
1637,5026,F23
1638,5026,J23
1639,5026,R32
1640,5027,O47
1641,5027,O33
1642,5027,O41
1643,5028,N31
1644,5028,N11
1645,5028,N32
1646,5028,Z13
1647,5028,O47
1648,5028,N12
1649,5029,F13
1650,5029,F14
1651,5029,O19
1652,5029,F11
1653,5030,I23
1654,5030,C78
1655,5031,F14
1656,5031,R12
1657,5031,F11
1658,5032,Z13
1659,5032,D82
