index,AuthorID,AuthorName,Sex,NativeLanguage,PhDYear,Note
135,145,Alexander Wolitzky,Male,English,2011.0,
136,146,Alexandra Killewald,Female,English,,
137,147,Alexandre Mas,Male,English,,
138,148,Alexandre K. Skiba,Male,Non-English,,
139,149,Alexandru Nichifor,Male,,,
140,150,Alexei Onatski,Male,Non-English,2001.0,
141,151,Alexey Kushnir,Male,Non-English,2010.0,
142,152,Alexis Jacquemin,Male,Non-English,,
143,153,Alfonso Flores-Lagunes,Male,,2001.0,
144,154,Alfonso Irarrazabal,Male,Non-English,,
145,155,Alfred Galichon,Male,Non-English,2007.0,
146,156,Ali Hortaçsu,Male,English,2001.0,
147,157,Ali Shourideh,Male,,2012.0,
148,158,Ali Yurukoglu,Male,English,2009.0,
149,159,Alicia H. Munnell,Female,English,,
150,160,Alireza Tahbaz-Salehi,Male,Non-English,2009.0,
151,161,Alisdair McKay,Male,English,2010.0,
152,162,Alison P. Hagy,Female,,,
153,163,Alistair J. Wilson,Male,English,,
154,164,Alistair Munro,Male,,,
155,165,Alix Peterson Zwane,Female,English,,
156,166,Alla Lileeva,Female,Non-English,,
157,167,Allan A. Zebedee,Male,,,
158,168,Allan Collard-Wexler,Male,English,2007.0,
159,169,Allan Drazen,Male,English,1976.0,
160,170,Allan G. Timmermann,Male,Non-English,,
161,171,Allan H. Meltzer,Male,English,,
162,172,Allan W. Kleidon,Male,English,,
163,173,Allan Zelenitz,Male,,,
164,174,Allen Head,Male,,,
165,175,Allen N. Berger,Male,English,,
166,176,Allen R. Sanderson,Male,,,
167,178,Alon Brav,Male,Non-English,,
168,179,Aloysius Siow,Male,English,1981.0,
169,180,Alp E. Atakan,Male,English,2003.0,
170,181,Alp Simsek,Male,Non-English,2010.0,
171,182,Alpo Willman,Male,Non-English,,
172,183,Alvaro J. Name-Correa,Male,Non-English,,
173,184,Alvaro Rodriguez,Male,,,
174,185,Alvaro Sandroni,Male,Non-English,1996.0,
175,186,Alvin D. Murphy,Male,English,,
176,187,Alvin E. Roth,Male,English,,
177,188,Alvin L. Marty,Male,English,,
178,190,Alvin Ulrich,Male,,,
179,191,Alwyn Young,Male,English,,
180,192,Alícia Adserà,Female,,,
181,193,Amalia R. Miller,Female,English,,
182,194,Amanda E. Kowalski,Female,English,,
183,195,Amanda Friedenberg,Female,,2003.0,
184,196,Amanda Gosling,Female,,,
185,197,Amanda Pallais,Female,English,2011.0,
186,198,Amanda Starc,Female,English,2011.0,
187,199,Amartya Lahiri,Male,English,1995.0,
188,201,Amil Petrin,Male,English,1998.0,
189,202,Amir E. Khandani,Male,,,
190,203,Amir Sufi,Male,English,2005.0,
191,204,Amir Yaron,Male,Non-English,1994.0,
192,205,Amit Gandhi,Male,English,2007.0,
193,207,Amit Kumar Khandelwal,Male,English,2007.0,
194,208,Amit Seru,Male,English,,
195,209,Amitabh Chandra,Male,English,2000.0,
196,210,Amnon Rapoport,Male,Non-English,,
197,211,Amos Tversky,Male,Non-English,,
198,212,Amparo Urbano,Female,Non-English,,
199,213,Amrita Dhillon,Female,Unknown,,
200,214,Amy Ellen Schwartz,Female,English,,
201,215,Amy Finkelstein,Female,English,2001.0,
202,216,Amy K. Dittmar,Female,English,,
203,217,Amy L. Bertin,Female,,,
204,218,Ana Castañeda,Female,Non-English,,
205,219,Ana Cecília Fieler,Female,Non-English,2008.0,
206,220,Ana Fostel,Female,,2005.0,
207,221,Ana L. Revenga,Female,English,,
208,222,Ana M. Ferrer,Female,,,
209,223,Anand V. Swamy,Male,,,
210,224,Ananth Ramanarayanan,Male,,,
211,225,Ananth Seshadri,Male,English,2000.0,
212,226,Anastasios Xepapadeas,Male,,,
213,227,Anat Bracha,Female,Non-English,,
214,228,Anat R. Admati,Female,Non-English,,
215,229,Anders Akerman,Male,Non-English,,
216,230,Anders Björklund,Male,Non-English,,
217,232,Anders Poulsen,Male,,,
218,233,Anders Rahbek,Male,Non-English,,
219,234,Anders Rygh Swensen,Male,Non-English,1980.0,
220,235,Andrea Attar,Male,Non-English,,
221,236,Andrea Frazzini,Male,English,,
222,237,Andrea Galeotti,Male,,,
223,238,Andrea Generale,Male,Non-English,,
224,239,Andrea Ichino,Male,Non-English,,
225,240,Andrea Isoni,Male,,,
226,241,Andrea L. Eisfeldt,Female,English,,
227,242,Andrea Moro,Male,Non-English,,
228,243,Andrea Prat,Male,Non-English,1997.0,
229,244,Andrea Shepard,Female,English,,
230,245,Andrea Tambalotti,Male,Non-English,,
231,246,Andrea Weber,Female,Non-English,,
232,247,Andrea Wilson,Female,English,2004.0,
233,248,Andreas Blume,Male,Non-English,,
234,249,Andreas Fuster,Male,,,
235,250,Andreas Herrmann,Male,Non-English,,
236,251,Andreas Hornstein,Male,Non-English,,
237,252,Andreas I. Mueller,Male,,,
238,253,Andreas Kontoleon,Male,,,
239,254,Andreas Lange,Male,Non-English,,
240,255,Andreas Madestam,Male,Non-English,,
241,256,Andreas Moxnes,Male,Non-English,,
242,257,Andreas Park,Male,,,
243,259,Andreas Ravndal Kostøl,Male,Non-English,,
244,260,Andreas Roider,Male,Non-English,,
245,261,Andrei A. Levchenko,Male,English,,
246,262,Andrei Kirilenko,Male,,,
247,263,Andrei Shleifer,Male,English,1986.0,
248,264,Andres Erosa,Male,Non-English,,
249,266,Andres Santos,Male,English,2007.0,
250,268,Andreu Mas-Colell,Male,Non-English,,
251,269,Andrew A. Samwick,Male,English,,
252,271,Andrew Atkeson,Male,English,,
253,272,Andrew B. Abel,Male,English,,
254,273,Andrew B. Bernard,Male,English,,
255,276,Andrew Charlton,Male,English,,
256,277,Andrew Chesher,Male,English,1970.0,Does not have a PhD; BA in 1970.
257,278,Andrew Ching,Male,English,2000.0,
258,279,Andrew D. Foster,Male,English,1988.0,
259,281,Andrew Ellul,Male,Non-English,,
260,282,Andrew F. Daughety,Male,English,,
261,283,Andrew F. Newman,Male,English,,
262,285,Andrew Haughwout,Male,,,
263,286,Andrew J. Hussey,Male,,,
264,287,Andrew J. Oswald,Male,English,,
265,288,Andrew J. Plantinga,Male,,,
266,289,Andrew J. Policano,Male,,,
267,290,Andrew J. Seltzer,Male,English,,
268,292,Andrew K. Rose,Male,English,,
269,293,Andrew Levin,Male,English,1989.0,
270,294,Andrew M. Warner,Male,Unknown,,
271,295,Andrew McLennan,Male,English,1982.0,
272,296,Andrew Metrick,Male,English,,
273,297,Andrew Postlewaite,Male,English,,
274,299,Andrew S. Caplin,Male,English,1983.0,
275,300,Andrew Schmitz,Male,English,,
276,301,Andrew Schotter,Male,English,1974.0,
277,302,Andrew Sweeting,Male,English,2004.0,
278,303,Andrew V. Carter,Male,English,,
279,304,Andrew W. Lo,Male,Non-English,,
280,305,Andrew Weiss,Male,English,,
281,306,Andrey Malenko,Male,Non-English,,
282,307,Andriy Norets,Male,Non-English,2007.0,
283,308,Andrzej Rapaczynski,Male,,,
284,309,Andrzej Ruszczynski,Male,Non-English,,
285,310,Andrzej Skrzypacz,Male,Non-English,,
286,311,André Kurmann,Male,Non-English,,
287,312,André Sapir,Male,Non-English,,
288,314,Andrés Aradillas-López,Male,,2005.0,
289,315,Andrés Carvajal,Male,Non-English,2003.0,
290,316,Andrés Rodríguez-Clare,Male,Non-English,1993.0,
291,317,Andrés Velasco,Male,Non-English,,
292,318,Aner Sela,Male,Non-English,,
293,319,Angel Serrat,Male,Non-English,,
294,320,Angela K. Dills,Female,,,
295,321,Angela Vossmeyer,Female,,2015.0,
296,325,Anil K. Kashyap,Male,English,1989.0,
297,327,Aniol Llorente-Saguer,Male,Non-English,,
298,328,Anirban Mitra,Male,English,,
299,329,Anita Tuladhar,Female,,,
300,330,Anjan V. Thakor,Male,Unknown,,
301,331,Anjini Kochar,Female,English,,
302,332,Anke S. Kessler,Female,Non-English,,
303,333,Ann A. McDermed,Female,,,
304,335,Ann Dryden Witte,Female,English,,
305,336,Ann E. Harrison,Female,English,,
306,337,Ann P. Bartel,Female,English,,
307,338,Anna Aizer,Female,English,2002.0,
308,339,Anna Bogomolnaia,Female,Non-English,,
309,340,Anna Dreber,Female,,,
310,341,Anna J. Schwartz,Female,,,
311,342,Anna L. Paulson,Female,,,
312,343,Anna Maria Mayda,Female,Non-English,2003.0,
313,344,Anna Mikusheva,Female,Non-English,2007.0,
314,345,Anna Pavlova,Female,Non-English,,
315,346,Anna Piil Damm,Female,Non-English,,
316,347,Anna Salomons,Female,,,
317,348,Annamaria Lusardi,Female,Non-English,,
318,350,Anne P. Villamil,Female,English,,
319,353,Annette Vissing-Jørgensen,Female,Non-English,1998.0,
320,354,Annika Sundén,Female,Non-English,,
321,356,"Anthony A. Smith, Jr.",Male,English,,
322,357,Anthony B. Atkinson,Male,English,,
323,358,Anthony C. Fisher,Male,English,,
324,360,Anthony J. Venables,Male,English,,
325,361,Anthony M. Kwasnica,Male,,,
326,362,Anthony Patrick O'Brien,Male,Non-English,,
327,363,Anthony Paul,Male,,,
328,364,Anthony Romeo,Male,,,
329,365,Anthony Ziegelmeyer,Male,Non-English,,
330,366,Antoine Billot,Male,Non-English,,
331,367,Antoine Bozio,Male,,,
332,368,Antoinette Schoar,Female,Non-English,,
333,369,Antonella Nocco,Female,,,
334,370,Antonella Trigari,Female,Non-English,,
335,371,Antoni Calvó-Armengol,Male,Non-English,,
336,372,Antoni Estevadeordal,Male,Non-English,,
337,374,Antonin Macé,Male,Non-English,,
338,375,Antonio Acconcia,Male,Non-English,,
339,376,Antonio Cabrales,Male,Non-English,,
340,377,Antonio Ciccone,Male,Non-English,,
341,378,Antonio Doblas-Madrid,Male,Non-English,2005.0,
342,379,Antonio E. Bernardo,Male,English,,
343,380,Antonio Fatás,Male,,,
344,381,Antonio Guarino,Male,Non-English,,
345,382,Antonio J. Morales,Male,Non-English,,
346,383,Antonio M. Bento,Male,,,
347,384,Antonio Merlo,Male,Non-English,,
348,385,Antonio Penta,Male,Non-English,2010.0,
349,386,Antonio Rangel,Male,English,1998.0,
350,387,Antonio Spilimbergo,Male,Non-English,,
351,388,Antoon Van Den Elzen,Male,Unknown,,
352,389,Anup Malani,Male,English,,
353,390,Anusha Chari,Female,English,,
354,391,Aprajit Mahajan,Male,English,2004.0,
355,392,April M. Franco,Female,,,
356,393,Archawa Paweenawat,Male,,,
357,394,Archishman Chakraborty,Male,English,,
358,395,Argia M. Sbordone,Female,,,
359,396,Ari Kuncoro,Male,Non-English,,
360,397,Arie Beresteanu,Male,Non-English,2001.0,
361,398,Arie Kapteyn,Male,Non-English,,
362,401,Ariel Rubinstein,Male,Non-English,1979.0,
363,403,Ariel Tomás Burstein,Male,Non-English,2002.0,
364,404,Ariel Zetlin-Jones,Male,,2012.0,
365,405,Ariell Reshef,Male,Non-English,2008.0,
366,406,Arijit Mukherji,Male,English,,
367,407,Arijit Sen,Male,English,,
368,408,Arik Levinson,Male,English,,
369,409,Arindrajit Dube,Male,English,,
370,410,Aris Protopapadakis,Male,English,,
371,411,Arleen Leibowitz,Female,,,
372,412,Arline T. Geronimus,Female,English,,
373,413,Armando Gomes,Male,Non-English,1997.0,
374,414,Armin Falk,Male,Non-English,1999.0,
375,415,Arnaud Costinot,Male,Non-English,2005.0,
376,416,Arnaud Dupuy,Male,Non-English,,
377,417,Arno Riedl,Male,Non-English,,
378,418,Arnold C. Harberger,Male,English,,
379,419,Arnoud W. A. Boot,Male,Non-English,,
380,420,Arpit Gupta,Male,English,2016.0,
381,421,Art Fraas,Male,English,,
382,422,Arthur A. Small,Male,English,,
383,423,Arthur A. Stone,Male,,,
384,424,Arthur Campbell,Male,English,,
385,426,Arthur Fishman,Male,Non-English,,
386,428,Arthur J. Hosios,Male,English,,
387,429,Arthur J. Robson,Male,English,1974.0,
388,430,Arthur J. Rolnick,Male,,,
389,431,Arthur Lewbel,Male,English,1984.0,
390,433,Arthur S. De Vany,Male,English,,
391,434,Arthur Snow,Male,English,,
392,435,Arthur van Soest,Male,Non-English,,
393,437,Artyom Shneyerov,Male,,,
394,438,Arunava Sen,Male,English,,
395,439,Arvind Krishnamurthy,Male,English,1998.0,
396,440,Arvind Panagariya,Male,English,,
397,441,Arye L. Hillman,Male,English,,
398,442,Asaf Zussman,Male,Non-English,,
399,443,Asen Ivanov,Male,Non-English,,
400,444,Asen Kochov,Male,Unknown,2010.0,
401,445,Asger Lunde,Male,Non-English,,
402,446,Asher Wolinsky,Male,Non-English,,
403,447,Ashoka Mody,Male,English,,
404,448,Asim Ijaz Khwaja,Male,English,,
405,449,Assaf Razin,Male,Non-English,1969.0,
406,450,Assar Lindbeck,Male,Non-English,,
407,451,Asuman Ozdaglar,Female,Non-English,,
408,452,Athanasios Orphanides,Male,English,,
409,453,Atif Mian,Male,English,2001.0,
410,454,Atila Abdulkadiroğlu,Male,Non-English,2000.0,
411,455,Atish R. Ghosh,Male,English,,
412,456,Atsushi Kajii,Male,Non-English,,
413,457,Attila Ambrus,Male,Non-English,2003.0,
414,458,Aubhik Khan,Male,Non-English,1993.0,
415,459,Audra J. Bowlus,Female,English,,
416,460,Augustin Landier,Male,Non-English,2002.0,
417,461,Aurélien Baillon,Male,Non-English,2007.0,
418,462,Austan Goolsbee,Male,English,1995.0,
419,463,Avery M. Guest,Male,Unknown,,
420,464,Avi Goldfarb,Male,English,2002.0,
421,465,Avi Simhon,Male,,,
422,466,Avi Wigderson,Male,Non-English,,
423,467,Avia Spivak,Female,Non-English,,
424,468,Aviad Heifetz,Male,Non-English,,
425,470,Avinash K. Dixit,Male,English,1968.0,
426,471,Avinatan Hassidim,Male,Non-English,,
427,472,Aviv Nevo,Male,Non-English,1997.0,
428,473,Avner Bar-Ilan,Male,Unknown,,
429,474,Avner Ben-Ner,Male,Non-English,,
430,475,Avner Greif,Male,Non-English,,
431,476,Avner Shaked,Male,Non-English,,
432,478,Axel Anderson,Male,,,
433,479,Axel Börsch-Supan,Male,,,
434,480,Axel Ockenfels,Male,,1998.0,
435,481,Ayala Arad,Female,Unknown,,
436,482,Ayca Kaya,Female,Non-English,2005.0,
437,483,Ayşe İmrohoroğlu,Female,Non-English,,
438,484,Ayşegül Şahin,Female,Non-English,2002.0,
439,485,Aytek Erdil,Male,Non-English,,
440,486,Azeem M. Shaikh,Male,English,,
441,488,B. Curtis Eaton,Male,English,,
442,489,B. Douglas Bernheim,Male,English,,
443,490,B. Peter Pashigian,Male,English,,
444,491,B. Peter Rosendorff,Male,English,,
445,492,B. Piedad Urdinola,Female,,,
446,493,B. Ravikumar,Male,English,1989.0,
447,494,Babu Nahata,Male,English,,
448,495,Babur De Los Santos,Male,,,
449,496,Badi H. Baltagi,Male,,,
450,498,Balázs Szentes,Male,Non-English,2002.0,
451,499,Barbara J. Mace,Female,English,,
452,500,Barbara L. Wolfe,Female,English,,
453,501,Barbara McCutcheon,Female,English,,
454,502,Barbara Petrongolo,Female,Non-English,,
455,503,Barbara Rossi,Female,Non-English,,
456,504,Barrett E. Kirwan,Male,English,,
457,505,Barry C. Field,Male,English,,
458,506,Barry Eichengreen,Male,English,1979.0,
459,507,Barry Falk,Male,English,,
460,508,Barry Nalebuff,Male,English,,
461,509,Barry Naughton,Male,,,
462,510,Barry R. Chiswick,Male,English,,
463,511,Barry R. Weingast,Male,English,,
464,512,Barry Sopher,Male,,1988.0,
465,513,Barry W. Ickes,Male,Unknown,,
466,514,Bart Hobijn,Male,Non-English,2001.0,
467,515,Bart J. Bronnenberg,Male,Non-English,,
468,516,Bart J. Wilson,Male,,,
469,517,Bart Taub,Male,English,,
470,518,Bartholomew Moore,Male,English,,
471,519,Barton H. Hamilton,Male,English,,
472,521,Barton L. Lipman,Male,English,,
473,522,Bartosz Mackowiak,Male,English,2002.0,
474,523,Basant K. Kapur,Male,Unknown,,
475,524,Bastiaan Oud,Male,,,
476,525,Bauke Visser,Male,Non-English,,
477,526,Beata Smarzynska Javorcik,Female,English,,
478,527,Bee Yan Aw,Female,English,,
479,528,Behzad T. Diba,Male,Non-English,,
480,530,Ben Craig,Male,,,
481,531,Ben Greiner,Male,Non-English,,
482,532,Ben Groom,Male,,,
483,533,Ben Lockwood,Male,,,
484,534,Ben Polak,Male,,,
485,535,Ben S. Bernanke,Male,English,,
486,536,Benedikt Herrmann,Male,Non-English,,
487,537,Benedikt M. Pötscher,Male,Non-English,,
488,538,Bengt Holmström,Male,Non-English,,
489,540,Benjamin A. Malin,Male,English,,
490,541,Benjamin A. Olken,Male,English,,
491,542,Benjamin Bental,Male,Unknown,,
492,543,Benjamin Born,Male,Non-English,,
493,544,Benjamin Bushong,Male,,2013.0,
494,545,Benjamin Conlee,Male,,,
495,546,Benjamin Crost,Male,,,
496,547,Benjamin E. Hermalin,Male,English,,
497,548,Benjamin Edelman,Male,English,,
498,549,Benjamin Eden,Male,Non-English,,
499,550,Benjamin F. Jones,Male,English,,
500,551,Benjamin Golub,Male,English,,
501,552,Benjamin J. Keys,Male,,,
502,553,Benjamin Klein,Male,English,,
503,554,Benjamin Lester,Male,English,2007.0,
504,555,Benjamin M. Friedman,Male,English,,
505,556,Benjamin M. Sand,Male,,,
506,557,Benjamin Moll,Male,English,2010.0,
507,558,Benjamin R. Handel,Male,English,2010.0,
508,559,Benjamin R. Mandel,Male,English,,
509,561,Benjamin Van Roy,Male,English,,
510,562,Benjamin W. Bahney,Male,,,
511,563,Benn Eifert,Male,English,,
512,564,Bennett T. McCallum,Male,English,,
513,565,Benny Moldovanu,Male,Non-English,,
514,566,Bent E. Sørensen,Male,Non-English,,
515,568,Berk Özler,Male,Non-English,2001.0,
516,570,Bernard Fortin,Male,Non-English,,
517,572,Bernard Salanié,Male,Non-English,1992.0,
518,573,Bernardo Guimaraes,Male,Non-English,,
519,574,Bernd Irlenbusch,Male,Non-English,,
520,575,Bernhard Von Stengel,Male,Non-English,,
521,577,Berthold Herrendorf,Male,Non-English,1996.0,
522,578,Bertil Tungodden,Male,Non-English,1995.0,
523,579,Bertrand Rime,Male,Non-English,,
524,580,Betsey Stevenson,Female,English,,
525,581,Bev Dahlby,Female,English,,
526,582,Bevin Ashenmiller,Female,,,
527,583,Bhagwan Chowdhry,Male,English,,
528,584,Bhashkar Mazumder,Male,,,
529,585,Bhaskar Dutta,Male,English,,
530,586,Bijan B. Aghevli,Male,Non-English,,
531,587,Bilge Yılmaz,Male,,,
532,589,Bill Dupor,Male,English,,
533,590,Bill M. Woodland,Male,English,,
534,591,Bill Wright,Male,English,,
535,592,Bin Chen,Male,Non-English,2007.0,
536,593,Birger Wernerfelt,Male,Non-English,,
537,594,Birgit Grodal,Female,,,
538,595,Birgit Heydenreich,Female,Unknown,,
539,596,Björn Bartling,Male,Non-English,2004.0,
540,597,Björn Tyrefors Hinnerich,Male,Non-English,,
541,598,Björn Wallace,Male,Non-English,,
542,599,Björn Öckert,Male,Non-English,,
543,600,Blaine Roberts,Male,English,,
544,601,Blaise Melly,Male,Non-English,2006.0,
545,602,Bo Axell,Male,,,
546,603,Bo Chen,Male,Non-English,2007.0,
547,604,Bo E. Honoré,Male,Non-English,,
548,605,Bogaçhan Çelen,Male,Non-English,,
549,606,Botond Kőszegi,Male,English,2000.0,
550,607,Boyan Jovanovic,Male,English,,
551,608,Brad M. Barber,Male,English,,
552,609,Bradford Cornell,Male,,,
553,610,Bram De Rock,Male,Non-English,,
554,611,Bram Thuysbaert,Male,Non-English,,
555,612,Brandice Canes-Wrone,Female,English,1998.0,
556,613,Branko Urošević,Male,,,
557,614,Brendan Daley,Male,English,2008.0,
558,615,Brendan K. Beare,Male,English,2007.0,
559,616,Brendan O'Flaherty,Male,English,,
560,617,Brendan Price,Male,English,2017.0,
561,618,Breno Braga,Male,,,
562,619,Brent Neiman,Male,English,2008.0,
563,621,Brett Green,Male,,2009.0,
564,622,Brett Noel,Male,English,,
565,623,Brett R. Gordon,Male,English,,
566,625,Brian A. Jacob,Male,English,,
567,626,Brian J. Aitken,Male,,,
568,627,Brian Blackburn,Male,,,
569,628,Brian Bowen,Male,,,
570,629,Brian C. Murray,Male,,,
571,631,Brian D. Bell,Male,,,
572,632,Brian D. Kelly,Male,English,,
573,633,Brian D. Wright,Male,English,,
574,634,Brian Duncan,Male,,,
575,635,Brian Frantz,Male,English,,
576,636,Brian L. Goff,Male,,,
577,637,Brian Hill,Male,,,
578,638,Brian J. Hall,Male,English,,
579,640,Brian K. Kovak,Male,English,,
580,641,Brian Knight,Male,English,2000.0,
581,642,Brian L. Bentick,Male,Unknown,,
582,643,Brian Merlob,Male,,,
583,644,Brian P. McCall,Male,English,,
584,645,Brian R. Copeland,Male,English,,
585,646,Brian Sack,Male,English,,
586,647,Brian T. Melzer,Male,English,,
587,648,Brian Wallace,Male,,,
588,649,Bridger M. Mitchell,Male,English,,
589,650,Bridget Terry Long,Female,English,,
590,651,Brigitte C. Madrian,Female,English,,
591,652,Brit Grosskopf,Female,,2000.0,
592,653,Brook S. Payner,Male,English,,
593,654,Brooke Helppie McFall,Female,,,
594,655,Brooks Pierce,Male,English,,
595,656,Bruce A. Blonigen,Male,English,,
596,657,Bruce A. Weinberg,Male,English,,
597,658,Bruce Bender,Male,English,,
598,660,Bruce C. Greenwald,Male,English,,
599,661,Bruce C. Petersen,Male,English,,
600,662,Bruce Champ,Male,,,
601,663,Bruce D. Meyer,Male,English,,
602,664,Bruce D. Smith,Male,English,,
603,665,Bruce E. Hansen,Male,English,1989.0,
604,666,Bruce Hay,Male,English,,
605,667,Bruce I. Sacerdote,Male,English,1997.0,
606,668,Bruce Ian Carlin,Male,,,
607,669,Bruce N. Lehmann,Male,English,,
608,670,Bruce Preston,Male,English,,
609,671,Bruce Rhodes,Male,,,
