"Agapos, Am",Am Agapos,A. Michael Agapos,Male
"Agarwal, Nikhil",Nikhil Agarwal,Nikhil Agarwal,Male
"Agarwal, Sumit",Sumit Agarwal,Sumit Agarwal,Male
"Aghevli, Bb",Bb Aghevli,Bijan B. Aghevli,Male
"Aghion, P",P Aghion,Philippe Aghion,Male
"Aghion, Philippe",Philippe Aghion,Philippe Aghion,Male
"Agnew, Julie R.",Julie R. Agnew,Julie Agnew,Female
"Agrawal, David R.",David R. Agrawal,David R. Agrawal,Male
"Aguiar, Mark",Mark Aguiar,Mark Aguiar,Male
"Aguila, Emma",Emma Aguila,Emma Aguila,Female
"Aguirregabiria, Victor",Victor Aguirregabiria,Victor Aguirregabiria,Male
"Ahlburg, D",D Ahlburg,Dennis A. Ahlburg,Male
"Ahlfeldt, Gabriel M.",Gabriel M. Ahlfeldt,Gabriel M. Ahlfeldt,Male
"Ahlin, Christian",Christian Ahlin,Christian Ahlin,Male
"Ahn, David S.",David S. Ahn,David S. Ahn,Male
"Ai, Hengjie",Hengjie Ai,Chunrong Ai,Male
"Aidt, Toke S.",Toke S. Aidt,Toke S. Aidt,Male
"Aigner, Dj",Dj Aigner,Dennis J. Aigner,Male
"Aikman, David",David Aikman,David Aikman,Male
"Ainslie, G",G Ainslie,George W. Ainslie,Male
"Aiyagari, Sr",Sr Aiyagari,S. Rao Aiyagari,Male
"Aizcorbe, A",A Aizcorbe,Ana Aizcorbe,Female
"Aizer, A",A Aizer,Anna Aizer,Female
"Aizer, Anna",Anna Aizer,Anna Aizer,Female
"Ajello, Andrea",Andrea Ajello,Andrea Ajello,Male
"Akcigit, Ufuk",Ufuk Akcigit,Ufuk Akcigit,Male
"Akerlof, G",G Akerlof,George A. Akerlof,Male
"Akerlof, Ga",Ga Akerlof,George A. Akerlof,Male
"Akerlof, George A.",George A. Akerlof,George A. Akerlof,Male
"Akitoby, Bernardin",Bernardin Akitoby,Bernardin Akitoby,Male
"Al-Najjar, Ni",Ni Al-Najjar,Nabil Ibraheem Al-Najjar,Male
"Al-Samarrie, Ahmad",Ahmad Al-Samarrie,Ahmad Al-Samarrie,Male
"Al-Ubaydli, Omar",Omar Al-Ubaydli,Omar Al-Ubaydli,Male
"Alan, Sule",Sule Alan,Sule Alan,Female
"Alary, David",David Alary,David Alary,Male
"Alatas, Vivi",Vivi Alatas,Vivi Alatas,Female
"Albanesi, Stefania",Stefania Albanesi,Stefania Albanesi,Female
"Albornoz, Facundo",Facundo Albornoz,Facundo Albornoz,Male
"Albrecht, J",J Albrecht,James W. Albrecht,Male
"Albrecht, James",James Albrecht,James W. Albrecht,Male
"Alchian, Aa",Aa Alchian,Armen Alchian,Male
"Alchian, Armen A.",Armen A. Alchian,Armen Alchian,Male
"Aldashev, Gani",Gani Aldashev,Gani Aldashev,Male
"Ales, Laurence",Laurence Ales,Laurence Ales,Male
"Alesina, A",A Alesina,Alberto Alesina,Male
"Alesina, Alberto",Alberto Alesina,Alberto Alesina,Male
"Alexander, D",D Alexander,Diane Alexander,Female
"Alfaro, Laura",Laura Alfaro,Laura Alfaro,Female
"Algan, Yann",Yann Algan,Yann Algan,Male
"Alhadeff, Charlotte P.",Charlotte P. Alhadeff,Charlotte P. Alhadeff,Female
"Alhadeff, Da",Da Alhadeff,David A Alhadeff,Male
"Alhadeff, David A.",David A. Alhadeff,David A. Alhadeff,Male
"Ali, S. Nageeb",S. Nageeb Ali,S. Nageeb Ali,Male
"Aliber, Rz",Rz Aliber,Robert Z. Aliber,Male
"Aliprantis, Charalambos D.",Charalambos D. Aliprantis,Charalambos D. Aliprantis,Male
"Allais, M",M Allais,Maurice Allais,Male
"Allais, M.",M. Allais,Maurice Allais,Male
"Allayannis, G",G Allayannis,George (Yiorgos) Allayannis,Male
"Allcott, Hunt",Hunt Allcott,Hunt Allcott,Male
"Allen, B",B Allen,Beth Allen,Female
"Allen, Bj",Bj Allen,Benjamin J Allen,Male
"Allen, Edward D.",Edward D. Allen,Edward D. Allen,Male
"Allen, F",F Allen,Franklin Allen,Male
"Allen, G. C.",G. C. Allen,George Cyril Allen,Male
"Allen, H",H Allen,Heidi Allen,Female
"Allen, Hl",Hl Allen,Heidi Allen,Female
"Allen, Jason",Jason Allen,Jason Allen,Male
"Allen, Rc",Rc Allen,Robert C. Allen,Male
"Allen, Robert C.",Robert C. Allen,Robert C. Allen,Male
"Allen, Treb",Treb Allen,Treb Allen,Male
"Allgood, S",S Allgood,Sam Allgood,Male
"Allgood, Sam",Sam Allgood,Sam Allgood,Male
"Allin, Bushrod W.",Bushrod W. Allin,Bushrod W. Allin,Male
"Allingham, Mg",Mg Allingham,Michael G. Allingham,Male
"Allsopp, Christopher",Christopher Allsopp,Christopher Allsopp,Male
"Almond, D",D Almond,Douglas Almond,Male
"Almond, Douglas",Douglas Almond,Douglas Almond,Male
"Alogoskoufis, G",G Alogoskoufis,George S. Alogoskoufis,Male
"Alogoskoufis, Gs",Gs Alogoskoufis,George S. Alogoskoufis,Male
"Alonso, Ricardo",Ricardo Alonso,Ricardo Alonso,Male
"Alos-Ferrer, Carlos",Carlos Alos-Ferrer,Carlos Alos-Ferrer,Male
"Alp, Harun",Harun Alp,Harun Alp,Male
"Alsan, Marcella",Marcella Alsan,Marcella Alsan,Female
"Alstadsaeter, Annette",Annette Alstadsaeter,Annette Alstadsaeter,Female
"Alston, Lj",Lj Alston,Lee J. Alston,Male
"Alt, Franz L.",Franz L. Alt,Franz Leopold Alt,Male
"Altindag, Duha T.",Duha T. Altindag,Duha T. Altindag,Male
"Altman, D",D Altman,Daniel Altman,Male
"Altonji, Jg",Jg Altonji,Joseph G. Altonji,Male
"Altonji, Joseph G.",Joseph G. Altonji,Joseph G. Altonji,Male
"Altshuler, R",R Altshuler,Rosanne Altshuler,Female
"Alvaredo, Facundo",Facundo Alvaredo,Facundo Alvaredo,Male
"Alvarez, F",F Alvarez,Fernando E. Alvarez,Male
"Alvarez, Fernando",Fernando Alvarez,Fernando E. Alvarez,Male
"Alvi, E",E Alvi,Eskander Alvi,Male
"Amador, Manuel",Manuel Amador,Manuel Amador,Male
"Ambrus, Attila",Attila Ambrus,Attila Ambrus,Male
"Ambuehl, Sandro",Sandro Ambuehl,Sandro Ambuehl,Male
"Ameriks, John",John Ameriks,John Ameriks,Male
"Ames, Edward",Edward Ames,Edward Ames,Male
"Amiran, Ey",Ey Amiran,Edoh Amiran,Male
"Amiti, Mary",Mary Amiti,Mary Amiti,Female
"Amodio, Francesco",Francesco Amodio,Francesco Amodio,Male
"Amromin, Gene",Gene Amromin,Gene Amromin,Male
"Amsden, Ah",Ah Amsden,Alice Hoffenberg Amsden,Female
"Amuedo-Dorantes, C",C Amuedo-Dorantes,Catalina Amuedo-Dorantes,Female
"Amuedo-Dorantes, Catalina",Catalina Amuedo-Dorantes,Catalina Amuedo-Dorantes,Female
"Anagol, Santosh",Santosh Anagol,Santosh Anagol,Male
"Anderberg, Dan",Dan Anderberg,Dan Anderberg,Male
"Anderlini, L",L Anderlini,Luca Anderlini,Male
"Andersen, Steffen",Steffen Andersen,Steffen Andersen,Male
"Andersen, Tg",Tg Andersen,Torben G. Andersen,Male
"Andersen, Thomas Barnebeck",Thomas Barnebeck Andersen,Thomas Barnebeck Andersen,Male
"Anderson, Axel",Axel Anderson,Axel Anderson,Male
"Anderson, Benjamin M., Jr.",Benjamin M. Anderson,Benjamin M. Anderson,Male
"Anderson, C. Arnold",C. Arnold Anderson,Charles Arnold Anderson,Male
"Anderson, Clay J.",Clay J. Anderson,Clay J. Anderson,Male
"Anderson, G",G Anderson,Gordon Anderson,Male
"Anderson, Gj",Gj Anderson,Gordon J. Anderson,Male
"Anderson, Haelim",Haelim Anderson,Haelim Anderson,Female
"Anderson, Je",Je Anderson,James E. Anderson,Male
"Anderson, L",L Anderson,Lisa R. Anderson,Female
"Anderson, Lisa R.",Lisa R. Anderson,Lisa R. Anderson,Female
"Anderson, Lr",Lr Anderson,Lisa R. Anderson,Female
"Anderson, Michael",Michael Anderson,Michael L. Anderson,Male
"Anderson, Richard G.",Richard G. Anderson,Richard G. Anderson,Male
"Anderson, Rm",Rm Anderson,Robert M. Anderson,Male
"Anderson, Rw",Rw Anderson,Ronald W. Anderson,Male
"Anderson, Simon P.",Simon P. Anderson,Simon P. Anderson,Male
"Anderson, Siwan",Siwan Anderson,Siwan Anderson,Female
"Anderson, Soren T.",Soren T. Anderson,Soren T. Anderson,Male
"Anderson, T. W.",T. W. Anderson,Theodore Wilbur Anderson,Male
"Anderson, Tw",Tw Anderson,Theodore Wilbur Anderson,Male
"Andersson, Fredrik",Fredrik Andersson,Fredrik Andersson,Male
"Andersson, Tommy",Tommy Andersson,Tommy Andersson,Male
"Ando, A",A Ando,Albert Ando,Male
"Ando, Ak",Ak Ando,Albert Ando,Male
"Andreoni, J",J Andreoni,James Andreoni,Male
"Andreoni, James",James Andreoni,James Andreoni,Male
"Andreou, E.",E. Andreou,Elena Andreou,Female
"Andrews, Dwk",Dwk Andrews,Donald W. K. Andrews,Male
"Andrews, Isaiah",Isaiah Andrews,Isaiah Andrews,Male
"Anesi, Vincent",Vincent Anesi,Vincent Anesi,Male
"Angeletos, George-Marios",George-Marios Angeletos,George-Marios Angeletos,Male
"Angeletos, Gm",Gm Angeletos,George-Marios Angeletos,Male
"Angelucci, Manuela",Manuela Angelucci,Manuela Angelucci,Female
"Angrist, J",J Angrist,Joshua D. Angrist,Male
"Angrist, Jd",Jd Angrist,Joshua D. Angrist,Male
"Angrist, Joshua",Joshua Angrist,Joshua D. Angrist,Male
"Angrist, Joshua D.",Joshua D. Angrist,Joshua D. Angrist,Male
"Annan, Francis",Francis Annan,Francis Annan,Male
"Antecol, Heather",Heather Antecol,Heather Antecol,Female
"Anthoff, David",David Anthoff,David Anthoff,Male
"Antman, Francisca",Francisca Antman,Francisca M. Antman,Female
"Antman, Francisca M.",Francisca M. Antman,Francisca M. Antman,Female
"Antoniou, A",A Antoniou,Antonios Antoniou,male
"Antonovics, K",K Antonovics,Kate Antonovics,Female
"Antweiler, W",W Antweiler,Werner Antweiler,Male
"Anwar, Shamena",Shamena Anwar,Shamena Anwar,Female
"Aoki, M",M Aoki,Masahiko Aoki,Male
"Apel, Hans",Hans Apel,Hans Apel,Male
"Apesteguia, Jose",Jose Apesteguia,Jose Apesteguia,Male
"Apicella, Coren L.",Coren L. Apicella,Coren L. Apicella,Female
"Appelbaum, E",E Appelbaum,Elie Appelbaum,Male
"Appleyard, Dr",Dr Appleyard,Dennis R Appleyard,Male
"Apps, Pf",Pf Apps,Patricia Apps,Female
"Aragon, Fernando M.",Fernando M. Aragon,Fernando M. Aragon,Male
"Araujo, A",A Araujo,Aloisio Araujo,Male
"Araujo, Aloisio",Aloisio Araujo,Aloisio Araujo,Male
"Arbatli, Cemal Eren",Cemal Eren Arbatli,Cemal Eren Arbatli,Male
"Arceo, Eva",Eva Arceo,Eva O. Arceo-Gomez,Female
"Archibald, G. C.",G. C. Archibald,George Christopher Archibald,Male
"Archibong, Belinda",Belinda Archibong,Belinda Archibong,Female
"Arcidiacono, Peter",Peter Arcidiacono,Peter Arcidiacono,Male
"Arditti, Fd",Fd Arditti,Fred Arditti,Male
"Arellano, Cristina",Cristina Arellano,Cristina Arellano,Female
"Arellano, M",M Arellano,Manuel Arellano,Male
"Arellano, Manuel",Manuel Arellano,Manuel Arellano,Male
"Arifovic, Jasmina",Jasmina Arifovic,Jasmina Arifovic,Female
"Arkolakis, Costas",Costas Arkolakis,Costas Arkolakis,Male
"Armand, Alex",Alex Armand,Alex Armand,Male
"Armstrong, M",M Armstrong,Mark Armstrong,Male
"Armstrong, Mark",Mark Armstrong,Mark Armstrong,Male
"Armstrong, Timothy B.",Timothy B. Armstrong,Timothy B Armstrong,Male
"Arndt, H. W.",H. W. Arndt,Heinz Arndt,Male
"Arndt, Hw",Hw Arndt,Heinz Arndt,Male
"Arndt, Sw",Sw Arndt,Sven W. Arndt,Male
"Arnold, David",David Arnold,David Arnold,Male
"Arnon, A",A Arnon,Arie Arnon,Male
"Arnott, Rj",Rj Arnott,Richard J. Arnott,Male
"Arrow, K. J.",K. J. Arrow,Kenneth J. Arrow,Male
"Arrow, Kenneth J.",Kenneth J. Arrow,Kenneth J. Arrow,Male
"Arrow, Kj",Kj Arrow,Kenneth J. Arrow,Male
"Arrunada, Benito",Benito Arrunada,Benito Arrunada,Male
"Arthur, Wb",Wb Arthur,W. Brian Arthur,Male
"Artuc, Erhan",Erhan Artuc,Erhan Artuc,Male
"Aruoba, S. Boragan",S. Boragan Aruoba,S Borağan Aruoba,Male
"Aryeetey, Ernest",Ernest Aryeetey,Ernest Aryeetey,Male
"Arzac, Er",Er Arzac,Enrique R Arzac,Male
"Ascari, G",G Ascari,Guido Ascari,Male
"Aschauer, Da",Da Aschauer,David A. Aschauer,Male
"Ashcraft, Adam",Adam Ashcraft,Adam Ashcraft,Male
"Ashcraft, Adam B.",Adam B. Ashcraft,Adam Ashcraft,Male
"Asheim, Gb",Gb Asheim,Geir B. Asheim,Male
"Ashenfelter, O",O Ashenfelter,Orley Ashenfelter,Male
"Ashenfelter, Oc",Oc Ashenfelter,Orley Ashenfelter,Male
"Ashenfelter, Orley",Orley Ashenfelter,Orley Ashenfelter,Male
"Ashlagi, Itai",Itai Ashlagi,Itai Ashlagi,Male
"Ashley, Ra",Ra Ashley,R. Ashley,Male
"Ashournia, Damoun",Damoun Ashournia,Damoun Ashournia,Male
"Ashraf, Nava",Nava Ashraf,Nava Ashraf,Female
"Ashraf, Quamrul H.",Quamrul H. Ashraf,Quamrul Ashraf,Male
"Ashton, Herbert",Herbert Ashton,Herbert Ashton,Male
"Asiedu, Elizabeth",Elizabeth Asiedu,Elizabeth Asiedu,Female
"Asimakopulos, A",A Asimakopulos,"Athanasios ""Tom"" Asimakopulos",Male
"Askari, H",H Askari,Hossein Askari,Male
"Asker, John",John Asker,John Asker,Male
"Asparouhova, Elena",Elena Asparouhova,Elena Asparouhova,Female
"Asplund, M",M Asplund,Marcus Asplund,Male
"Atalay, Enghin",Enghin Atalay,Enghin Atalay,Male
"Athey, S",S Athey,Susan Athey,Female
"Athey, Susan",Susan Athey,Susan Athey,Female
"Atiyas, I",I Atiyas,İzak Atiyas,Male
"Atkeson, A",A Atkeson,Andrew Atkeson,Male
"Atkeson, Andrew",Andrew Atkeson,Andrew Atkeson,Male
"Atkin, David",David Atkin,David Atkin,Male
"Atkins, David",David Atkins,David Atkins,Male
"Atkinson, A. B.",A. B. Atkinson,Anthony B. Atkinson,Male
"Atkinson, Ab",Ab Atkinson,Anthony B. Atkinson,Male
"Atkinson, Anthony B.",Anthony B. Atkinson,Anthony B. Atkinson,Male
"Atrostic, Bk",Bk Atrostic,Barbara Kathryn Atrostic,Female
"Atsumi, H",H Atsumi,Hiroshi Atsumi,Male
"Attanasio, O",O Attanasio,Orazio P. Attanasio,Male
"Attanasio, Op",Op Attanasio,Orazio P. Attanasio,Male
"Attanasio, Orazio",Orazio Attanasio,Orazio P. Attanasio,Male
"Attanasio, Orazio P.",Orazio P. Attanasio,Orazio P. Attanasio,Male
"Attema, Arthur E.",Arthur E. Attema,Arthur E. Attema,Male
"Attfield, Clf",Clf Attfield,Clifford L. F. Attfield,Male
"Aturupane, H",H Aturupane,Harsha Aturupane,Male
"Aubrey, Henry G.",Henry G. Aubrey,Henry G. Aubrey,Male
"Aucejo, Esteban M.",Esteban M. Aucejo,Esteban M. Aucejo,Male
"Auclert, Adrien",Adrien Auclert,Adrien Auclert,Male
"Audretsch, Db",Db Audretsch,David B. Audretsch,Male
"Auerbach, Aj",Aj Auerbach,Alan J. Auerbach,Male
"Auerbach, Alan J.",Alan J. Auerbach,Alan J. Auerbach,Male
"Auernheimer, L",L Auernheimer,Leonardo Auernheimer,Male
"Auffhammer, Maximilian",Maximilian Auffhammer,Maximilian Auffhammer,Male
"Augenblick, Ned",Ned Augenblick,Ned Augenblick,Male
"Aughinbaugh, A",A Aughinbaugh,Alison Aughinbaugh,Female
"Auriol, Emmanuelle",Emmanuelle Auriol,Emmanuelle Auriol,Female
"Ausubel, Lawrence M.",Lawrence M. Ausubel,Lawrence M. Ausubel,Male
"Auten, Ge",Ge Auten,Gerald E. Auten,Male
"Autor, David",David Autor,David Autor,Male
"Autor, David H.",David H. Autor,David H. Autor,Male
"Autor, Dh",Dh Autor,David H. Autor,Male
"Averett, Sl",Sl Averett,Susan L. Averett,Female
"Avery, C",C Avery,Christopher N. Avery,Male
"Avis, Eric",Eric Avis,Eric Avis,Male
"Aw, Bee Yan",Bee Yan Aw,Bee Yan Aw,Female
"Aw, By",By Aw,Bee Yan Aw,Female
"Axtell, R",R Axtell,Robert Axtell,Male
"Ayanian, R",R Ayanian,Robert Ayanian,Male
"Ayres, Clarence E.",Clarence E. Ayres,Clarence E. Ayres,Male
"Azariadis, C",C Azariadis,Costas Azariadis,Male
"Azevedo, Eduardo",Eduardo Azevedo,Eduardo Azevedo,Male
"Azevedo, Eduardo M.",Eduardo M. Azevedo,Eduardo M. Azevedo,Male
"Azmat, Ghazala",Ghazala Azmat,Ghazala Azmat,Female
"Azoulay, Pierre",Pierre Azoulay,Pierre Azoulay,Male
"Azrieli, Yaron",Yaron Azrieli,Yaron Azrieli,Male
"Azzi, C",C Azzi,Corry Azzi,Female
"Azzi, Cf",Cf Azzi,Corry Azzi,Female
"Baarsma, Be",Be Baarsma,Barbara Elisabeth Baarsma,Male
"Babcock, L",L Babcock,Linda Babcock,Female
"Babcock, Linda",Linda Babcock,Linda Babcock,Female
"Babus, Ana",Ana Babus,Ana Babus,Female
"Bacchetta, P",P Bacchetta,Philippe Bacchetta,Male
"Bacchetta, Philippe",Philippe Bacchetta,Philippe Bacchetta,Male
"Bach, G. L.",G. L. Bach,George Leland Bach,Male
"Bach, George L.",George L. Bach,George L. Bach,Male
"Bach, George Leland",George Leland Bach,George Leland Bach,Male
"Bacha, E",E Bacha,Edmar Lisboa Bacha,Male
"Bacha, El",El Bacha,Edmar Lisboa Bacha,Male
"Bachmura, Ft",Ft Bachmura,Frank T. Bachmura,Male
"Back, Kerry",Kerry Back,Kerry Back,Male
"Backus, D",D Backus,David K. Backus,Male
"Backus, Dk",Dk Backus,David K. Backus,Male
"Badenfuller, Cwf",Cwf Badenfuller,Charles Baden-Fuller,Male
"Bagchi, Ak",Ak Bagchi,Amiya Kumar Bagchi,Male
"Bagger, Jesper",Jesper Bagger,Jesper Bagger,Male
"Bagues, Manuel",Manuel Bagues,Manuel F. Bagues,Male
"Bagwell, K",K Bagwell,Kyle Bagwell,Male
"Bagwell, Ls",Ls Bagwell,Laurie Simon Bagwell,Female
"Bahar, Dany",Dany Bahar,Dany Bahar,Male
"Baharad, Eyal",Eyal Baharad,Eyal Baharad,Male
"Bahel, Eric",Eric Bahel,Eric Bahel,Male
"Bai, Yan",Yan Bai,Yan Bai,Female
"Baicker, K",K Baicker,Katherine Baicker,Female
"Bailey, D",D Bailey,David Bailey,Male
"Bailey, Ee",Ee Bailey,Elizabeth E. Bailey,Female
"Bailey, Martin J.",Martin J. Bailey,Martin J. Bailey,Male
"Baillon, Aurelien",Aurelien Baillon,Aur?lien Baillon,Male
"Baily, Mn",Mn Baily,Martin Neil Baily,Male
"Baird, Sarah",Sarah Baird,Sarah Baird,Female
"Bajari, Patrick",Patrick Bajari,Patrick Bajari,Male
"Baker, G",G Baker,George P. Baker,Male
"Baker, George P.",George P. Baker,George P. Baker,Male
"Baker, Gp",Gp Baker,George P. Baker,Male
"Baker, Scott R.",Scott R. Baker,Scott R. Baker,Male
"Bakker, Gerben",Gerben Bakker,Gerben Bakker,Male
"Bala, V",V Bala,Venkatesh Bala,Male
"Balafoutas, Loukas",Loukas Balafoutas,Loukas Balafoutas,Male
"Baland, Jean-Marie",Jean-Marie Baland,Jean-Marie Baland,Male
"Balassa, B",B Balassa,Bela Balassa,Male
"Balassa, Ba",Ba Balassa,Bela Balassa,Male
"Balderston, F. E.",F. E. Balderston,Frederick Balderston,Male
"Baldwin, Elizabeth",Elizabeth Baldwin,Elizabeth Baldwin,Female
"Baldwin, George B.",George B. Baldwin,George B. Baldwin,Male
"Baldwin, Re",Re Baldwin,Richard E. Baldwin,Male
"Baldwin, Richard",Richard Baldwin,Richard E. Baldwin,Male
"Baldwin, Robert E.",Robert E. Baldwin,Richard E. Baldwin,Male
"Balgooyen, Henry W.",Henry W. Balgooyen,Henry W. Balgooyen,Male
"Balk, Bm",Bm Balk,Bert M. Balk,Male
"Balkenborg, D",D Balkenborg,Dieter Balkenborg,Male
"Ball, L",L Ball,Laurence Ball,Male
"Ball, Sb",Sb Ball,Sheryl Ball,Female
"Ballard, Cl",Cl Ballard,Charles L. Ballard,Male
"Ballester, Miguel A.",Miguel A. Ballester,Miguel A. Ballester,Male
"Balvers, Rj",Rj Balvers,Ronald J. Balvers,Male
"Bandi, Federico M.",Federico M. Bandi,Federico M. Bandi,Male
"Bandiera, Oriana",Oriana Bandiera,Oriana Bandiera,Female
"Bandyopadhyay, T",T Bandyopadhyay,Taradas Bandyopadhyay,Male
"Banerjee, A",A Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit",Abhijit Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit V.",Abhijit V. Banerjee,Abhijit Banerjee,Male
"Banerjee, Abhijit, V",Abhijit Banerjee,Abhijit V. Banerjee,Male
"Banerjee, Abhijit, V",Abhijit Banerjee,Abhijit V. Banerjee,Male
"Banerjee, Av",Av Banerjee,Abhijit Vinayak Banerjee,Male
"Banerjee, Ks",Ks Banerjee,K. S. Banerjee,Male
"Banks, J",J Banks,James Banks,Male
"Banks, J",J Banks,Jeffrey S. Banks,Male
"Banks, James",James Banks,James Banks,Male
"Bansak, Cynthia",Cynthia Bansak,Cynthia Bansak,Female
"Bansal, Ravi",Ravi Bansal,Ravi Bansal,Male
"Baqaee, David Rezza",David Rezza Baqaee,David Rezza Baqaee,Male
"Baranov, Oleg",Oleg Baranov,Oleg V. Baranov,Male
"Barber, Bm",Bm Barber,Brad M. Barber,Male
"Barber, Clarence L.",Clarence L. Barber,Clarence L. Barber,Male
"Bardhan, P",P Bardhan,Pranab K. Bardhan,Male
"Bardhan, Pk",Pk Bardhan,Pranab K. Bardhan,Male
"Barilan, A",A Barilan,Avner Bar-ilan,Male
"Barjamovic, Gojko",Gojko Barjamovic,Gojko Barjamovic,Male
"Barkai, H",H Barkai,Haim Barkai,Male
"Barlow, R",R Barlow,Robin Barlow,Male
"Barlow, Robin",Robin Barlow,Robin Barlow,Male
"Barnett, Wa",Wa Barnett,William A. Barnett,Male
"Baron, Dp",Dp Baron,David P. Baron,Male
"Barone, Guglielmo",Guglielmo Barone,Guglielmo Barone,Male
"Barr, Dg",Dg Barr,David G. Barr,Male
"Barreca, Alan",Alan Barreca,Alan I. Barreca,Male
"Barrett, Cb",Cb Barrett,Christopher B. Barrett,Male
"Barro, Rj",Rj Barro,Robert J. Barro,Male
"Barro, Robert J.",Robert J. Barro,Robert J. Barro,Male
"Barron, Daniel",Daniel Barron,Daniel Barron,Male
"Bartel, A",A Bartel,Ann P. Bartel,Female
"Bartel, Ap",Ap Bartel,Ann P. Bartel,Female
"Bartelsman, Ej",Ej Bartelsman,Eric Bartelsman,Male
"Barten, Ap",Ap Barten,Anton P. Barten,Male
"Barth, Daniel",Daniel Barth,Daniel Barth,Male
"Barth, Erling",Erling Barth,Erling Barth,Male
"Bartling, Bjoern",Bjoern Bartling,Björn Bartling,Male
"Barzel, Y",Y Barzel,Yoram Barzel,Male
"Basak, Deepal",Deepal Basak,Deepal Basak,Male
"Basevi, G",G Basevi,Giorgio Basevi,Male
"Basmann, R. L.",R. L. Basmann,Robert L. Basmann,Male
"Basmann, Rl",Rl Basmann,Robert L. Basmann,Male
"Bassett, Gw",Gw Bassett,Gilbert Bassett,Male
"Bassetto, M",M Bassetto,Marco Bassetto,Male
"Bassetto, Marco",Marco Bassetto,Marco Bassetto,Male
"Basso, Henrique S.",Henrique S. Basso,Henrique S. Basso,Male
"Basten, Christoph",Christoph Basten,Christoph Basten,Male
"Basu, Arnab K.",Arnab K. Basu,Arnab K. Basu,Male
"Basu, K",K Basu,Kaushik Basu,Male
"Basu, Kaushik",Kaushik Basu,Kaushik Basu,Male
"Basu, Susanto",Susanto Basu,Susanto Basu,Male
"Batchelder, A",A Batchelder,Alan B. Batchelder,Male
"Bateman, Hazel",Hazel Bateman,Ian Bateman,Male
