,combined
130,GD: Argentina
131,GR: Latin America and the Caribbean
132,LA: English
133,UD: 199006
134,AN: 0076244
135,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
136,TI: Professor Bauer on Development: A Review Article
137,"AU: Stern, Nicholas H."
138,AF: Unlisted
139,"SO: Journal of Development Economics, 1(3), December 1974, pp. 191-211"
140,IS: 0304-3878
141,AV: http://www.sciencedirect.com/science/journal/03043878
142,DT: Journal Article
143,PY: 1974
144,DE: Economic Development Models and Theories 1120
145,LA: English
146,UD: 199006
147,AN: 0076245
148,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
149,TI: Sharing the Gains from Customs Unions among Less Developed Countries: A Game Theoretic Approach
150,"AU: Gately, Dermot"
151,AF: Unlisted
152,"SO: Journal of Development Economics, 1(3), December 1974, pp. 213-33"
153,IS: 0304-3878
154,AV: http://www.sciencedirect.com/science/journal/03043878
155,DT: Journal Article
156,PY: 1974
157,DE: Theory of Economic Integration 4232
158,GD: Kenya
159,GR: Africa
160,LA: English
161,UD: 199006
162,AN: 0076246
163,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
164,"TI: Aggregate Demand, the Wage Gap and Unemployment in LDC's"
165,"AU: Gersovitz, Mark"
166,AF: Unlisted
167,"SO: Journal of Development Economics, 1(3), December 1974, pp. 235-46"
168,IS: 0304-3878
169,AV: http://www.sciencedirect.com/science/journal/03043878
170,DT: Journal Article
171,PY: 1974
172,DE: Economic Development Models and Theories 1120Urban Economics and Public Policy 9310Labor Economics: Theory and Empirical Studies Illustrating Theory 8210
173,LA: English
174,UD: 199006
175,AN: 0076247
176,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
177,TI: Extra-Union Exports of Industrial Goods from Customs Unions among Developing Countries
178,"AU: Morawetz, David"
179,AF: Unlisted
180,"SO: Journal of Development Economics, 1(3), December 1974, pp. 247-60"
181,IS: 0304-3878
182,AV: http://www.sciencedirect.com/science/journal/03043878
183,DT: Journal Article
184,PY: 1974
185,DE: Economic Integration--Policy and Empirical Studies 4233
186,GD: Costa Rica
187,GR: Latin America and the Caribbean
188,LA: English
189,UD: 199006
190,AN: 0076248
191,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
192,TI: International Trade in Second-Hand Machines
193,"AU: Smith, M. A. M."
194,AF: Unlisted
195,"SO: Journal of Development Economics, 1(3), December 1974, pp. 261-78"
196,IS: 0304-3878
197,AV: http://www.sciencedirect.com/science/journal/03043878
198,DT: Journal Article
199,PY: 1974
200,DE: Economic Development Models and Theories 1120Theory of International Trade 4112
201,LA: English
202,UD: 199006
203,AN: 0076249
204,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
0,TI: Distribution and Development: A Comment
1,"AU: Adelman, Irma, Morris, Cynthia Taft"
2,"AF: Unlisted, Unlisted"
3,"SO: Journal of Development Economics, 1(4), February 1975, pp. 401-02"
4,IS: 0304-3878
5,AV: http://www.sciencedirect.com/science/journal/03043878
6,DT: Journal Article
7,PY: 1975
8,"DE: Economic Development Models and Theories 1120Comparative Studies of Developing, Developed, and-or Centrally Planned Economies 1230Income Distribution 2213"
9,LA: English
10,UD: 199006
11,AN: 0087966
12,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
13,TI: Distribution and Development: A Survey of Literature
14,"AU: Cline, William R."
15,AF: Unlisted
16,"SO: Journal of Development Economics, 1(4), February 1975, pp. 359-400"
17,IS: 0304-3878
18,AV: http://www.sciencedirect.com/science/journal/03043878
19,DT: Journal Article
20,PY: 1975
21,"DE: Economic Development Models and Theories 1120Comparative Studies of Developing, Developed, and-or Centrally Planned Economies 1230Income Distribution 2213"
22,LA: English
23,UD: 199006
24,AN: 0087967
25,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
26,TI: A Marxian Model of Enclosures
27,"AU: Cohen, Jon S., Weitzman, Martin L."
28,"AF: Unlisted, Unlisted"
29,"SO: Journal of Development Economics, 1(4), February 1975, pp. 287-336"
30,IS: 0304-3878
31,AV: http://www.sciencedirect.com/science/journal/03043878
32,DT: Journal Article
33,PY: 1975
34,DE: Economic History--Ancient and Medieval (until 1453)--General 0430Economic History--Europe--General 0440
35,GD: U.K.
36,GR: Europe
37,LA: English
38,UD: 199006
39,AN: 0087968
40,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
41,TI: An Econometric Model of Sudan: Simulation Experiment of Growth Prospects
42,"AU: Marzouk, M. S."
43,AF: Unlisted
44,"SO: Journal of Development Economics, 1(4), February 1975, pp. 337-58"
45,IS: 0304-3878
46,AV: http://www.sciencedirect.com/science/journal/03043878
47,DT: Journal Article
48,PY: 1975
49,DE: Economic Studies of Developing Countries--African Countries 1215General Forecasts and Models 1322
50,GD: Sudan
51,GR: Africa
52,LA: English
53,UD: 199006
54,AN: 0087969
55,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
56,TI: Money as a Medium of Exchange and Monetary Growth in an Underdevelopment Context
57,"AU: Kapur, Basant K."
58,AF: Unlisted
59,"SO: Journal of Development Economics, 2(1), March 1975, pp. 33-48"
60,IS: 0304-3878
61,AV: http://www.sciencedirect.com/science/journal/03043878
62,DT: Journal Article
63,PY: 1975
64,DE: Monetary Growth Models 1114Economic Development Models and Theories 1120
65,LA: English
66,UD: 199006
67,AN: 0087970
68,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
69,TI: Economic Lessons from China
70,"AU: Keesing, Donald B."
71,AF: Unlisted
72,"SO: Journal of Development Economics, 2(1), March 1975, pp. 1-32"
73,IS: 0304-3878
74,AV: http://www.sciencedirect.com/science/journal/03043878
75,DT: Journal Article
76,PY: 1975
77,DE: Socialist and Communist Economic Systems 0520
78,GD: China
79,GR: Asia
80,LA: English
81,UD: 199006
82,AN: 0087971
83,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
84,"TI: Income Distribution, Technology and Employment in Developing Countries: An Application to Ecuador"
85,"AU: Tokman, Victor E."
86,AF: Unlisted
87,"SO: Journal of Development Economics, 2(1), March 1975, pp. 49-80"
88,IS: 0304-3878
89,AV: http://www.sciencedirect.com/science/journal/03043878
90,DT: Journal Article
91,PY: 1975
92,"DE: Economic Studies of Developing Countries--Latin American and Caribbean Countries 1216Technological Change and Innovation 6211Industry Studies--Manufacturing--General 6310Employment Studies, Unemployment and Vacancies, Retirements and Quits 8243Income Distribution 2213"
93,GD: Ecuador
94,GR: Latin America and the Caribbean
95,LA: English
96,UD: 199006
97,AN: 0087972
98,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
99,"TI: Foreign Capital, Dependence, Destabilisation and Feasibility of Transition to Socialism"
100,"AU: Bhagwati, Jagdish N., Grinols, Earl"
101,"AF: Unlisted, Unlisted"
102,"SO: Journal of Development Economics, 2(2), June 1975, pp. 85-98"
103,IS: 0304-3878
104,AV: http://www.sciencedirect.com/science/journal/03043878
105,DT: Journal Article
106,PY: 1975
107,DE: Economic Studies of Developing Countries--Comparative Country Studies 1211International Investment and Long-term Capital Movements--General 4410International Business and Multinational Enterprises 4420International Lending and Aid (Public) 4430
108,GD: Philippines
109,GR: Asia
110,LA: English
111,UD: 199006
112,AN: 0087973
113,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
114,"TI: Rural-Urban Migration, Urban Unemployment and Underemployment, and Job-Search Activity in LDCs"
115,"AU: Fields, Gary S."
116,AF: Unlisted
117,"SO: Journal of Development Economics, 2(2), June 1975, pp. 165-87"
118,IS: 0304-3878
119,AV: http://www.sciencedirect.com/science/journal/03043878
120,DT: Journal Article
121,PY: 1975
122,"DE: Labor Economics: Theory and Empirical Studies Illustrating Theory 8210Labor Mobility, National and International Migration 8230"
123,GD: LDCs
124,LA: English
125,UD: 199006
126,AN: 0087974
127,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
128,TI: A Note on Surplus Labour and Risk Aversion
129,"AU: Hamilton, Carl"
130,AF: Unlisted
131,"SO: Journal of Development Economics, 2(2), June 1975, pp. 161-63"
132,IS: 0304-3878
133,AV: http://www.sciencedirect.com/science/journal/03043878
134,DT: Journal Article
135,PY: 1975
136,"DE: Economics of Uncertainty and Information, Game Theory and Bargaining Theory: General 0260Labor Economics: Theory and Empirical Studies Illustrating Theory 8210"
137,GD: LDCs
138,LA: English
139,UD: 199006
140,AN: 0087975
141,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
142,TI: A Case of Multinational Oligopoly in Poor Countries: Oil Refinery Investment in East Africa
143,"AU: Herman, Barry"
144,AF: Unlisted
145,"SO: Journal of Development Economics, 2(2), June 1975, pp. 121-43"
146,IS: 0304-3878
147,AV: http://www.sciencedirect.com/science/journal/03043878
148,DT: Journal Article
149,PY: 1975
150,"DE: International Business and Multinational Enterprises 4420Industry Studies--Extractive Industries--Oil, Gas, and Other Fuels 6323"
151,GD: E. Africa
152,GR: Africa
153,LA: English
154,UD: 199006
155,AN: 0087976
156,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
157,TI: An Optimal Control Model for Multisectoral Investment Planning in Tunisia
158,"AU: Martens, Andre, Pindyck, Robert S."
159,"AF: Unlisted, Unlisted"
160,"SO: Journal of Development Economics, 2(2), June 1975, pp. 99-119"
161,IS: 0304-3878
162,AV: http://www.sciencedirect.com/science/journal/03043878
163,DT: Journal Article
164,PY: 1975
165,DE: Economic Planning Theory 1132
166,GD: Tunisia
167,GR: Africa
168,LA: English
169,UD: 199006
170,AN: 0087977
171,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
172,TI: A Theory of the Optimum Age to Import a Durable Good: With a Reference to the Colombian Case
173,"AU: Thoumi, Francisco E."
174,AF: Unlisted
175,"SO: Journal of Development Economics, 2(2), June 1975, pp. 145-60"
176,IS: 0304-3878
177,AV: http://www.sciencedirect.com/science/journal/03043878
178,DT: Journal Article
179,PY: 1975
180,DE: Theory of International Trade and Economic Development 4114
181,GD: Colombia
182,GR: Latin America and the Caribbean
183,LA: English
184,UD: 199006
185,AN: 0087978
186,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
187,TI: Welfare-Theoretical Analyses of the Brain Drain
188,"AU: Bhagwati, Jagdish N., Rodriguez, Carlos Alfredo"
189,"AF: Unlisted, Unlisted"
190,"SO: Journal of Development Economics, 2(3), September 1975, pp. 195-221"
191,IS: 0304-3878
192,AV: http://www.sciencedirect.com/science/journal/03043878
193,DT: Journal Article
194,PY: 1975
195,"DE: Welfare Theory--General 0240Labor Mobility, National and International Migration 8230"
196,LA: English
197,UD: 199006
198,AN: 0087979
199,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
200,"TI: Domestic Distortions, Imperfect Information and the Brain Drain"
201,"AU: Hamada, Koichi, Bhagwati, Jagdish N."
202,"AF: Unlisted, Unlisted"
203,"SO: Journal of Development Economics, 2(3), September 1975, pp. 265-79"
204,IS: 0304-3878
205,AV: http://www.sciencedirect.com/science/journal/03043878
206,DT: Journal Article
207,PY: 1975
208,"DE: Labor Economics: Theory and Empirical Studies Illustrating Theory 8210Labor Mobility, National and International Migration 8230"
209,LA: English
210,UD: 199006
211,AN: 0087980
212,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
213,"TI: Efficiency, Equality, Income Taxation and the Brain Drain: A Second-best Argument"
214,"AU: Hamada, Koichi"
215,AF: Unlisted
216,"SO: Journal of Development Economics, 2(3), September 1975, pp. 281-87"
217,IS: 0304-3878
218,AV: http://www.sciencedirect.com/science/journal/03043878
219,DT: Journal Article
220,PY: 1975
221,"DE: National Taxation, Revenue, and Subsidies 3230Labor Mobility, National and International Migration 8230"
222,LA: English
223,UD: 199006
224,AN: 0087981
225,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
226,TI: The Supply-of-Immigrants Function and Taxation of Immigrants' Incomes: An Econometric Analysis
227,"AU: Lucas, Robert E. B."
228,AF: Unlisted
229,"SO: Journal of Development Economics, 2(3), September 1975, pp. 289-308"
230,IS: 0304-3878
231,AV: http://www.sciencedirect.com/science/journal/03043878
232,DT: Journal Article
233,PY: 1975
234,"DE: National Taxation, Revenue, and Subsidies 3230Labor Mobility, National and International Migration 8230"
235,GD: U.S.
236,GR: Northern America
237,LA: English
238,UD: 199006
239,AN: 0087982
240,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
241,TI: Consequences of a Tax on the Brain Drain for Unemployment and Income Inequality in Less Developed Countries
242,"AU: McCulloch, Rachel, Yellen, Janet L."
243,"AF: Unlisted, Unlisted"
244,"SO: Journal of Development Economics, 2(3), September 1975, pp. 249-64"
245,IS: 0304-3878
246,AV: http://www.sciencedirect.com/science/journal/03043878
247,DT: Journal Article
248,PY: 1975
249,"DE: National Taxation, Revenue, and Subsidies 3230Labor Economics: Theory and Empirical Studies Illustrating Theory 8210Labor Mobility, National and International Migration 8230"
250,GD: LDCs
251,LA: English
252,UD: 199006
253,AN: 0087983
254,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
255,TI: Estimating Some Key Parameters in the Brain Drain Taxation Model
256,"AU: Psacharopoulos, George"
257,AF: Unlisted
258,"SO: Journal of Development Economics, 2(3), September 1975, pp. 309-18"
259,IS: 0304-3878
260,AV: http://www.sciencedirect.com/science/journal/03043878
261,DT: Journal Article
262,PY: 1975
263,"DE: National Taxation, Revenue, and Subsidies 3230Labor Mobility, National and International Migration 8230"
264,GD: U.S.
265,GR: Northern America
266,LA: English
267,UD: 199006
268,AN: 0087984
269,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
270,TI: Brain Drain and Economic Growth: A Dynamic Model
271,"AU: Rodriguez, Carlos Alfredo"
272,AF: Unlisted
273,"SO: Journal of Development Economics, 2(3), September 1975, pp. 223-47"
274,IS: 0304-3878
275,AV: http://www.sciencedirect.com/science/journal/03043878
276,DT: Journal Article
277,PY: 1975
278,"DE: One and Two Sector Growth Models and Related Topics 1112Labor Mobility, National and International Migration 8230"
279,LA: English
280,UD: 199006
281,AN: 0087985
282,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
283,TI: N. H. Stern on Substance and Method in Development Economics
284,"AU: Bauer, Peter T."
285,AF: Unlisted
286,"SO: Journal of Development Economics, 2(4), December 1975, pp. 387-405"
287,IS: 0304-3878
288,AV: http://www.sciencedirect.com/science/journal/03043878
289,DT: Journal Article
290,PY: 1975
291,DE: Economic Development Models and Theories 1120
292,LA: English
293,UD: 199006
294,AN: 0087986
295,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
296,TI: A Dynamic Model of OPEC Trade and Production
297,"AU: Blitzer, Charles R., Meeraus, Alex, Stoutjesdijk, Ardy"
298,"AF: Unlisted, Unlisted, Unlisted"
299,"SO: Journal of Development Economics, 2(4), December 1975, pp. 319-335"
300,IS: 0304-3878
301,AV: http://www.sciencedirect.com/science/journal/03043878
302,DT: Journal Article
303,PY: 1975
304,"DE: Forecasting, Econometric Models--General 1320Energy 7230"
305,GD: OPEC
306,LA: English
307,UD: 199006
308,AN: 0087987
309,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
310,TI: The Prospects for OPEC: A Critical Survey of Models of the World Oil Market
311,"AU: Fischer, Dietrich, Gately, Dermot, Kyle, John F."
312,"AF: Unlisted, Unlisted, Unlisted"
313,"SO: Journal of Development Economics, 2(4), December 1975, pp. 363-86"
314,IS: 0304-3878
315,AV: http://www.sciencedirect.com/science/journal/03043878
316,DT: Journal Article
317,PY: 1975
318,DE: Commercial Policy 4220Energy 7230
319,GD: OPEC
320,LA: English
321,UD: 199006
322,AN: 0087988
323,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
324,TI: Economic Incentives in OPEC Oil Pricing Policy
325,"AU: Kalymon, Basil A."
326,AF: Unlisted
327,"SO: Journal of Development Economics, 2(4), December 1975, pp. 337-62"
328,IS: 0304-3878
329,AV: http://www.sciencedirect.com/science/journal/03043878
330,DT: Journal Article
331,PY: 1975
332,DE: Commercial Policy 4220Energy 7230
333,GD: OPEC
334,LA: English
335,UD: 199006
336,AN: 0087989
337,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
0,TI: Japan's Technological Strategy
1,"AU: Blumenthal, Tuvia"
2,AF: Unlisted
3,"SO: Journal of Development Economics, 3(3), September 1976, pp. 245-55"
4,IS: 0304-3878
5,AV: http://www.sciencedirect.com/science/journal/03043878
6,DT: Journal Article
7,PY: 1976
8,DE: Research and Development 6212Theory of International Trade 4112
9,GD: Japan
10,GR: Asia
11,LA: English
12,UD: 199006
13,AN: 0166632
14,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
15,TI: The Theory of Capital Utilization and the Putty-Rubber Production Function
16,"AU: Clague, Christopher K."
17,AF: Unlisted
18,"SO: Journal of Development Economics, 3(3), September 1976, pp. 277-87"
19,IS: 0304-3878
20,AV: http://www.sciencedirect.com/science/journal/03043878
21,DT: Journal Article
22,PY: 1976
23,DE: Economic Capacity 6410Microeconomics--Theory of Production 0223
24,LA: English
25,UD: 199006
26,AN: 0166633
27,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
28,TI: The Permanent Income Hypothesis in an Underdeveloped Economy
29,"AU: Laumas, Gurcharan S., Laumas, Prem S."
30,"AF: Unlisted, Unlisted"
31,"SO: Journal of Development Economics, 3(3), September 1976, pp. 289-97"
32,IS: 0304-3878
33,AV: http://www.sciencedirect.com/science/journal/03043878
34,DT: Journal Article
35,PY: 1976
36,"DE: Economic Studies of Developing Countries--Asian Countries 1214Consumer Economics--Living Standards, Composition of Overall Expenditures, and Empirical Consumption and Savings Studies 9211"
37,GD: India
38,GR: Asia
39,LA: English
40,UD: 199006
41,AN: 0166634
42,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
43,TI: The Range of Strategic Choice in Tanzanian Industry
44,"AU: Roemer, Michael, Tidrick, Gene M., Williams, David"
45,"AF: Unlisted, Unlisted, Unlisted"
46,"SO: Journal of Development Economics, 3(3), September 1976, pp. 257-75"
47,IS: 0304-3878
48,AV: http://www.sciencedirect.com/science/journal/03043878
49,DT: Journal Article
50,PY: 1976
51,DE: Economic Planning Policy 1136
52,GD: Tanzania
53,GR: Africa
54,LA: English
55,UD: 199006
56,AN: 0166635
57,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
58,"TI: Urban Job Expansion, Induced Migration and Rising Unemployment: A Formulation and Simplified Empirical Test for LDCs"
59,"AU: Todaro, Michael P."
60,AF: Unlisted
61,"SO: Journal of Development Economics, 3(3), September 1976, pp. 211-25"
62,IS: 0304-3878
63,AV: http://www.sciencedirect.com/science/journal/03043878
64,DT: Journal Article
65,PY: 1976
66,"DE: Labor Mobility, National and International Migration 8230Urban Economics and Public Policy 9310Economic Studies of Developing Countries--General 1210"
67,GD: LDCs
68,LA: English
69,UD: 199006
70,AN: 0166636
71,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
72,TI: Rural-Urban Migration and Urban Underemployment in Brazil
73,"AU: Yap, Lorene Y. L."
74,AF: Unlisted
75,"SO: Journal of Development Economics, 3(3), September 1976, pp. 227-43"
76,IS: 0304-3878
77,AV: http://www.sciencedirect.com/science/journal/03043878
78,DT: Journal Article
79,PY: 1976
80,"DE: Labor Mobility, National and International Migration 8230Urban Economics and Public Policy 9310"
81,GD: Brazil
82,GR: Latin America and the Caribbean
83,LA: English
84,UD: 199006
85,AN: 0166637
86,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
87,"TI: Inequality, Poverty and Development"
88,"AU: Ahluwalia, Montek S."
89,AF: Unlisted
90,"SO: Journal of Development Economics, 3(4), December 1976, pp. 307-42"
91,IS: 0304-3878
92,AV: http://www.sciencedirect.com/science/journal/03043878
93,DT: Journal Article
94,PY: 1976
95,"DE: Comparative Studies of Developing, Developed, and-or Centrally Planned Economies 1230Economic Development Models and Theories 1120"
96,LA: English
97,UD: 199006
98,AN: 0166638
99,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
100,TI: A Partial Analysis of Sharetenancy Relationships in Northeast Brazil
101,"AU: Kutcher, Gary P., Scandizzo, Pasquale L."
102,"AF: Unlisted, Unlisted"
103,"SO: Journal of Development Economics, 3(4), December 1976, pp. 343-54"
104,IS: 0304-3878
105,AV: http://www.sciencedirect.com/science/journal/03043878
106,DT: Journal Article
107,PY: 1976
108,"DE: Land Ownership and Tenure, Land Reform 7171"
109,GD: Brazil
110,GR: Latin America and the Caribbean
111,LA: English
112,UD: 199006
113,AN: 0166639
114,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
115,TI: A Note on Input-Output Analysis and Macroeconometric Models: A Comment
116,"AU: Marzouk, M. S."
117,AF: Unlisted
118,"SO: Journal of Development Economics, 3(4), December 1976, pp. 385-87"
119,IS: 0304-3878
120,AV: http://www.sciencedirect.com/science/journal/03043878
121,DT: Journal Article
122,PY: 1976
123,"DE: Construction, Analysis, and Use of Econometric Models 2120"
124,LA: English
125,UD: 199006
126,AN: 0166640
127,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
128,TI: A Note on Input-Output Analysis and Macroeconometric Models
129,"AU: Sapir, Andre"
130,AF: Unlisted
131,"SO: Journal of Development Economics, 3(4), December 1976, pp. 377-83"
132,IS: 0304-3878
133,AV: http://www.sciencedirect.com/science/journal/03043878
134,DT: Journal Article
135,PY: 1976
136,"DE: Construction, Analysis, and Use of Econometric Models 2120"
137,LA: English
138,UD: 199006
139,AN: 0166641
140,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
141,"TI: Labor Homogeneity, Skill Intensity and Factor Reversals-An International Comparison"
142,"AU: Teitel, Simon"
143,AF: Unlisted
144,"SO: Journal of Development Economics, 3(4), December 1976, pp. 355-66"
145,IS: 0304-3878
146,AV: http://www.sciencedirect.com/science/journal/03043878
147,DT: Journal Article
148,PY: 1976
149,"DE: Theory of International Trade 4112Comparative Studies of Developing, Developed, and-or Centrally Planned Economies 1230"
150,LA: English
151,UD: 199006
152,AN: 0166642
153,"This record is part of the EconLit bibliographic database. Copyright(c) 2017, American Economic Association"
154,TI: A Sensitivity Analysis of the Effective Protection Estimate
155,"AU: Yeats, Alexander J."
156,AF: Unlisted
157,"SO: Journal of Development Economics, 3(4), December 1976, pp. 367-76"
158,IS: 0304-3878
159,AV: http://www.sciencedirect.com/science/journal/03043878
160,DT: Journal Article
