,metadata,Journal,PubDate,Title,clean name,confirmed name,Sex,last name,first name
122,"Wilcox, C",AER,1956,THE VERDICT ON ANTITRUST AND ITS SIGNIFICANCE, C Wilcox,?,?,Wilcox, C
123,"Taff, Ca",AER,1956,THE CHANGING PATTERNS OF COMPETITION IN TRANSPORTATION AND OTHER PUBLIC, Ca Taff,?,?,Taff, Ca
124,"Seymour, W",AER,1956,THE PARTNERSHIP POLICY IN REGIONAL POWER PLANNING, W Seymour,,,Seymour, W
125,"Lindahl, Ml",AER,1956,FEDERAL-REGULATION OF NATURAL-GAS PRODUCERS AND GATHERERS, Ml Lindahl,,,Lindahl, Ml
126,"Tsiang, Sc",AER,1956,"LIQUIDITY PREFERENCE AND LOANABLE FUNDS THEORIES, MULTIPLIER AND", Sc Tsiang,,,Tsiang, Sc
127,"Jacoby, Nh",AER,1956,ECONOMICS IN THE CURRICULA OF SCHOOLS OF BUSINESS - OVER-ALL STATEMENT, Nh Jacoby,,,Jacoby, Nh
128,"White, Wh",AER,1956,INTEREST INELASTICITY OF INVESTMENT DEMAND - THE CASE FROM BUSINESS, Wh White,,,White, Wh
129,"Bodenhorn, D",AER,1956,THE STABILITY OF GROWTH-MODELS, D Bodenhorn,?,?,Bodenhorn, D
130,"Bauer, Pt",AER,1956,LEWIS THEORY OF ECONOMIC-GROWTH - A REVIEW ARTICLE, Pt Bauer,,,Bauer, Pt
131,"Weintraub, S",AER,1956,A MACROECONOMIC APPROACH TO THE THEORY OF WAGES, S Weintraub,,,Weintraub, S
132,"Wemelsfelder, J",AER,1956,A REHABILITATION OF EXPORT SUBSIDIES, J Wemelsfelder,,,Wemelsfelder, J
133,"Grampp, Wd",AER,1956,MALTHUS ON MONEY WAGES AND WELFARE, Wd Grampp,,,Grampp, Wd
134,"Suranyiunger, T",AER,1956,METAMORPHOSES OF THE SOVIET TEXTBOOK ON ECONOMICS, T Suranyiunger,,,Suranyiunger, T
135,"Fellner, W",AER,1956,PATINKINS INTEGRATION OF MONETARY AND VALUE THEORY, W Fellner,,,Fellner, W
136,"Reid, Mg",AER,1956,SURVEY OF CEYLONS CONSUMER FINANCES, Mg Reid,,,Reid, Mg
137,"Boiteux, M",ECA,1956,ON THE MANAGEMENT OF PUBLIC MONOPOLIES RESTRICTED BY A BALANCED BUDGET, M Boiteux,,,Boiteux, M
138,"Majumdar, T",ECA,1956,CHOICE AND REVEALED PREFERENCE, T Majumdar,,,Majumdar, T
139,[Anonymous],ECA,1956,RECOMMENDED POLICIES FOR THE MATHEMATICAL TRAINING OF SOCIAL-SCIENTISTS,MISSING [Anonymous],,,[Anonymous],MISSING
140,"Kemeny, Jg",ECA,1956,A GENERALIZATION OF THE VON NEUMANN MODEL OF AN EXPANDING ECONOMY, Jg Kemeny,,,Kemeny, Jg
141,"Morgenstern, O",ECA,1956,A GENERALIZATION OF THE VON NEUMANN MODEL OF AN EXPANDING ECONOMY, O Morgenstern,,,Morgenstern, O
142,"Thompson, Gl",ECA,1956,A GENERALIZATION OF THE VON NEUMANN MODEL OF AN EXPANDING ECONOMY, Gl Thompson,?,?,Thompson, Gl
143,"Hirsch, Wz",ECA,1956,FIRM PROGRESS RATIOS, Wz Hirsch,,,Hirsch, Wz
144,"Harsanyi, Jc",ECA,1956,APPROACHES TO THE BARGAINING PROBLEM BEFORE AND AFTER THE THEORY OF, Jc Harsanyi,,,Harsanyi, Jc
145,"Tizard, Rh",ECA,1956,NOTE ON INITIAL CONDITIONS IN THE SOLUTION OF LINEAR-DIFFERENTIAL, Rh Tizard,,,Tizard, Rh
146,"Beckerman, W",ECA,1956,"THE WORLD-TRADE MULTIPLIER AND THE STABILITY OF WORLD-TRADE, 1938 TO", W Beckerman,,,Beckerman, W
147,"Freund, Rj",ECA,1956,THE INTRODUCTION OF RISK INTO A PROGRAMMING-MODEL, Rj Freund,,,Freund, Rj
148,"Banerjee, Ks",ECA,1956,A NOTE ON THE OPTIMAL ALLOCATION OF CONSUMPTION ITEMS IN THE, Ks Banerjee,,,Banerjee, Ks
149,"Fei, Jch",ECA,1956,A FUNDAMENTAL THEOREM FOR THE AGGREGATION PROBLEM OF, Jch Fei,,,Fei, Jch
150,"Burger, E",ECA,1956,ON THE STABILITY OF CERTAIN ECONOMIC-SYSTEMS, E Burger,?,?,Burger, E
151,"Harrod, Rf",EJ,1956,"THE BRITISH BOOM, 1954-55", Rf Harrod,,,Harrod, Rf
152,"Einzig, P",EJ,1956,THE DYNAMICS OF HIRE-PURCHASE CREDIT, P Einzig,,,Einzig, P
153,"Rostow, Ww",EJ,1956,THE TAKE-OFF INTO SELF-SUSTAINED GROWTH, Ww Rostow,,,Rostow, Ww
154,"Norton, Fe",EJ,1956,THE ACCELERATOR AND THE OVERINVESTMENT AND UNDERCONSUMPTION MODELS, Fe Norton,?,?,Norton, Fe
155,"Brumberg, Re",EJ,1956,AN APPROXIMATION TO THE AGGREGATE SAVING FUNCTION, Re Brumberg,,,Brumberg, Re
156,"Sherwood, Pw",EJ,1956,EXPORT DUTIES AND THE NATIONAL-INCOME ACCOUNTS, Pw Sherwood,,,Sherwood, Pw
157,"Ponsonby, Gj",EJ,1956,DEPRECIATION WITH SPECIAL REFERENCE TO TRANSPORT, Gj Ponsonby,?,?,Ponsonby, Gj
158,"Meek, Rl",EJ,1956,SOME NOTES ON THE TRANSFORMATION PROBLEM, Rl Meek,,,Meek, Rl
159,"Youngson, Aj",EJ,1956,THE DISAGGREGATION OF INVESTMENT IN THE STUDY OF ECONOMIC-GROWTH, Aj Youngson,?,?,Youngson, Aj
160,"Wiles, P",EJ,1956,GROWTH VERSUS CHOICE, P Wiles,,,Wiles, P
161,"Farnsworth, Hc",EJ,1956,RESPONSE OF WHEAT GROWERS TO PRICE CHANGES - APPROPRIATE OR PERVERSE, Hc Farnsworth,?,?,Farnsworth, Hc
162,"Jones, Wo",EJ,1956,RESPONSE OF WHEAT GROWERS TO PRICE CHANGES - APPROPRIATE OR PERVERSE, Wo Jones,,,Jones, Wo
163,"Hutchison, Tw",EJ,1956,BENTHAM AS AN ECONOMIST, Tw Hutchison,,,Hutchison, Tw
164,"Walker, G",EJ,1956,COMPETITION IN TRANSPORT AS AN INSTRUMENT OF POLICY, G Walker,?,?,Walker, G
165,"Richardson, Jh",EJ,1956,WAGE POLICY AND A LABOR STANDARD, Jh Richardson,,,Richardson, Jh
166,"Stewart, Ig",EJ,1956,INPUT-OUTPUT-ANALYSIS - AN APPLICATION, Ig Stewart,,,Stewart, Ig
167,"Nicholson, Rj",EJ,1956,THE REGIONAL LOCATION OF INDUSTRY - AN EMPIRICAL-STUDY BASED ON THE, Rj Nicholson,,,Nicholson, Rj
168,"Hawtrey, Rg",EJ,1956,KEYNES AND SUPPLY FUNCTIONS, Rg Hawtrey,,,Hawtrey, Rg
169,"Robertson, Dh",EJ,1956,KEYNES AND SUPPLY FUNCTIONS, Dh Robertson,?,?,Robertson, Dh
170,"Downie, J",EJ,1956,HOW SHOULD WE CONTROL MONOPOLY .2., J Downie,,,Downie, J
171,"Montrose, Jl",EJ,1956,HOW SHOULD WE CONTROL MONOPOLY .3., Jl Montrose,,,Montrose, Jl
172,"Hunter, A",EJ,1956,THE MONOPOLIES COMMISSION AND PRICE FIXING, A Hunter,?,?,Hunter, A
173,"Tinbergen, J",EJ,1956,THE OPTIMUM RATE OF SAVING, J Tinbergen,,,Tinbergen, J
174,"Hawtrey, R",EJ,1956,HARROD ON THE BRITISH BOOM, R Hawtrey,,,Hawtrey, R
175,"Williams, G",EJ,1956,THE MYTH OF FAIR WAGES, G Williams,?,?,Williams, G
176,"Brockie, Md",EJ,1956,THE MARGINAL EFFICIENCY OF CAPITAL AND INVESTMENT PROGRAMMING, Md Brockie,,,Brockie, Md
177,"Grey, Al",EJ,1956,THE MARGINAL EFFICIENCY OF CAPITAL AND INVESTMENT PROGRAMMING, Al Grey,?,?,Grey, Al
178,"Malenbaum, W",JPE,1956,INDIA AND CHINA - DEVELOPMENT CONTRASTS, W Malenbaum,,,Malenbaum, W
179,"Blaug, M",JPE,1956,THE EMPIRICAL CONTENT OF RICARDIAN ECONOMICS, M Blaug,,,Blaug, M
180,"Wallace, Rf",JPE,1956,THE USE OF THE PROGRESSIVE DISCOUNT RATE BY THE FEDERAL-RESERVE SYSTEM, Rf Wallace,,,Wallace, Rf
181,"Richter, Jh",JPE,1956,AGRICULTURAL SURPLUSES FOR ECONOMIC-DEVELOPMENT, Jh Richter,,,Richter, Jh
182,"Kreinin, Me",JPE,1956,"CONTROLLED INFLATION IN ISRAEL, 1949-54", Me Kreinin,,,Kreinin, Me
183,"Fox, Ka",JPE,1956,ECONOMETRIC-MODELS OF THE UNITED-STATES, Ka Fox,,,Fox, Ka
184,"Kravis, Ib",JPE,1956,AVAILABILITY AND OTHER INFLUENCES ON THE COMMODITY COMPOSITION OF TRADE, Ib Kravis,,,Kravis, Ib
185,"Letwin, Wl",JPE,1956,THE ORIGINS OF ANTITRUST POLICY, Wl Letwin,,,Letwin, Wl
186,"Johnson, Dg",JPE,1956,OBSERVATIONS ON THE ECONOMY OF THE USSR, Dg Johnson,?,?,Johnson, Dg
187,"Hasson, Ja",JPE,1956,ECONOMIC-STABILIZATION IN A PRIMARYPRODUCING COUNTRY, Ja Hasson,,,Hasson, Ja
188,"Rottenberg, S",JPE,1956,THE BASEBALL PLAYERS LABOR-MARKET, S Rottenberg,,,Rottenberg, S
189,"Kahan, A",JPE,1956,"A NOTE ON ESTIMATES OF SOVIET GRAIN OUTPUT, 1934-38", A Kahan,?,?,Kahan, A
190,"Bernaut, R",JPE,1956,"PRICES OF BASIC INDUSTRIAL-PRODUCTS IN THE USSR, 1928-50", R Bernaut,,,Bernaut, R
191,"Turgeon, L",JPE,1956,"PRICES OF BASIC INDUSTRIAL-PRODUCTS IN THE USSR, 1928-50", L Turgeon,,,Turgeon, L
192,"Leeman, Wa",JPE,1956,THE LIMITATIONS OF LOCAL PRICE-CUTTING AS A BARRIER TO ENTRY, Wa Leeman,,,Leeman, Wa
193,"Moore, Ca",JPE,1956,RECENT DEVELOPMENTS IN BRAZILIAN AGRICULTURE, Ca Moore,?,?,Moore, Ca
194,"Parrish, Jb",JPE,1956,IRON AND STEEL IN THE BALANCE OF WORLD POWER, Jb Parrish,,,Parrish, Jb
195,"Auten, Jh",JPE,1956,"INCOME, EXPENDITURE, AND THE TERMS OF TRADE FOR NEW ZEALAND, 1929-38", Jh Auten,,,Auten, Jh
