,index,ArticleID,Journal,Title,PubDate
27,27,28,ECA,"Large Sample Properties of Posterior Densities, Bayesian Information Criterion and the Likelihood Principle in Nonstationary Time Series Models",1998-03-01
28,28,29,ECA,Subject Evaluation in Social Experiments,1998-03-01
29,29,30,ECA,Analysis of a Numerical Dynamic Programming Algorithm Applied to Economic Models,1998-03-01
30,30,31,ECA,On the Dual Stability of a Von Neumann Facet and the Inefficacy of Temporary Fiscal Policy,1998-03-01
31,31,32,ECA,A Dynamic Stochastic Model of Medical Care Use and Work Absence,1998-01-01
32,32,33,ECA,Estimating and Testing Linear Models with Multiple Structural Changes,1998-01-01
33,33,34,ECA,Exact Inference Methods for First-Order Autoregressive Distributed Lag Models,1998-01-01
34,34,35,ECA,Semiparametric Latent Variable Model Estimation with Endogenous or Mismeasured Regressors,1998-01-01
35,35,36,ECA,Trend Function Hypothesis Testing in the Presence of Serial Correlation,1998-01-01
36,36,37,ECA,The Loser's Curse and Information Aggregation in Common Value Auctions,1997-11-01
37,37,38,ECA,The Robustness of Equilibria to Incomplete Information,1997-11-01
38,38,39,ECA,Monotone Treatment Response,1997-11-01
39,39,40,ECA,Estimation of a Panel Data Sample Selection Model,1997-11-01
40,40,41,ECA,Some Impossibility Theorems in Econometrics With Applications to Structural and Dynamic Models,1997-11-01
41,41,42,ECA,"Research, Patenting, and Technological Change",1997-11-01
42,42,43,ECA,The Law of Demand When Income Is Price Dependent,1997-11-01
43,43,44,ECA,Social Distance and Social Decisions,1997-09-01
44,44,45,ECA,Voting Behavior and Information Aggregation in Elections With Private Information,1997-09-01
45,45,46,ECA,A Rational Route to Randomness,1997-09-01
46,46,47,ECA,A Conditional Kolmogorov Test,1997-09-01
47,47,48,ECA,Asymptotic Theory of Integrated Conditional Moment Tests,1997-09-01
48,48,49,ECA,Reputation and Experimentation in Repeated Games With Two Long-Run Players,1997-09-01
49,49,50,ECA,Virtual Bayesian Implementation,1997-09-01
50,50,51,ECA,Maximization and the Act of Choice,1997-07-01
51,51,52,ECA,How Social Security and Medicare Affect Retirement Behavior In a World of Incomplete Markets,1997-07-01
52,52,53,ECA,Reciprocity as a Contract Enforcement Device: Experimental Evidence,1997-07-01
53,53,54,ECA,An Information-Theoretic Alternative to Generalized Method of Moments Estimation,1997-07-01
54,54,55,ECA,Collusion Under Asymmetric Information,1997-07-01
55,55,56,ECA,A Stopping Rule for the Computation of Generalized Method of Moments Estimators,1997-07-01
56,56,57,ECA,A Semiparametric Maximum Likelihood Estimator,1997-07-01
57,57,58,ECA,Using Randomization to Break the Curse of Dimensionality,1997-05-01
58,58,59,ECA,Duopoly Strategies Programmed by Experienced Players,1997-05-01
59,59,60,ECA,Instrumental Variables Regression with Weak Instruments,1997-05-01
60,60,61,ECA,Asymptotic Bias for Quasi-Maximum-Likelihood Estimators in Conditional Heteroskedasticity Models,1997-05-01
61,61,62,ECA,Aggregation and Optimization with State-Dependent Pricing,1997-05-01
62,62,63,ECA,Likelihood Ratio Specification Tests,1997-05-01
63,63,64,ECA,Cointegration and Dynamic Simultaneous Equations Model,1997-05-01
64,64,65,ECA,Edgeworth's Conjecture with Infinitely many Commodities: L^1,1997-03-01
65,65,66,ECA,"Prediction, Optimization, and Learning in Repeated Games",1997-03-01
66,66,67,ECA,Price Formation in Single Call Markets,1997-03-01
67,67,68,ECA,Conditioning and Aggregation of Preferences,1997-03-01
68,68,69,ECA,Preferences Over Solutions to the Bargaining Problem,1997-01-01
69,69,70,ECA,Rational Asset Pricing Bubbles,1997-01-01
70,70,71,ECA,Bayesian Vector Autoregressions with Stochastic Volatility,1997-01-01
71,71,72,ECA,A Divisible Search Model of Fiat Money,1997-01-01
72,72,73,ECA,Inference Concerning the Number of Factors in a Multivariate Nonparametric Relationship,1997-01-01
73,73,74,ECA,Robust Rank Tests of the Unit Root Hypothesis,1997-01-01
74,74,75,ECA,Testable Restrictions on the Equilibrium Manifold,1996-11-01
75,75,76,ECA,The Dynamics of Productivity in the Telecommunications Equipment Industry,1996-11-01
76,76,77,ECA,Learning by Doing and the Choice of Technology,1996-11-01
77,77,78,ECA,A Theory of Divided Government,1996-11-01
78,78,79,ECA,"""Beliefs about Beliefs"" without Probabilities",1996-11-01
79,79,80,ECA,A Probabilistic Model of Learning in Games,1996-11-01
80,80,81,ECA,On the Value of Commitment with Asymmetric Information,1996-11-01
81,81,82,ECA,Multistage Situations,1996-11-01
82,82,83,ECA,Asset Pricing in Economies with Frictions,1996-11-01
83,83,84,ECA,"Labor Market Institutions and the Distribution of Wages, 1973-1992: A Semiparametric Approach",1996-09-01
84,84,85,ECA,Monitoring Structural Change,1996-09-01
85,85,86,ECA,Asymptotic Inference about Predictive Ability,1996-09-01
86,86,87,ECA,Optimal Tests for Parameter Instability in the Generalized Method of Moments Framework,1996-09-01
87,87,88,ECA,Risk Vulnerability and the Tempering Effect of Background Risk,1996-09-01
88,88,89,ECA,Learning and Strategic Pricing,1996-09-01
89,89,90,ECA,Intertemporal Nonseparability or Borrowing Restrictions? A Disaggregate Analysis using a U.S. Consumption Panel,1996-09-01
90,90,91,ECA,Nonparametric Tests of Stochastic Dominance in Income Distributions,1996-09-01
91,91,92,ECA,Noncausality in Continuous Time,1996-09-01
92,92,93,ECA,Econometric Model Determination,1996-07-01
93,93,94,ECA,Efficient Tests for an Autoregressive Unit Root,1996-07-01
94,94,95,ECA,Consistent Testing for Serial Correlation of Unknown Form,1996-07-01
95,95,96,ECA,Consistent Model Specification Tests: Omitted Variables and Semiparametric Functional Forms,1996-07-01
96,96,97,ECA,Bootstrap Critical Values for Tests Based on Generalized-Method-of-Moments Estimators,1996-07-01
97,97,98,ECA,Cheap Talk and Sequential Equilibria in Signaling Games,1996-07-01
98,98,99,ECA,Evolution with State-Dependent Mutations,1996-07-01
99,99,100,ECA,The Effect of Unions on the Structure of Wages: A Longitudinal Analysis,1996-07-01
100,100,101,ECA,Nonparametric Pricing of Interest Rate Derivative Securities,1996-05-01
101,101,102,ECA,Asymptotically Optimal Smoothing with ARCH Models,1996-05-01
102,102,103,ECA,"Consistency and Asymptotic Normality of the Quasi-Maximum Likelihood Estimator in IGARCH(1,1) and Covariance Stationary GARCH(1,1) Models",1996-05-01
103,103,104,ECA,Testing for Parameter Constancy in Linear Regressions: An Empirical Distribution Function Approach,1996-05-01
104,104,105,ECA,Federal Fiscal Constitutions: Risk Sharing and Moral Hazard,1996-05-01
105,105,106,ECA,"Unemployment Insurance Rules, Joblessness, and Part-Time Work",1996-05-01
106,106,107,ECA,Risk-Sharing between and within Families,1996-03-01
107,107,108,ECA,Welfare Transfers in Two-Parent Families: Labor Supply and Welfare Participation Under AFDC-UP,1996-03-01
108,108,109,ECA,Individual Risk and Mutual Insurance,1996-03-01
109,109,110,ECA,Why Are Certain Properties of Binary Relations Relatively More Common in Natural Language?,1996-03-01
110,110,111,ECA,Bargaining and Value,1996-03-01
111,111,112,ECA,An Asymtotic Theory of Bayesian Inference for Time Series,1996-03-01
112,112,113,ECA,Inference When a Nuisance Parameter Is Not Identified Under the Null Hypothesis,1996-03-01
113,113,114,ECA,Computing Equilibria when Asset Markets are Incomplete,1996-01-01
114,114,115,ECA,Getting to a Competitive Equilibrium,1996-01-01
115,115,116,ECA,Multiproduct Nonlinear Pricing,1996-01-01
116,116,117,ECA,Robustness Properties of Inequality Measures,1996-01-01
117,117,118,ECA,Semiparametric Estimation of a Regression Model with an Unknown Transformation of the Dependent Variable,1996-01-01
118,118,119,ECA,Continuous Record Asymptotics for Rolling Sample Variance Estimators,1996-01-01
119,119,120,ECA,The Effect of Sample Selection and Initial Conditions in Duration Models: Evidence from Experimental Data on Training,1996-01-01
120,120,121,ECA,Risk Attitudes and Decision Weights,1995-11-01
121,121,122,ECA,Oligopolistic Competition and the Optimal Provision of Products,1995-11-01
122,122,123,ECA,Intertemporal Population Ethics: Critical-Level Utilitarian Principles,1995-11-01
123,123,124,ECA,Negative Externalities May Cause Delay in Negotiation,1995-11-01
124,124,125,ECA,Cooperation and Effective Computability,1995-11-01
125,125,126,ECA,Evolutionary Selection in Normal-Form Games,1995-11-01
126,126,127,ECA,Reputation and Commitment in Two-Person Repeated Games Without Discounting,1995-11-01
127,127,128,ECA,Equilibrium Refinement for Infinite Normal-Form Games,1995-11-01
128,128,129,ECA,Nonparametric Estimation of Exact Consumers Surplus and Deadweight Loss,1995-11-01
129,129,130,ECA,Fully Modified Least Squares and Vector Autoregression,1995-09-01
130,130,131,ECA,Second Order Approximation in the Partially Linear Regression Model,1995-09-01
131,131,132,ECA,Regression with Nonstationary Volatility,1995-09-01
132,132,133,ECA,Consistent Specification Testing Via Nonparametric Series Regression,1995-09-01
133,133,134,ECA,Epistemic Conditions for Nash Equilibrium,1995-09-01
134,134,135,ECA,An Evolutionary Approach to Pre-Play Communication,1995-09-01
135,135,136,ECA,Decomposition and Characterization of Risk with a Continuum of Random Variables,1995-09-01
136,136,137,ECA,"Ragnar Frisch, Editor of Econometrica 1933-1954",1995-07-01
137,137,138,ECA,Back to the Future: Generating Moment Implications for Continuous-Time Markov Processes,1995-07-01
138,138,139,ECA,"Individual Income, Incomplete Information, and Aggregate Consumption",1995-07-01
139,139,140,ECA,Automobile Prices in Market Equilibrium,1995-07-01
140,140,141,ECA,Product Differentiation and Oligopoly in International Markets: The Case of the U.S. Automobile Industry,1995-07-01
141,141,142,ECA,Econometrics of First-Price Auctions,1995-07-01
142,142,143,ECA,Nonlinear Dynamics and Chaos in Optimal Growth: An Example,1995-07-01
143,143,144,ECA,The Existence of Subgame-Perfect Equilibrium in Continuous Games with Almost Perfect Information: A Case for Public Randomization,1995-05-01
144,144,145,ECA,Perfect Equilibria in a Negotiation Model,1995-05-01
145,145,146,ECA,Renegotiation of Sales Contracts,1995-05-01
146,146,147,ECA,Optimal Procurement Mechanisms,1995-05-01
147,147,148,ECA,Competing Vertical Structures: Precommitment and Renegotiation,1995-05-01
148,148,149,ECA,Distribution of Income and Aggregation of Demand,1995-05-01
149,149,150,ECA,The Normal Approximation for Semiparametric Averaged Derivatives,1995-05-01
150,150,151,ECA,An Empirical Investigation of Asset Pricing with Temporally Dependent Preference Specifications,1995-05-01
151,151,152,ECA,Modelling Nonlinear Relationships between Extended-Memory Variables,1995-03-01
152,152,153,ECA,Identification and Robustness with Contaminated and Corrupted Data,1995-03-01
153,153,154,ECA,"Sisters, Siblings, and Mothers: The Effect of Teen-Age Childbearing on Birth Outcomes in a Dynamic Family Context",1995-03-01
154,154,155,ECA,Congestion Pricing and Capacity of Large Hub Airports: A Bottleneck Model with Stochastic Queues,1995-03-01
155,155,156,ECA,A Stochastic Model of Sequential Bargaining with Complete Information,1995-03-01
156,156,157,ECA,The Recursive Core,1995-03-01
157,157,158,ECA,The Role of Information in U.S. Offshore Oil and Gas Lease Auctions,1995-01-01
158,158,159,ECA,The Incidence of Adverse Medical Outcomes under Prospective Payment,1995-01-01
159,159,160,ECA,Strategy-Proof Exchange,1995-01-01
160,160,161,ECA,Efficiency of an Information System in an Agency Model,1995-01-01
161,161,162,ECA,Adaptive Dynamics in Coordination Games,1995-01-01
162,162,163,ECA,p-Dominance and Belief Potential,1995-01-01
163,163,164,ECA,Subjective Probability Without Monotonicity: or How Machina's Mom May Also be Probabilistically Sophisticated,1995-01-01
164,164,165,ECA,The Predictive Utility of Generalized Expected Utility Theories,1994-11-01
165,165,166,ECA,Investigating Generalizations of Expected Utility Theory Using Experimental Data,1994-11-01
166,166,167,ECA,Trade with Heterogeneous Prior Beliefs and Asymmetric Information,1994-11-01
167,167,168,ECA,The Asymptotic Variance of Semiparametric Estimators,1994-11-01
168,168,169,ECA,Optimal Tests when a Nuisance Parameter is Present Only Under the Alternative,1994-11-01
169,169,170,ECA,Auctions for Oil and Gas Leases with an Informed Bidder and a Random Reservation Price,1994-11-01
170,170,171,ECA,The Folk Theorem with Imperfect Public Information,1994-09-01
171,171,172,ECA,Convergence to Efficiency in a Simple Market with Incomplete Information,1994-09-01
172,172,173,ECA,Information Revelation and Strategic Delay in a Model of Investment,1994-09-01
173,173,174,ECA,Adaptive Learning with Nonlinear Dynamics Driven by Dependent Processes,1994-09-01
174,174,175,ECA,"The Learning Curve, Market Dominance, and Predatory Pricing",1994-09-01
175,175,176,ECA,Equivalence of Games and Markets,1994-09-01
176,176,177,ECA,Generalized Ginis and Cooperative Bargaining Solutions,1994-09-01
177,177,178,ECA,"Discrete and Continuous Choice, Max-Stable Processes, and Independence from Irrelevant Attributes",1994-09-01
178,178,179,ECA,The Large Sample Correspondence between Classical Hypothesis Tests and Bayesian Posterior Odds Tests,1994-09-01
179,179,180,ECA,Stationary Markov Equilibria,1994-07-01
180,180,181,ECA,The Algebraic Geometry of Perfect and Sequential Equilibrium,1994-07-01
181,181,182,ECA,A Noncooperative View of Coalition Formation and the Core,1994-07-01
182,182,183,ECA,On the Measurement of Polarization,1994-07-01
183,183,184,ECA,Infinite Horizon Incomplete Markets,1994-07-01
184,184,185,ECA,The Value Allocation of an Economy with Differential Information,1994-07-01
185,185,186,ECA,Volatility and Links between National Stock Markets,1994-07-01
186,186,187,ECA,The New Economics of Regulation Ten Years After,1994-05-01
187,187,188,ECA,Risk and Insurance in Village India,1994-05-01
188,188,189,ECA,Nonatomic Economies and the Boundaries of Perfect Competition,1994-05-01
189,189,190,ECA,Discrete-Time Finite Horizon Approximation of Infinite Horizon Optimization Problems with Steady-State Invariance,1994-05-01
190,190,191,ECA,Alternative Approximations to the Distributions of Instrumental Variable Estimators,1994-05-01
191,191,192,ECA,Renegotiation Design with Unverifiable Information,1994-03-01
192,192,193,ECA,Intertemporal Asset Pricing under Knightian Uncertainty,1994-03-01
193,193,194,ECA,Growth and Indeterminancy in Dynamic Models with Externalities,1994-03-01
194,194,195,ECA,Bertrand-Edgeworth Competition in Experimental Markets,1994-03-01
195,195,196,ECA,Testing Instrument Admissibility: Some Refined Asymptotic Results,1994-03-01
196,196,197,ECA,Changes in the U.S. Wage Structure 1963-1987: Application of Quantile Regression,1994-03-01
197,197,198,ECA,Asymptotic Filtering Theory for Univariate Arch Models,1994-01-01
198,198,199,ECA,Asymptotics for Semiparametric Econometric Models Via Stochastic Equicontinuity,1994-01-01
199,199,200,ECA,Some Exact Distribution Theory for Maximum Likelihood Estimators of Cointegrating Coefficients in Error Correction Models,1994-01-01
200,200,201,ECA,A Computationally Practical Simulation Estimator for Panel Data,1994-01-01
201,201,202,ECA,Labor Force Dynamics of Older Men,1994-01-01
202,202,203,ECA,Monotone Comparative Statics,1994-01-01
203,203,204,ECA,"Innovation, Imitation, and Intellectual Property Rights",1993-11-01
204,204,205,ECA,Mechanism Design by Competing Sellers,1993-11-01
205,205,206,ECA,Bargaining with Deadlines and Imperfect Player Control,1993-11-01
206,206,207,ECA,Dynamic Procedures and Incentives in Public Good Economies,1993-11-01
207,207,208,ECA,t or 1 - t. That is the Trade-Off,1993-11-01
208,208,209,ECA,Vector Autoregressions and Causality,1993-11-01
209,209,210,ECA,"Engel Functions, Panel Data, and Latent Variables",1993-11-01
210,210,211,ECA,Global Games and Equilibrium Selection,1993-09-01
211,211,212,ECA,Rational Learning Leads to Nash Equilibrium,1993-09-01
212,212,213,ECA,"Learning, Local Interaction, and Coordination",1993-09-01
213,213,214,ECA,Indeterminacy of Equilibria in a Hyperinflationary World: Experimental Evidence,1993-09-01
214,214,215,ECA,The Organization of Decentralized Information Processing,1993-09-01
215,215,216,ECA,A Unique Informationally Efficient and Decentralized Mechanism with Fair Outcomes,1993-09-01
216,216,217,ECA,Sequential Labor Decisions Under Uncertainty: An Estimable Household Model of West-African Farmers,1993-09-01
217,217,218,ECA,Efficiency of Weighted Average Derivative Estimators and Index Models,1993-09-01
218,218,219,ECA,Signalling and Renegotiation in Contractual Relationships,1993-07-01
219,219,220,ECA,A Simple Estimator of Cointegrating Vectors in Higher Order Integrated Systems,1993-07-01
220,220,221,ECA,Tests for Parameter Instability and Structural Change With Unknown Change Point,1993-07-01
221,221,222,ECA,"Asymptotic Distributions of Impulse Responses, Step Responses, and Variance Decompositions of Estimated Linear Dynamic Models",1993-07-01
222,222,223,ECA,Nonlinear Dynamic Structures,1993-07-01
223,223,224,ECA,Temporal Aggregation of Garch Processes,1993-07-01
224,224,225,ECA,Simulated Moments Estimation of Markov Models of Asset Prices,1993-07-01
225,225,226,ECA,Internal Consistency of Choice,1993-05-01
226,226,227,ECA,Self-Confirming Equilibrium,1993-05-01
227,227,228,ECA,Steady State Learning and Nash Equilibrium,1993-05-01
228,228,229,ECA,Consistent Solutions in Atomless Economies,1993-05-01
229,229,230,ECA,Standard Risk Aversion,1993-05-01
230,230,231,ECA,Sufficient Conditions for Inessentiality,1993-05-01
231,231,232,ECA,Collusion in Hierarchical Agency,1993-05-01
232,232,233,ECA,Informative Price Advertising in a Sequential Search Model,1993-05-01
233,233,234,ECA,Making a Miracle,1993-03-01
234,234,235,ECA,Extensive Form Reasoning in Normal Form Games,1993-03-01
235,235,236,ECA,Renegotiation in Finitely Repeated Games,1993-03-01
236,236,237,ECA,Reputation and Equilibrium Characterization in Repeated Games with Conflicting Interests,1993-03-01
237,237,238,ECA,The Interaction Between Time-Nonseparable Preferences and Time Aggregation,1993-03-01
238,238,239,ECA,An Efficient Semiparametric Estimator for Binary Response Models,1993-03-01
239,239,240,ECA,"Rationing, Queues, and Black Markets",1993-01-01
240,240,241,ECA,"Learning, Mutation, and Long Run Equilibria in Games",1993-01-01
241,241,242,ECA,The Evolution of Conventions,1993-01-01
242,242,243,ECA,Optimal Consumption and Portfolio Rules with Durability and Local Substitution,1993-01-01
243,243,244,ECA,The Limiting Distribution of the Maximum Rank Correlation Estimator,1993-01-01
244,244,245,ECA,Exactly Median-Unbiased Estimation of First Order Autoregressive/Unit Root Models,1993-01-01
245,245,246,ECA,Common Persistence in Conditional Variances,1993-01-01
246,246,247,ECA,Organizing the Health Insurance Market,1992-11-01
247,247,248,ECA,A Simple Axiomatization of Nonadditive Expected Utility,1992-11-01
248,248,249,ECA,Asymptotic Efficiency in Large Exchange Economies With Asymmetric Information,1992-11-01
249,249,250,ECA,Nonuniform Bertrand Competition,1992-11-01
250,250,251,ECA,An Application of the Shapley Value to Fair Division with Money,1992-11-01
251,251,252,ECA,A Two-Sector Overlapping-Generations Model: A Global Characterization of the Dynamical System,1992-11-01
252,252,253,ECA,Stochastic Monotonicity and Stationary Distributions for Dynamic Economies,1992-11-01
253,253,254,ECA,An Experimental Comparison of Dispute Rates in Alternative Arbitration Systems,1992-11-01
254,254,255,ECA,Virtual Implementation in Iteratively Undominated Strategies: Complete Information,1992-09-01
255,255,256,ECA,Serial Cost Sharing,1992-09-01
256,256,257,ECA,Computing Simply Stable Equilibria,1992-09-01
257,257,258,ECA,Denumerable-Armed Bandits,1992-09-01
258,258,259,ECA,Sunspot Fluctuations Around a Steady State: The Case of Multidimensional One-Step Forward Looking Economic Models,1992-09-01
259,259,260,ECA,"Entry, Exit, and firm Dynamics in Long Run Equilibrium",1992-09-01
260,260,261,ECA,The Sequential Equilibrium Theory of Reputation Building: A Further Test,1992-09-01
261,261,262,ECA,On the Interpretation of the Nash Bargaining Solution and Its Extension to Non-Expected Utility Preferences,1992-09-01
262,262,263,ECA,An Efficient Method of Moments Estimator for Discrete Choice Models With Choice-Based Sampling,1992-09-01
263,263,264,ECA,When are Variance Ratio Tests for Serial Dependence Optimal?,1992-09-01
264,264,265,ECA,A More Robust Definition of Subjective Probability,1992-07-01
265,265,266,ECA,Intertemporal Preferences for Uncertain Consumption: A Continuous Time Approach,1992-07-01
266,266,267,ECA,An Experimental Study of the Centipede Game,1992-07-01
267,267,268,ECA,"Status, the Distribution of Wealth, Private and Social Attitudes to Risk",1992-07-01
268,268,269,ECA,Marginal Cost Pricing Under Bounded Marginal Returns,1992-07-01
269,269,270,ECA,"Rationality, Computability, and Nash Equilibrium",1992-07-01
270,270,271,ECA,Estimation of a Model of Entry in the Airline Industry,1992-07-01
271,271,272,ECA,Bayesian Elicitation Diagnostics,1992-07-01
272,272,273,ECA,Non-Nested Tests for Competing Models Estimated by Generalized Method of Moments,1992-07-01
273,273,274,ECA,A Smoothed Maximum Score Estimator for the Binary Response Model,1992-05-01
274,274,275,ECA,Trimmed Lad and Least Squares Estimation of Truncated and Censored Regression Models with Fixed Effects,1992-05-01
275,275,276,ECA,Efficiency Bounds for Semiparametric Regression,1992-05-01
276,276,277,ECA,Bargaining and the Right to Remain Silent,1992-05-01
277,277,278,ECA,"Backward Induction, Normal Form Perfection and Explicable Equilibria",1992-05-01
278,278,279,ECA,Multi-Period Competition with Switching Costs,1992-05-01
279,279,280,ECA,Market for Information: Experimental Evidence,1992-05-01
280,280,281,ECA,Nonparametric and Distribution-Free Estimation of the Binary Threshold Crossing and The Binary Choice Models,1992-03-01
281,281,282,ECA,The Cusum Test with Ols Residuals,1992-03-01
282,282,283,ECA,"Household Composition, Labor Markets, and Labor Demand: Testing for Separation in Agricultural Household Models",1992-03-01
283,283,284,ECA,A Model of Growth Through Creative Destruction,1992-03-01
284,284,285,ECA,Stochastic Differential Utility,1992-03-01
285,285,286,ECA,Correlated Information and Mechanism Design,1992-03-01
286,286,287,ECA,"The Principal-Agent Relationship with an Informed Principal, II: Common Values",1992-01-01
287,287,288,ECA,Implementation Via Nash Equilibria,1992-01-01
288,288,289,ECA,"Trade Reform with Quotas, Partial Rent Retention, and Tariffs",1992-01-01
289,289,290,ECA,Bond Pricing and the Term Structure of Interest Rates: A New Methodology for Contingent Claims Valuation,1992-01-01
290,290,291,ECA,The Relative Importance of Permanent and Transitory Components: Identification and Some Theoretical Bounds,1992-01-01
291,291,292,ECA,Canonical Cointegrating Regressions,1992-01-01
292,292,293,ECA,A New Form of the Information Matrix Test,1992-01-01
293,293,294,ECA,A Heteroskedasticity Test Robust to Conditional Mean Misspecification,1992-01-01
294,294,295,ECA,Empirical Evidence on the Law of Demand,1991-11-01
295,295,296,ECA,Estimation and Hypothesis Testing of Cointegration Vectors in Gaussian Vector Autoregressive Models,1991-11-01
296,296,297,ECA,Robust HPD Regions in Bayesian Regression Models,1991-11-01
297,297,298,ECA,Understanding Unit Rooters: A Helicopter Tour,1991-11-01
298,298,299,ECA,"Invariance, Nonlinear Models, and Asymptotic Tests",1991-11-01
299,299,300,ECA,Endogenous Price Fluctuations in an Optimizing Model of a Monetary Economy,1991-11-01
300,300,301,ECA,Asset Prices in an Exchange Economy with Habit Formation,1991-11-01
301,301,302,ECA,"Dynamic (S,s) Economies",1991-11-01
302,302,303,ECA,Fiscal Policy with Impure Intergenerational Altruism,1991-11-01
303,303,304,ECA,Information and Timing in Repeated Partnerships,1991-11-01
304,304,305,ECA,Moral Hazard and Verifiability: The Effects of Renegotiation in Agency,1991-11-01
305,305,306,ECA,No-Envy and Consistency in Economies with Indivisible Goods,1991-11-01
306,306,307,ECA,Saving and Liquidity Constraints,1991-09-01
307,307,308,ECA,Monte Carlo Methodology and the Finite Sample Properties of Instrumental Variables Statistics for Testing Nested and Non-Nested Hypotheses,1991-09-01
308,308,309,ECA,Long-Term Memory in Stock Market Prices,1991-09-01
309,309,310,ECA,Semiparametric Estimation of Monotone and Concave Utility Functions for Polychotomous Choice Models,1991-09-01
310,310,311,ECA,Automatic Frequency Domain Inference on Semiparametric and Nonparametric Models,1991-09-01
311,311,312,ECA,Smoothness of the Policy Function in Discrete Time Economic Models,1991-09-01
312,312,313,ECA,The Once But Not Twice Differentiability of the Policy Function,1991-09-01
313,313,314,ECA,Sequential Bargaining as a Noncooperative Foundation for Walrasian Equilibrium,1991-09-01
314,314,315,ECA,Ex Ante Price Offers in Matching Games Non-Steady States,1991-09-01
315,315,316,ECA,Durable Goods Monopoly with Entry of New Consumers,1991-09-01
316,316,317,ECA,Comments on the Interpretation of Game Theory,1991-07-01
317,317,318,ECA,The Effects of Male and Female Labor Supply on Commodity Demands,1991-07-01
318,318,319,ECA,Spatial Patterns in Household Demand,1991-07-01
319,319,320,ECA,Error Correction and Long-Run Equilibrium in Continuous Time,1991-07-01
320,320,321,ECA,The Local Nature of Hypothesis Tests Involving Inequality Constraints in Nonlinear Models,1991-07-01
321,321,322,ECA,Virtual Implementation in Nash Equilibrium,1991-07-01
322,322,323,ECA,Fair Allocation of Indivisible Goods and Criteria of Justice,1991-07-01
323,323,324,ECA,"Arbitrage, Short Sales, and Financial Innovation",1991-07-01
324,324,325,ECA,International Lending with Moral Hazard and Risk of Repudiation,1991-07-01
325,325,326,ECA,Equilibrium in a Production Economy with an Income Tax,1991-07-01
326,326,327,ECA,How to Decide How to Decide How to...: Modeling Limited Rationality,1991-07-01
327,327,328,ECA,Strict Pareto-Improving Multilateral Reforms of Tariffs,1991-07-01
328,328,329,ECA,Voting by Committees,1991-05-01
329,329,330,ECA,Incentives to Help in Multi-Agent Situations,1991-05-01
330,330,331,ECA,Evolutionary Games in Economics,1991-05-01
331,331,332,ECA,A Theory of Disappointment Aversion,1991-05-01
332,332,333,ECA,Subgroup Consistent Poverty Indices,1991-05-01
333,333,334,ECA,The Rank of Demand Systems: Theory and Nonparametric Estimation,1991-05-01
334,334,335,ECA,The Relation Between Firm Growth and Q with Multiple Capital Goods: Theory and Evidence from Panel Data on Japanese Firms,1991-05-01
335,335,336,ECA,Best Nonlinear Three-Stage Least Squares Estimation of Certain Econometric Models,1991-05-01
336,336,337,ECA,Asymptotic Expansions of the Information Matrix Test Statistic,1991-05-01
