index,InstID,InstName
220,536,International Food Policy Research Institute
221,388,International Max Planck Research School
222,463,International University of Japan
223,37,Iowa State University
224,322,IÉSEG School of Management
225,668,JP Morgan Chase
226,318,Jaume I U
227,22,Johns Hopkins University
228,458,Korea Advanced Institute of Science and Technology
229,483,KDI School of Public Policy & Management
230,158,Kansas State University
231,450,Kanto Gakuin U
232,391,Karlsruhe Institute of Technology
233,392,Karolinska Institutet
234,441,Keio U
235,517,Kiel Institute for the World Economy
236,661,Kirkland & Ellis LLP
237,464,Kobe University
238,466,Kookmin U
239,537,Korea Development Institute
240,335,Koc U
241,681,"Kronos, Inc."
242,426,Kwangwoon University
243,443,Kyoto University
244,675,LECG
245,320,LUISS Guido Carli
246,228,Laval University
247,132,Lehigh U
248,350,Leiden University
249,403,Linnaeus U
250,172,London Business School
251,169,London School of Economics
252,209,London School of Hygiene and Tropical Medicine
253,270,Louis Pasteur University
254,111,Loyola Marymount U
255,305,Lumière U Lyon 2
256,363,Lund U
257,677,Lyxor Asset Management
258,539,MDRC
259,1,Massachusetts Institute of Technology
260,400,Maastricht School of Management
261,364,Maastricht U
262,119,Macalester College
263,635,MasterCard
264,637,"Mathematica Policy Research, Inc"
265,508,Max Planck Institute
266,216,McGill University
267,678,Mckinsey & Co
268,223,McMaster U
269,165,Meharry Medical College
270,486,Mexico Autonomous Institute of Technology
271,27,Michigan State University
272,658,Microsoft
273,64,Middlebury College
274,205,Middlesex Polytechnic
275,611,Spanish Ministry of Education and Science
276,612,"Ministry of Finance, Mexico"
277,614,"Ministry of Finance, Sweden"
278,607,Danish Inland Revenue
279,636,Minnesota Public Radio
280,142,"Minnesota State U, Moorhead"
281,235,Monash U
282,160,Montana State U
283,120,Monterey Institute of International Studies
284,293,GRAPE
285,643,Morgan Stanley
286,431,Musashi University
287,494,National Bureau of Economic Research
288,438,Nagoya University
289,452,Nanyang Technological U
290,604,National Banking and Securities Commission
291,453,National Dong Hwa U
292,461,"National Graduate Institute for Policy Studies, Tokyo"
293,666,National Matching Services
294,406,National Research University Higher School of Economics
295,456,National Taiwan U
296,489,National U Columbia
297,197,National U Ireland
298,482,National University of La Plata
299,425,National U Singapore
300,274,IESE Business School
301,533,Neptis Foundation
302,339,New Economic School
303,164,New School U
304,16,New York U
305,606,New Zealand Treasury
306,189,Newcastle University
307,679,Nomura Asset Management
308,686,None
309,50,NC State U
310,161,Northeastern U
311,144,Northern Illinois U
312,13,Northwestern
313,336,Norwegian School of Economics
314,405,Novosibirsk State U
315,583,OECD
316,159,Oberlin College
317,166,Occidental College
318,40,Ohio State University
319,91,Oklahoma State University
320,683,Ontario Hydro
321,416,"Open U, Israel"
322,610,Organismo Publico Valenciano de Investigacion
323,432,Osaka U
324,440,Otaru U
325,384,Otto-von-Guericke U Magdeburg
326,680,Overland Advisors
327,684,"Paine Webber, Inc."
328,260,Université Panthéon-Assas
329,264,University of Paris 1
330,288,Université Paris-Dauphine
331,327,Paris Descartes U
332,247,Paris School of Economics
333,299,Université Paris X
334,333,Paris-Sorbonne U
335,301,Parthenope U Naples
336,435,Peking U
337,48,Pennsylvania State U
338,145,Pepperdine U
339,516,Peterson Institute for International Economics
340,289,Université de Jussieu
341,252,UPF
342,478,Catholic University of Rio de Janeiro
343,568,Potsdam Institute for Climate Impact Research
344,4,Princeton University
345,634,Providence Health and Services
346,669,Providian Financial
347,34,Purdue U
348,676,QuantMetrics R&D Associates
349,201,Queen's U Belfast
350,222,Queen's University at Kingston
351,245,Queensland University of Technology
352,513,Rand
353,515,Research Triangle Institute
354,373,RWTH Aachen U
355,376,Radboud U Nijmegen
356,519,Research Institute of Industrial Economics
357,518,Resources for the Future
358,56,Rice U
359,332,U Rome III
360,572,Beijer Institute of Ecological Economics
361,114,Rutgers U
362,660,RXEconomics
363,227,Ryerson University
364,167,Salisbury University
365,662,Sand Hill Econometrics
366,115,Santa Clara University
367,552,Santa Fe Institute
368,304,Sapienza U Rome
369,659,Savvy Sherpa
370,262,EHESS
371,250,Sciences-Po
372,74,Seattle U
373,434,Seoul National University
374,124,Seton Hall U
375,439,Shandong University
376,446,Shanghai Jiao Tong University
377,469,Shanghai U Finance and Economics
378,437,Shiga University
379,212,Simon Fraser University
380,428,Singapore Management U
381,605,Singapore Public Services Commission
382,154,Smith College
383,471,Sogang U
384,645,Sorin Capital Management
385,538,South European Center for Contemporary Finance
386,103,Southern Methodist University
387,123,St. Cloud State University
388,110,St. Mary's College
389,5,Stanford
390,140,University at Albany
391,136,"Binghamton U, SUNY"
392,130,"State U New York, Buffalo"
393,41,SUNY-Stony Brook
394,608,State of Connecticut Department of Labor
395,609,Massachusetts Executive Office for Administration and Finance
396,615,Statistics Canada
397,613,Statistics Norway
398,149,Stevens Institute of Technology
399,337,Stockholm School of Econ
400,338,University of Stockholm
401,550,Studienzentrum Gerzensee
402,473,Sungkyunkwan University
403,203,Swansea U
404,104,Swarthmore College
405,331,EPFL
406,308,FAME
407,642,Swiss RE Economic Research and Consulting
408,65,Syracuse U
409,484,Escola de Economia de São Paulo
410,505,TIAA-CREF Institute
411,385,TU Berlin
412,413,Israel Institute of Technology
413,412,Tel Aviv U
414,647,Telcordia Technologies
415,33,Texas A & M University
416,664,The Monitor Company
417,639,Vanguard Group
418,347,Tilburg University
419,399,Tinbergen Institute
420,569,Tokyo Center for Economic Research
421,477,Torcuato Di Tella U
422,116,Towson University
423,176,Trinity College Dublin
424,162,Trinity University
425,451,Tsinghua U
426,73,Tufts University
427,122,Tulane University
428,298,École Nationale des Télécommunications
429,360,U Aarhus
430,190,U Aberdeen
431,128,U AL
432,229,University of Alberta
433,294,Universidad de Alicante
434,253,University of Amsterdam
435,67,University of Arizona
436,89,U Arkansas
437,238,University of Auckland
438,383,U Bamberg
439,348,Universität Basel
440,319,U Basque Country
441,395,University of Belgrade
442,317,U Bergamo
443,345,University of Bergen
444,187,U Birmingham
445,278,Universita di Bologna
446,340,Bonn University
447,479,U Brasilia
448,316,University of Brescia
449,193,U Bristol
450,215,U British Columbia
451,214,U Calgary
452,11,UC Berkeley
453,36,"U CA, Davis"
454,105,University of California-Irvine
455,10,University of California-Los Angeles
456,85,"University of California, Riverside"
457,20,University of California-San Diego
458,42,University of California Santa Barbara
459,106,University of California-Santa Cruz
460,174,University of Cambridge
461,314,University of Cantabria
462,239,University of Canterbury
463,269,Centre for Operations Research and Econometrics
464,70,University of Central Florida
465,3,NORC
466,475,U Chile
467,181,University College Dublin
468,170,UCL
469,379,University of Cologne
470,62,U CO
471,287,Universidad Complutense de Madrid
472,95,U Connecticut
473,344,U Copenhagen
474,409,U Cyprus
475,60,U DE
476,462,University of Delhi
477,429,University of Dacca
478,396,U Duisburg
479,179,University of East Anglia
480,192,U Edinburgh
481,173,U Essex
482,183,University of Exeter
483,297,U Florence
484,43,U FL
485,279,University of Geneva
486,75,U GA
487,424,U Ghana
488,195,U Glasgow
489,402,U Gothenburg
490,310,U Granada and Globe
491,370,U Groningen
492,226,University of Guelph
493,382,U Hagen
494,374,University of Hamburg
495,368,U Heidelberg
496,358,University of Helsinki
497,457,Hong Kong University
498,55,University of Houston
499,29,University of Illinois
500,372,University of Innsbruck
501,45,U Iowa
502,97,U Kansas
503,353,University of Kassel
504,198,University of Keele
505,168,U Kent
506,79,U KY
507,397,Christian‐Albrechts‐University at Kiel
508,378,Universität Konstanz
509,211,University of Lancaster
510,271,Université de Lausanne
511,182,University of Leicester
512,257,Free University of Brussels
513,282,University Lille 3
514,324,UECE Research Unit on Complexity and Economics
515,206,University of Liverpool
516,404,University of Ljubljana
517,171,"Birkbeck College, London"
518,313,U Lorraine
519,155,University of Louisiana at Lafayette
520,280,Università della Svizzera Italiana
521,410,U Macedonia
522,300,U Maine
523,200,University of Manchester
524,357,Mannheim University
525,18,Institutional Reform and the Informal Sector
526,39,University of Massachusetts
527,242,U Melbourne
528,107,U Miami
529,14,U MI
530,281,University of Minho
531,101,U Minnesota
532,7,U MN
533,88,U Mississippi
534,92,U Missouri
535,480,Universidad de Montevideo
536,219,HEC Montreal
537,343,U Munich
538,286,U Murcia
539,296,University of Málaga
540,266,U Namur
541,275,University of Naples
542,156,University of Nebraska
543,93,University of Nevada
544,237,University of New England
545,153,U New Hampshire
546,233,U New South Wales
547,30,University of North Carolina
548,61,U Notre Dame
549,185,University of Nottingham
550,291,U Nova de Lisboa
551,90,University of Oklahoma
552,86,U Oregon
553,349,U Oslo
554,352,University of Osnabrueck
555,175,"St. Catherine's College, Oxford"
556,315,University of Padua
557,328,Université Paris Nord
558,290,University of Pau and Pays de l'Adour
559,259,University of Pavia
560,8,Wharton School
561,427,University of Peradeniya
562,302,U Perugia
563,46,U Pittsburgh
564,243,U Queensland
565,231,Centre de Recherche sur l'Emploi et les Fluctuations Économiques
566,177,U Reading
567,380,University of Regensburg
568,15,U Rochester
569,303,University of Rome Tor-Vergata
570,284,Università di Salerno
571,476,U San Andrés
572,225,University of Saskatchewan
573,273,University of Sassari
574,330,University of Siena
575,99,U SC
576,71,U South Florida
577,180,U Southampton
578,31,U Southern CA
579,191,U St. Andrews
580,342,University of St. Gallen
581,381,U Stavanger
582,184,Stirling University
583,311,U Strasbourg
584,204,U Surrey
585,188,U Sussex
586,234,University of Sydney
587,481,U São Paulo
588,246,"U Technology, Sydney"
589,100,U TN
590,44,U Texas
591,430,U Tokyo
592,213,Rotman School of Management
593,249,Université de Toulouse
594,329,U Trieste
595,433,University of Tsukuba
596,295,Università di Torino
597,365,U Twente
598,94,University of Utah
599,307,U Valencia
600,276,University of Valladolid
601,285,Universita’ di Venezia
602,267,University of Vienna
603,25,U VA
604,241,U Waikato
605,401,U Warsaw
606,26,University of Washington
607,221,U Waterloo
608,244,University of Western Australia
609,217,U Western Ontario
610,12,U Wisconsin
611,186,York University
612,341,University of Zurich
613,492,U los Andes
614,587,USAID
615,593,US Air Force
616,150,US Air Force Academy
617,588,U. S. Bureau of the Census
618,595,US Centers for Medicare and Medicaid Services
619,598,Congressional Budget Office
620,589,Council of Economic Advisers
621,603,United States Court of Appeals
622,599,US Department of Commerce
623,600,US Department of Defense
624,601,US Department of Justice
625,585,US Bureau of Labor Statistics
626,586,US Department of the Treasury
627,617,Federal Reserve
628,596,US Federal Trade Commission
629,594,US Geological Survey
630,597,US International Trade Commission
631,151,US Military Academy
632,152,US Naval Academy
633,592,Office of the Comptroller of the Currency
634,591,Pension Benefit Guaranty Corporation
635,590,US Securities and Exchange Commission
636,602,US Senate Committee on Finance
637,584,US Social Security Administration
638,650,Unicon Research
639,146,Union College
640,671,United Energy Resources
641,544,Upjohn Institute for Employment Research
642,346,Uppsala Center for Fiscal Studies
643,530,Urban Institute
644,375,Utrecht U
645,367,VU U Amsterdam
646,35,Vanderbilt U
647,148,Vassar College
648,674,Vega Asset Managers
649,240,Victoria University
650,354,Vienna U Economics and Business
651,268,Vienna U Technology
652,117,Virginia Commonwealth U
653,28,VA Polytechnic Institute
654,137,VA State U
655,663,Virtu Financial LLC
656,500,Wissenschaftszentrum Berlin
657,371,Wageningen UR
658,178,Warwick University
659,32,Washington U
660,138,Wayne State U
661,525,Weierstrass Institute for Applied Analysis and Stochastics
662,417,Rehovath University
663,102,Wellesley College
664,133,Wesleyan University
665,655,West End Capital Management
666,157,West Virginia U
667,575,Western Consortium for Public Health
668,80,Western Kentucky U
669,118,Wheaton College
670,230,Wilfrid Laurier University
671,54,Williams College
672,578,World Bank
673,423,WISE
674,6,Yale U
675,447,Yokohama National U
676,445,Yonsei U
677,232,"York U, Toronto"
678,470,Zhejiang University
679,657,eBay
680,323,Ecole Normale Superieure de Cachan
681,325,Ecole Nationale des Ponts et Chaussées
682,272,École polytechnique
683,334,Helsinki School of Economics
684,334,Aalto University
685,419,Tel Aviv-Jaffa Academic College
686,261,Aix-Marseille University
687,261,Aix-Marseille U
688,261,Université d’Aix-Marseille
689,261,Aix-Marseille Université
690,261,Aix-Marseille School of Economics
691,121,American U
692,68,Arizona State U
693,68,AZ State U
694,408,AUEB
695,408,Athens U Economics and Business
696,81,Auburn U
697,236,Australian National U
698,283,Universitat Autonoma de Barcelona
699,283,Autonomous U Barcelona
700,283,U Autonoma de Barcelona
701,512,Instituto de Análisis Económico
702,512,Institute for Economic Analysis
703,283,Universitat Autònoma de Barcelona
704,389,Norwegian School of Management
705,521,Bread
706,521,Bureau of Research and Economic Analysis of Development
707,521,BREAD
708,641,Baird
709,632,National Bank of Belgium
710,625,Banco Central de Chile
711,625,Bank of Chile
712,633,Federal Bank of India
713,630,Banco de México
714,631,Bank of Norway
715,629,Banco de Portugal
716,627,Bank of Spain
717,620,Bank of Sweden
718,628,Swiss National Bank
719,621,Bank of Turkey
720,415,Bar-Ilan U
721,415,Bar Ilan University
722,248,GSE
723,248,Barcelona Graduate School of Economics
724,248,Barcelona GSE
725,549,Institut d’Economia de Barcelona
726,163,Levy Economics Institute
727,143,Baylor University
728,418,Ben Gurion U
729,418,Ben-Gurion U Negev
730,418,Ben-Gurion University
731,356,Berlin School of Economics and Law
732,356,Hochschule für Wirtschaft und Recht
733,362,Bern University
734,362,University of Berne
735,362,University of Bern
736,366,Bielefeld U
737,407,Bilkent U
738,535,Bill & Melinda Gates Foundation
739,535,Bill and Melinda Gates Foundation
740,135,Black Hills State U
741,255,Bocconi U
742,255,IGIER
743,255,Carlo F. Dondena Centre for Research on Social Dynamics and Public Policy
744,255,Dondena
745,255,Università Bocconi
746,255,Bocconi University
747,255,DONDENA
748,255,U Commerciale L Bocconi
749,38,Boston University
750,125,Bowling Green State U
751,398,Boğaziçi U
752,82,Brandeis University
753,83,Brigham Young University
754,218,Brock U
755,495,Brookings Institute
756,495,Brookings Institution
757,495,Retirement Security Project
758,17,Brown U
759,17,Watson Institute for International Studies
760,207,Brunel University
761,207,Brunel University London
762,541,Centro de Análysis y Estudios Ríos Pérez
763,541,CAERP
764,506,CEFIR
765,553,CEMMAP
766,553,CeMMAP
767,520,CEPII
768,504,Center for Economic Policy Research
769,504,Center for Economic and Policy Research
770,504,CEPR
771,504,Centre for Economic Policy Research
772,503,Cepremap
773,503,Centre D'études Prospectives D'économie Mathématique Appliquées a la Planification
774,551,CEPS/INSTEAD
775,393,Center for Economic Research and Graduate Education---Economics Institute
776,514,Ifo Institute
777,514,Center for Economic Studies—IFO
778,514,Ifo Institute Center for Economic Studies
779,514,CESifo
780,514,Center for Economic Studies–Ifo
781,514,Center for Economic Studies and IFO Institute for Economic Research
782,514,"Ifo, Munich"
783,577,CFM
784,522,Independent Science and Partnership Council
785,507,Centro de Investigación y Docencia Económicas
786,540,CIFAR
787,540,Canadian Institute for Advanced Research
788,563,CIREQ
789,561,CIRPÉE
790,561,"Centre interuniversitaire sur le risque, les politiques économiques et l'emploi"
791,527,Centre National de la Recherche Scientifique
792,527,CNRS
793,498,Centre de Recherche en Economie et Statistique
794,498,Centre de Recherche en Économie et Statistique
795,498,Crest
796,498,CREST
797,498,Centre de receherche en Economic et Statisque
798,498,Laboratoire de Finance Assurance
799,555,Centre for Studies in Economics and Finance
800,512,Spanish National Research Council
801,512,CSIC
802,512,Consejo Superior de Investigaciones Científicas
803,23,CalTech
804,23,CA Institute of Technology
805,23,Caltech
806,23,California institute of Technology
807,84,CA Polytechnic State U
808,84,California Polytechnic State University
809,126,"California State U, Fullerton"
810,202,Cardiff University
811,369,Carl von Ossietzky Universität Oldenburg
812,220,Carleton U
813,21,Carnegie Mellon U
814,21,Carnegie Mellon University
815,21,National Consortium on Violence Research
816,53,Case Western Reserve University
817,277,Catholic University of Leuven
818,277,Katholieke Universiteit Leuven
819,277,University of Leuven
820,309,Universidade Catolica Portuguesa
821,309,Catholic University of Portugal
822,309,Portuguese Catholic University
823,312,Università Cattolica del Sacro Cuore
824,312,Catholic University of the Sacred Heart
825,258,CEMFI
826,254,Central European University
827,254,Privatization Project
828,468,Central U Finance and Economics
829,468,CEMA-CUFE
830,306,U Cergy-Pontoise
831,306,Université de Cergy-Pontoise
832,306,Cergy-Pontoise U
833,108,Chapman University
834,292,U Carlos III de Madrid
835,292,Universidad Carlos III de Madrid
836,292,Charles III U Madrid
837,292,Universidad Carlos III
838,377,Charles U Prague
839,422,City U Hong Kong
840,196,City U London
841,66,CUNY
842,66,Levich Institute
843,66,City U New York
844,66,Brooklyn College
845,66,City University of New York
846,47,Pitzer College
847,47,Pomona College
848,47,Scripps College
849,47,Claremont McKenna College
850,47,Claremont Graduate U
851,47,CGU
852,47,Claremont Colleges
853,47,Harvey Mudd College
854,47,Keck Graduate Institute
855,47,Claremont Graduate University
856,87,Clemson U
857,127,Colgate U
858,420,College of Management Academic Studies
859,63,Colorado State U
860,63,CO State U
861,9,Columbia University
862,9,National Center for Postsecondary Research
863,9,Barnard College
864,9,Columbia Business School
865,9,Columbia U
866,638,Lexecon
867,638,Compass Lexecon
868,224,Concordia University
869,390,CEBR
870,390,Copenhagen Business School
871,19,Cornell U
872,685,Ctrip.com
873,566,Economics Institute of the Academy of Sciences of the Czech Republic
874,499,German Institute for Economic Research
875,499,Deutsches Institut fuer Wirtschaftsforschung
876,51,Dartmouth
877,442,Dongguk U
878,455,China Textile U
879,455,Donghua U
880,474,Doshisha U
881,112,Drexel University
882,24,Duke University
883,194,Durham University
884,573,Euro Area Business Cycle Network
885,582,European Bank of Reconstruction and Development
886,582,EBRD
887,548,European Centre for Advanced Research in Economics and Statistics
888,548,ECARE
889,548,ECARES
890,548,Ecares
891,256,École des hautes études commerciales du nord
892,386,European School of Management and Technology
893,386,ESMT European School of Management and Technology
894,394,ETH Zurich
895,394,Eidgenössische Technische Hochschule Zürich
896,557,EUREQua
897,557,EUREqua
898,98,East Carolina University
899,141,Eastern Michigan U
900,496,Einaudi Institute for Economics and Finance
901,496,EIEF
902,496,Einaudi Institute
903,496,Ente L. Einaudi
904,496,Ente Luigi Einaudi
905,78,Emory University
906,351,Erasmus U Rotterdam
907,351,Erasmus University Rotterdam
908,263,European U Institute
909,570,Fondazione Eni Enrico Mattei
910,69,Florida International University
911,69,Florida International U
912,72,FL State U
913,72,FSU
914,72,Florida State University
915,526,F.R.S.–FNRS
916,526,"Fund for Scientific Research, Molenbeek-St-Jean"
917,526,F.N.R.S.
918,526,Fonds National de la Recherche Scientifique
919,134,Fordham U
920,387,Frankfurt School of Finance & Management
921,355,Free University Berlin
922,355,Freie Universität Berlin
923,472,Fudan University
924,565,GFRI
925,554,Groupement de Recherche en Economie Quantitative d’Aix-Marseille
926,58,Interdisciplinary Center for Economic Science
927,58,George Mason University
928,57,George Washington U
929,57,George Washington University
930,52,Georgetown University
931,77,Georgia Institute of Technology
932,76,Georgia State U
933,76,Georgia State University
934,485,FGV-EPGE
935,485,FGV/EPGE
936,485,EPGE/FGV
937,485,Fundacao Getulio Vargas
938,485,"EPGE, Graduate School of Economics"
939,485,Getúlio Vargas Foundation
940,485,Getulio Vargas Foundation
941,361,Goethe-University
942,361,Goethe University
943,644,"Goldman, Sachs, & Co."
944,644,Goldman Sachs
945,251,Institut de hautes études internationales et du développement
946,251,Graduate Institute Geneva
947,251,Graduate Institute of International and Development Studies
948,321,H.E.C. School of Management
949,321,école des Hautes Etudes Commerciales de Paris
950,321,HEC School of Management
951,321,"HEC, Paris"
952,321,HEC-Paris
953,321,HEC Paris
954,321,HEC Paris School of Finance and Management
955,414,Haifa University
956,2,Harvard University
957,2,Harvard U
958,411,Hebrew University of Jerusalem
959,411,Hebrew U
960,208,Heriot‐Watt University
961,448,Hitotsubashi U
962,444,Hong Kong Polytechnic U
963,449,Hong Kong U Science and Technology
964,449,Hong Kong University Science and Technology
965,449,Hong Kong University of Science and Technology
966,359,Humboldt University Berlin
967,359,Humboldt-Universität zu Berlin
968,359,Humboldt U Berlin
969,545,Institute of Economics of the Hungarian Academy of Sciences
970,556,International Centre for Economic Research
971,648,"I.C.F., Inc."
972,564,ICREA
973,564,Institución Catalana de Investigación y Estudios Avanzados
974,564,Catalan Institution for Research and Advanced Studies
975,564,Institució Catalana de Recerca i Estudis Avançats
976,421,IDC Herzliya
977,558,Institut d'Economie Publique
978,510,IFAU
979,524,Institute for Fiscal Studies
980,524,IFS
981,326,Instituto Madrileño de Estudios Avanzados
982,581,International Monetary Fund
983,567,Institut National d'Etudes Démographiques
984,502,Institut National de la Recherche Agronomique
985,491,L'Institut national de statistique et d'économie appliquée
986,491,INSEA
987,265,INSEAD
988,265,INSEAD Business School
989,501,Institut National de la Statistique et des Etudes Economiques
990,501,Institut national de la statistique et des études économiques
991,501,Institut National de la Statisque et des Etudes Economiques
992,501,INSEE
993,547,IRVAPP
994,559,Institute Universitaire de France
995,571,Institut Universitaire de Formation des Maîtres
996,509,Institute for the Study of Labor
997,509,Institut zur Zukunft der Arbeit
998,96,Idaho State U
999,96,ID State U
1000,199,Imperial College
1001,459,"Indian Institute of Management, Calcutta"
1002,49,Indiana U
1003,49,Indiana University
1004,529,"Institute for Advanced Studies, Vienna"
1005,529,IHS-Vienna
1006,497,Institut für Arbeitsmarkt- und Berufsforschung
1007,497,Institute for Employment Research
1008,532,Instituto de Pesquisa Econômica Aplicada
1009,528,Institute of World Economy and International Relations
1010,487,Instituto Nacional de Matemática Pura e Aplicada
1011,580,Inter-American Development Bank
1012,536,International Food Policy Research Institute (IFPRI)
1013,463,International U Japan
1014,37,IA State U
1015,37,Iowa State
1016,37,Iowa State U
1017,322,IESEG School of Management
1018,318,U Jaume I de Castellon
1019,318,Jaume I University
1020,22,Johns Hopkins U
1021,458,KAIST
1022,483,KDI School of Public Policy and Management
1023,158,Kansas State U
1024,450,Kanto Gakuin University
1025,441,Keio University
1026,517,"IfW, Kiel"
1027,517,"Institut für Weltwirtschaft, IfW"
1028,464,Kobe U
