,citation_author,citation_author_institution,citation_publication_date,citation_title,dc.description,dc.publisher,dc.subject,dc.type,url,accesses,citations
0,Christopher Clague/Philip Keefer/Stephen Knack/Mancur Olson,"IRIS and University of Maryland, College Park, USA/The World Bank, Washington, DC, USA/IRIS and American University, School of Public Affairs, Washington, DC, USA/IRIS and University of Maryland, College Park, USA",1996/06,Property and contract rights in autocracies and democracies,"We present and test empirically a new theory of property and contract rights. Any incentive an autocrat has to respect such rights comes from his interest in future tax collections and national income and increases with his planning horizon. We find a compelling empirical relationship between property and contract rights and an autocrat's time in power. In lasting—but not in new—democracies, the same rule of law and individual rights that ensure continued free elections entail extensive property and contract rights. We show that the age of a democratic system is strongly correlated with property and contract rights.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138864,    961 ,   247 
0,Xavier X. Sala-I-Martin,"Department of Economics, Yale University, New Haven, USA/Universitat Pompeu Fabra, Barcelona, Spain",1996/06,A positive theory of social security,"In this paper I make two points. First, I argue that social security programs around the world link public pensions to retirement: people do not lose their pensions if they make a million dollars a year in the stock market, but they do confront marginal tax rates of up to 100 percent if they choose to work. Second, after arguing that most existing theories cannot explain this fact, I construct a positive theory that is consistent with it. The main idea is that pensions are a means to induce retirement—that is, to buy the elderly out of the labor force because aggregate output is higher if the elderly do not work. This is modeled through positive externalities in the average stock of human capital: because skills depreciate with age, the elderly have lower-than-average skill and, as a result, have a negative effect on the productivity of the young. When the difference between the skill level of the young and that of the old is large enough, aggregate output in an economy where the elderly do not work is higher. Retirement is desirable in this case, and social security transfers are the means by which such retirement is induced. The theory developed in this paper is also shown to be consistent with a number of other regularities documented in Section 1.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00138865,    516 ,   61 
0,Costas Azariadis/Bruce D. Smith,"University of California at Los Angeles, Los Angeles, USA/University of Texas-Austin and Federal Reserve Bank of Minneapolis, Minneapolis, USA",1996/09,"Private information, money, and growth: Indeterminacy, fluctuations, and the Mundell-Tobin effect","We introduce an informational asymmetry into an otherwise standard monetary growth model and examine its implications for the determinacy of equilibrium, for endogenous economic volatility, and for the relationship between steady-state output and the rate of money growth. Some empirical evidence suggests that, for economies with low initial inflation rates, permanent increases in the money growth rate raise long-run output levels. This relationship is reversed for economies with high initial inflation rates. Our model predicts this pattern. Moreover, in economies with high enough rates of inflation, credit rationing emerges, monetary equilibria become indeterminate, and endogenous economic volatility arises.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00141041,    268 ,   71 
0,Herschel I. Grossman/Minseong Kim,"Brown University, USA/University of Pittsburgh, Pittsburgh, USA",1996/09,Predation and accumulation,"This article incorporates the economic theory of predation into the theory of economic growth. The analytical framework is a general-equilibrium model of the interaction between two dynasties: a potential predator and its prey. We find that the rate of accumulation of capital and the security of property are positively related only for generations of the prey dynasty that tolerate predation. Generations of the prey dynasty that choose to deter predation, even though their property is perfectly secure, accumulate productive capital more slowly than the preceding generations that tolerated predation.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00141042,    261 ,   61 
0,Daniel Cohen,"Ecole Normale Supérieure, CEPREMAP, and CEPR, USA",1996/09,Tests of the “convergence hypothesis”: Some further results,"The article presents new tests of the convergence hypothesis. It first analyzes the unconditional pattern of growth of human and physical capital (conventionally measured by an inventory method) and shows that these tests do support the hypothesis that domestic inputs of poor countries appear to be catching up with those of rich countries. On the other hand, when one analyzes the pattern of growth of physical capital and Solow residual, then one is led to reject the convergence theory. Building on this discrepancy, I demonstrate that the poor countries have failed to catch up with rich ones because the progress that they have achieved in educating their workers (which is evidenced in the convergence of domestic inputs) is not sufficient to compensate for their poor endowment in the knowledge on which the education of workers stands.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00141043,    214 ,   23 
0,Francesco Caselli/Gerardo Esquivel/Fernando Lefort,"Harvard University, Harvard, USA/Harvard University, Harvard, USA/Harvard University, Harvard, USA",1996/09,Reopening the convergence debate: A new look at cross-country growth empirics,"There are two sources of inconsistency in existing cross-country empirical work on growth: correlated individual effects and endogenous explanatory variables. We estimate a variety of cross-country growth regressions using a generalized method of moments estimator that eliminates both problems. In one application, we find that per capita incomes converge to their steady-state levels at a rate of approximately 10 percent per year. This result stands in sharp contrast to the current consensus, which places the convergence rate at 2 percent. We discuss the theoretical implications of this finding. In another application, we perform a test of the Solow model. Again, contrary to prior reults, we reject both the standard and the augmented version of the model.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00141044,    1706 ,   820 
0,Jong-Wha Lee,"Korea University and NBER, Korea",1996/09,Government interventions and productivity growth,"This article investigates the impact of government industrial policy and trade protection of the manufacturing sector in Korea. Empirical results are provided, using four-period panel data for the years 1963 through 1983, for thirty-eight Korean industries in which trade protection reduced growth rates of labor productivity and total factor productivity, while industrial policies, such as tax incentives and subsidized credit, were not correlated with total factor productivity growth in the promoted sectors. The evidence thus implies that less government intervention in trade is linked to higher productivity growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00141045,    1041 ,   87 
0,Nancy L. Stokey,"University of Chicago, Chicago, USA",1996/12,"Free trade, factor returns, and factor accumulation","A model of development is studied in which physical capital and unskilled labor are good substitutes, and skilled labor is complementary to the resulting aggregate. Growth in a closed economy is compared with two open regimes. Inflows of physical capital only reduce the interest rate and raise both wage rates. The skilled wage rises more sharply, however, increasing the skill premium and accelerating human capital accumulation. Full integration with a larger and more developed neighbor also reduces the interest rate and raises both wage rates, but in this case the skill premium falls and human capital accumulation changes very little.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00150196,    380 ,   59 
0,Costas Azariadis,"University of California, Los Angeles, USA",1996/12,The economics of poverty traps part one: Complete markets,"This paper lists theoretical reasons why neoclassical models of one-sector growth imply that nations with identical economic structures need not converge to the same steady state or balanced growth path, and outlines the empirical significance and policy implications of conditional nonconvergence. We survey poverty traps in both convex and nonconvex economies with complete market structures. Among the potential causes of traps are subsistence consumption; distorted international trade in intermediate inputs; demographic transitions when fertility is endogenous; technological complementarities in the production of consumption goods, financial intermediation services, manufactures, or human capital; coordination failures among voters; various restrictions on borrowing; indivisibilities in human capital formation or child rearing; and monopolistic competition in product or factor markets.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00150197,    807 ,   123 
0,Graziella Bertocchi/Yong Wang,"Universita' di Modena and CEPR, Italy/Virginia Polytechnic Institute and State University, USA",1996/12,"Imperfect information, Bayesian learning, and capital accumulation","This paper examines the consequences of informational imperfections for economic growth in an overlapping generations model in which agents learn the technological parameters in a Bayesian fashion. Under mild sufficient conditions, beliefs converge to the true value of the technological parameters. Nevertheless, even short-lived informational imperfections could have lasting effects, as they alter the long-run equilibrium levels of the capital stock. Therefore, learning dynamics may explain some of the observed differences in the performance of countries with otherwise similar economic characteristics.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00150198,    96 ,   1 
0,Chien-Fu Chou/Gabriel Talmain,"National Taiwan University, Taiwan/University of York, Yorkshire, UK",1996/12,Redistribution and growth: Pareto improvements,"This paper analyzes the relationship between income distribution and economic growth. It introduces heterogeneous households who have preferences for leisure into Grossman and Helpman's model of endogenous growth (in which income distribution has no effect on economic growth). Wealth distribution affects the endogenous rate of growth as the labor supply of each individual responds inversely to his permanent income. When the labor Engel curve is concave (convex), unequal wealth distribution decreases (increases) the rate of growth. Pareto-improving-growth-enhancing wealth redistributions are characterized.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1007/BF00150199,    188 ,   15 
0,Robert J. Barro/Xavier Sala-i-Martin,"Harvard University, USA/Columbia University, USA/Universitat Pompeu Fabra, Spain",1997/03,"Technological Diffusion, Convergence, and Growth","We construct a model that combines elements of endogenousgrowth with the convergence implications of the neoclassicalgrowth model. In the long run, the world growth rate is drivenby discoveries in the technologically leading economies. Followersconverge toward the leaders because copying is cheaper than innovationover some range. A tendency for copying costs to increase reducesfollowers‘ growth rates and thereby generates a pattern of conditionalconvergence. We discuss how countries are selected to be technologicalleaders, and we assess welfare implications. Poorly defined intellectualproperty rights imply that leaders have insufficient incentiveto invent and followers have excessive incentive to copy.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009746629269,    1448 ,   357 
0,Danny T. Quah,"London School of Economics, UK",1997/03,"Empirics for Growth and Distribution: Stratification, Polarization, and Convergence Clubs","This paper studies cross-country patterns of economicgrowth from the viewpoint of income distribution dynamics. Sucha perspective raises new empirical and theoretical issues ingrowth analysis: the profound empirical regularity is an “emergingtwin peaks” in the cross-sectional distribution, not simplepatterns of convergence or divergence. The theoretical problemsraised concern interaction patterns among subgroups of economies,not only problems of a single economy's accumulating factor inputsand technology for growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009781613339,    1762 ,   632 
0,Daron Acemoglu,"Massachusetts Institute of Technology, USA",1997/03,"Matching, Heterogeneity, and the Evolution of Income Distribution","This paper analyzes a model in which firms and workershave to engage in costly search to find a production partner,and endogenizes the skill, job, and wage distributions in thiscontext. The presence of search frictions implies that thereare two redistributive forces in the labor market. The firstis mismatch relative to the Walrasian economy; skilled workerstend to work with lower physical to human capital ratios, andthis compresses the earnings differentials. The second is theopportunity cost effect; because the opportunity cost of acceptingan unskilled worker, which is to forgo the opportunity to employa skilled worker, is high, unskilled wages are pushed down. Theinteraction between these two forces leads to a non-ergodic equilibriumprocess for wage and income inequality. Further, the presenceof mismatch reduces the rate of return to physical capital andthus depresses growth. A key prediction of the analysis is thatincreasing wage inequality is more likely to arise in economieswith less frictional labor markets, which is in line with thediverse cross-country patterns observed over the past two decades.Finally, the paper predicts that, as is largely the case withU.S. data, between group and within group wage inequality shouldmove in the same direction.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009733730177,    390 ,   21 
0,Oded Galor/Daniel Tsiddon,"Brown University and CEPR, USA/Tel-Aviv University and CEPR, Israel",1997/03,The Distribution of Human Capital and Economic Growth,"This paper analyzes the interaction between the distributionof human capital, technological progress, and economic growth.It argues that the composition of human capital is an importantfactor in the determination of the pattern of economic development.The study demonstrates that the evolutionary pattern of the humancapital distribution, the income distribution, and economic growthare determined simultaneously by the interplay between a local home environment externality and a global technologicalexternality. In early stages of development the local home environmentexternality is the dominating factor and hence the distributionof income becomes polarized; whereas in mature stages of developmentthe global technological externality dominates and the distributionof income ultimately contracts. Polarization, in early stagesof development may be a necessary ingredient for future economicgrowth. An economy that prematurely implements a policy designedto enhance equality may be trapped at a low stage of development.An underdeveloped economy, which values equality as well as prosperity,may confront a trade-off between equality in the short-run followedby equality and stagnation in the long-run, and inequality inthe short-run followed by equality and prosperity in the longrun.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009785714248,    2967 ,   168 
0,Charles I. Jones,"Stanford University, USA",1997/06,Convergence Revisited,"The recent literature on convergence has departed fromthe earlier literature by focusing on the shape of the productionfunction and the rate at which an economy converges to its ownsteady state. This article uses advances from the recent literatureto look back at the question that originally motivated the convergenceliterature: what will the distribution of per capita income looklike in the future? Several results are highlighted by the analysis,including the suggestion that there is little reason to expectthe United States to maintain its position as world leader interms of output per worker.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009762900799,    354 ,   64 
0,Gilles Saint Paul/Thierry Verdier,"CERAS, DELTA, and CEPR, France/CERAS, DELTA, and CEPR, France",1997/06,"Power, Distributive Conflicts, and Multiple Growth Paths","This article shows that multiple growth paths may occurin a politico-economic model of endogenous growth. This multiplicityis characterized by the coexistence of the low-tax, low-capital-flightequilibrium and a high-tax, high-capital-flight equilibrium.The likelihood of multiplicity is crucially related to the structureof power in society—namely, it is necessary that the politicallydecisive agents have a greater access to international capitalmarkets than the average in the economy.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009729117637,    200 ,   26 
0,Mark Gradstein/Moshe Justman,"Ben-Gurion University, Israel/University of Pennsylvania, USA/Ben-Gurion University, Israel",1997/06,Democratic Choice of an Education System: Implications for Growth and Income Distribution,"We use an OLG model to examine democratic choice betweentwo modes of government support for education: subsidies forprivately purchased education and free uniform public provision.We find little conflict between democracy and growth: the samefactors that generate popular support for subsidization overfree uniform provision—large external benefits, a largeexcess burden, and little inequality—also favor its relativegrowth performance. Furthermore, restricting the franchise toan upper-income elite may also reduce growth. Two extensionsexamine the effect of intergenerational mobility and indicatethe theoretical possibility of periodic swings in the balancebetween public and private spending.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009781101707,    325 ,   33 
0,Jasmina Arifovic/James Bullard/John Duffy,"Simon Fraser University, USA/FRB–St. Louis, USA/University of Pittsburgh, USA",1997/06,The Transition from Stagnation to Growth: An Adaptive Learning Approach,"This article develops the first model in which, consistentwith the empirical evidence, the transition from stagnation toeconomic growth is a very long endogenous process. The modelhas one steady state with a low and stagnant level of incomeper capita and another steady state with a high and growing levelof income per capita. Both of these steady states are locallystable under the perfect foresight assumption. We relax the perfectforesight assumption and introduce adaptive learning into thisenvironment. Learning acts as an equilibrium selection criterionand provides an interesting transition dynamic between steadystates. We find that for sufficiently low initial values of humancapital—values that would tend to characterize preindustrialeconomies—the system under learning spends a long periodof time (an epoch) in the neighborhood of the low-income steadystate before finally transitioning to a neighborhood of the high-incomesteady state. We argue that this type of transition dynamic providesa good characterization of the economic growth and developmentpatterns that have been observed across countries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009733218546,    209 ,   26 
0,Aaron Tornell,"Harvard University, USA",1997/09,Economic Growth and Decline with Endogenous Property Rights,"This article introduces endogenous institutional changeinto a neoclassical growth model. For some parameter values,all Markov perfect equilibria involve a shift from common propertyto private property followed by a shift back to common property.Even in the presence of a linear production technology, thissequence of switches generates growth rates that are increasingat low levels of capital and decreasing at high levels of capital.This result rationalizes the hump-shaped growth path followedby some countries through history, as well as the conditionalconvergence observed in postwar data. For other parameter values,there are also equilibria in which common property prevails forever.This result rationalizes the low-growth traps in which many poorcountries find themselves.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009749908420,    334 ,   39 
0,John McDermott,"University of South Carolina, USA",1997/09,Exploitation and Growth,"I develop a model of exploitation—coercive wealthtransfer—and growth based on social importance. Exploitationreduces growth since the return to capital falls with exploitationcosts. Initial relative wealth across groups—the measureof social importance—determines which group is the exploiterand how costly exploitation will be. The exploiter selects anexploitation path that maintains its dominant position and rarelymaximizes current transfers. Productive minorities and fast-growinggroups are most prone to exploitation. International sanctions,if strong, end exploitation; otherwise they increase exploitationand reduce growth. Segregation and apartheid are broadly consistentwith the theory.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009730825259,    155 ,   4 
0,Alberto Ades/Hak B. Chua,"Goldman, Sachs and Co, USA/Malaysian Institute of Management, Malaysia",1997/09,Thy Neighbor's Curse: Regional Instability and Economic Growth,"We show that regional instability, defined as politicalinstability in neighboring countries, has a strong negative effecton a country's economic performance. The magnitude of this negativeexternality is similar in size to that of an equivalent increasein domestic political instability. We also identify two mainchannels through which regional instability lowers economic performance.First, regional instability disrupts trade flows. The sharesof merchandise and manufactured trade are lower in countrieswith high regional instability. Second, regional instabilityleads to increased military outlays. Defense expenditures arehigher in countries with high regional instability. In contrast,the share of government expenditures allocated to education islower in countries with politically unstable neighbors. Our resultssuggest the existence of negative spillovers among politicallyunstable neighboring countries. These adverse regional influencesshould be taken into account when projecting the future economicperformance of countries. The evidence presented also suggeststhat the gains from reducing regional instability extend farbeyond the welfare of the country experiencing political unrest.Policies directed at settling current territorial disputes ina peaceful and orderly manner can have large beneficial effectsfor parties not directly involved in the conflict.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009782809329,    1131 ,   87 
0,Peter Orazem/Leigh Tesfatsion,"Iowa State University, USA/Iowa State University, USA",1997/09,Macrodynamic Implications of Income-Transfer Policies for Human Capital Investment and School Effort,"The distortion in educational investment in poorer childrenis often attributed to credit market imperfections and henceto the unequal access of children to educational opportunity.However, the distortion might also be attributable to disincentiveeffects that cause children to make inefficient use of educationalopportunities. This possibility is demonstrated for an overlappinggenerations economy with multiple family dynasties in which childrenhave random unobservable abilities and base their school efforton their parents‘ after-tax returns to schooling. Income redistributioncan result in suboptimal effort choices that offset the beneficialeffects of income transfers and sharply lower social welfare.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009734926167,    124 ,   26 
0,Christopher D. Carroll/Jody Overland/David N. Weil,"Department of Economics, The Johns Hopkins University, Baltimore, USA/Department of Economics, University of Colorado at Denver, Denver, USA/Department of Economics, The Johns Hopkins University, Baltimore, USA",1997/12,Comparison Utility in a Growth Model,"We examine the dynamics of two endogenous-growth modelsin which agents have comparison utility. In the inward-lookingeconomy, individuals care about how their current consumptioncompares with their own past consumption. In the outward-lookingeconomy, they care about how their own consumption compares withother people‘s consumption. In response to a negative shock tocapital, saving and growth will temporarily fall in both of themodels that we consider but will remain constant in a model withstandard preferences. The decline will be smaller in the outward-than in the inward-looking case, but utility will be lower inthe former case because of a negative externality.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009740920294,    441 ,   125 
0,Elise S. Brezis/Paul R. Krugman,"Department of Economics, Bar-Ilan University, Israel/Department of Economics, Massachusetts Institute of Technology, Cambridge, USA",1997/12,Technology and the Life Cycle of Cities,"During times of major technological change, leadingcities are often overtaken by upstart metropolitan areas. Suchupheavals may be explained if the advantage of established urbancenters rests on localized learning by doing. When a new technologyis introduced, for which this accumulated experience is irrelevant,older centers prefer to stay with a technology in which theyare more efficient. New centers, however, turn to the new technologyand are competitive despite the raw state of that technologybecause of their lower land rents and wages. Over time, as thenew technology matures, the established cities are overtaken.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009754704364,    536 ,   42 
0,Guido Cozzi,"Department of Economics, New York University, New York, USA/Dipartimento di Economia Publica, University of Rome ’’La Sapienza‘‘, Roma, Italy",1997/12,Exploring Growth Trajectories,"In this article we try an exploration, by means of afew simple exercises, of the consequences of introducing intoa standard endogenous-growth model with expanding product varietythe possibility that the invention process of the new blueprintsmay follow more than one single predetermined trajectory. Themain motivations are a slightly more realistic formalizationof entrepreneurial creativity with spillovers and the greaterflexibility of the economic results.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009706821203,    141 ,   3 
