index,AuthorID,AuthorName
256,276,Andrew Charlton
257,277,Andrew Chesher
258,278,Andrew Ching
259,279,Andrew D. Foster
260,281,Andrew Ellul
261,282,Andrew F. Daughety
262,283,Andrew F. Newman
263,285,Andrew Haughwout
264,286,Andrew J. Hussey
265,287,Andrew J. Oswald
266,288,Andrew J. Plantinga
267,289,Andrew J. Policano
268,290,Andrew J. Seltzer
269,292,Andrew K. Rose
270,293,Andrew Levin
271,294,Andrew M. Warner
272,295,Andrew McLennan
273,296,Andrew Metrick
274,297,Andrew Postlewaite
275,299,Andrew S. Caplin
276,300,Andrew Schmitz
277,301,Andrew Schotter
278,302,Andrew Sweeting
279,303,Andrew V. Carter
280,304,Andrew W. Lo
281,305,Andrew Weiss
282,306,Andrey Malenko
283,307,Andriy Norets
284,308,Andrzej Rapaczynski
285,309,Andrzej Ruszczynski
286,310,Andrzej Skrzypacz
287,311,André Kurmann
288,312,André Sapir
289,314,Andrés Aradillas-López
290,315,Andrés Carvajal
291,316,Andrés Rodríguez-Clare
292,317,Andrés Velasco
293,318,Aner Sela
294,319,Angel Serrat
295,320,Angela K. Dills
296,321,Angela Vossmeyer
297,325,Anil K. Kashyap
298,327,Aniol Llorente-Saguer
299,328,Anirban Mitra
300,329,Anita Tuladhar
301,330,Anjan V. Thakor
302,331,Anjini Kochar
303,332,Anke S. Kessler
304,333,Ann A. McDermed
305,335,Ann Dryden Witte
306,336,Ann E. Harrison
307,337,Ann P. Bartel
308,338,Anna Aizer
309,339,Anna Bogomolnaia
310,340,Anna Dreber
311,341,Anna J. Schwartz
312,342,Anna L. Paulson
313,343,Anna Maria Mayda
314,344,Anna Mikusheva
315,345,Anna Pavlova
316,346,Anna Piil Damm
317,347,Anna Salomons
318,348,Annamaria Lusardi
319,350,Anne P. Villamil
320,353,Annette Vissing-Jørgensen
321,354,Annika Sundén
322,356,"Anthony A. Smith, Jr."
323,357,Anthony B. Atkinson
324,358,Anthony C. Fisher
325,360,Anthony J. Venables
326,361,Anthony M. Kwasnica
327,362,Anthony Patrick O'Brien
328,363,Anthony Paul
329,364,Anthony Romeo
330,365,Anthony Ziegelmeyer
331,366,Antoine Billot
332,367,Antoine Bozio
333,368,Antoinette Schoar
334,369,Antonella Nocco
335,370,Antonella Trigari
336,371,Antoni Calvó-Armengol
337,372,Antoni Estevadeordal
338,374,Antonin Macé
339,375,Antonio Acconcia
340,376,Antonio Cabrales
341,377,Antonio Ciccone
342,378,Antonio Doblas-Madrid
343,379,Antonio E. Bernardo
344,380,Antonio Fatás
345,381,Antonio Guarino
346,382,Antonio J. Morales
347,383,Antonio M. Bento
348,384,Antonio Merlo
349,385,Antonio Penta
350,386,Antonio Rangel
351,387,Antonio Spilimbergo
352,388,Antoon Van Den Elzen
353,389,Anup Malani
354,390,Anusha Chari
355,391,Aprajit Mahajan
356,392,April M. Franco
357,393,Archawa Paweenawat
358,394,Archishman Chakraborty
359,395,Argia M. Sbordone
360,396,Ari Kuncoro
361,397,Arie Beresteanu
362,398,Arie Kapteyn
363,401,Ariel Rubinstein
364,403,Ariel Tomás Burstein
365,404,Ariel Zetlin-Jones
366,405,Ariell Reshef
367,406,Arijit Mukherji
368,407,Arijit Sen
369,408,Arik Levinson
370,409,Arindrajit Dube
371,410,Aris Protopapadakis
372,411,Arleen Leibowitz
373,412,Arline T. Geronimus
374,413,Armando Gomes
375,414,Armin Falk
376,415,Arnaud Costinot
377,416,Arnaud Dupuy
378,417,Arno Riedl
379,418,Arnold C. Harberger
380,419,Arnoud W. A. Boot
381,420,Arpit Gupta
382,421,Art Fraas
383,422,Arthur A. Small
384,423,Arthur A. Stone
385,424,Arthur Campbell
386,426,Arthur Fishman
387,428,Arthur J. Hosios
388,429,Arthur J. Robson
389,430,Arthur J. Rolnick
390,431,Arthur Lewbel
391,433,Arthur S. De Vany
392,434,Arthur Snow
393,435,Arthur van Soest
394,437,Artyom Shneyerov
395,438,Arunava Sen
396,439,Arvind Krishnamurthy
397,440,Arvind Panagariya
398,441,Arye L. Hillman
399,442,Asaf Zussman
400,443,Asen Ivanov
401,444,Asen Kochov
402,445,Asger Lunde
403,446,Asher Wolinsky
404,447,Ashoka Mody
405,448,Asim Ijaz Khwaja
406,449,Assaf Razin
407,450,Assar Lindbeck
408,451,Asuman Ozdaglar
409,452,Athanasios Orphanides
410,453,Atif Mian
411,454,Atila Abdulkadiroğlu
412,455,Atish R. Ghosh
413,456,Atsushi Kajii
414,457,Attila Ambrus
415,458,Aubhik Khan
416,459,Audra J. Bowlus
417,460,Augustin Landier
418,461,Aurélien Baillon
419,462,Austan Goolsbee
420,463,Avery M. Guest
421,464,Avi Goldfarb
422,465,Avi Simhon
423,466,Avi Wigderson
424,467,Avia Spivak
425,468,Aviad Heifetz
426,470,Avinash K. Dixit
427,471,Avinatan Hassidim
428,472,Aviv Nevo
429,473,Avner Bar-Ilan
430,474,Avner Ben-Ner
431,475,Avner Greif
432,476,Avner Shaked
433,476,Avner Shared
434,478,Axel Anderson
435,479,Axel Börsch-Supan
436,480,Axel Ockenfels
437,481,Ayala Arad
438,482,Ayca Kaya
439,483,Ayşe İmrohoroğlu
440,484,Ayşegül Şahin
441,485,Aytek Erdil
442,486,Azeem M. Shaikh
443,488,B. Curtis Eaton
444,489,B. Douglas Bernheim
445,490,B. Peter Pashigian
446,491,B. Peter Rosendorff
447,492,B. Piedad Urdinola
448,493,B. Ravikumar
449,494,Babu Nahata
450,495,Babur De Los Santos
451,496,Badi H. Baltagi
452,498,Balázs Szentes
453,499,Barbara J. Mace
454,500,Barbara L. Wolfe
455,501,Barbara McCutcheon
456,502,Barbara Petrongolo
457,503,Barbara Rossi
458,504,Barrett E. Kirwan
459,505,Barry C. Field
460,506,Barry Eichengreen
461,507,Barry Falk
462,508,Barry Nalebuff
463,509,Barry Naughton
464,510,Barry R. Chiswick
465,511,Barry R. Weingast
466,512,Barry Sopher
467,513,Barry W. Ickes
468,514,Bart Hobijn
469,515,Bart J. Bronnenberg
470,516,Bart J. Wilson
471,517,Bart Taub
472,518,Bartholomew Moore
473,519,Barton H. Hamilton
474,521,Barton L. Lipman
475,522,Bartosz Mackowiak
476,523,Basant K. Kapur
477,524,Bastiaan Oud
478,525,Bauke Visser
479,526,Beata Smarzynska Javorcik
480,527,Bee Yan Aw
481,528,Behzad T. Diba
482,530,Ben Craig
483,531,Ben Greiner
484,532,Ben Groom
485,533,Ben Lockwood
486,534,Ben Polak
487,535,Ben S. Bernanke
488,536,Benedikt Herrmann
489,537,Benedikt M. Pötscher
490,538,Bengt Holmstrom
491,538,Bengt Holmström
492,540,Benjamin A. Malin
493,541,Benjamin A. Olken
494,542,Benjamin Bental
495,543,Benjamin Born
496,544,Benjamin Bushong
497,545,Benjamin Conlee
498,546,Benjamin Crost
499,547,Benjamin E. Hermalin
500,548,Benjamin Edelman
501,549,Benjamin Eden
502,550,Benjamin F. Jones
503,551,Benjamin Golub
504,552,Benjamin J. Keys
505,553,Benjamin Klein
506,554,Benjamin Lester
507,555,Benjamin M. Friedman
508,556,Benjamin M. Sand
509,557,Benjamin Moll
510,558,Benjamin R. Handel
511,559,Benjamin R. Mandel
512,561,Benjamin Van Roy
513,562,Benjamin W. Bahney
514,563,Benn Eifert
515,564,Bennett T. McCallum
516,565,Benny Moldovanu
517,566,Bent E. Sørensen
518,568,Berk Özler
519,570,Bernard Fortin
520,572,Bernard Salanie
521,572,Bernard Salanié
522,573,Bernardo Guimaraes
523,574,Bernd Irlenbusch
524,575,Bernhard Von Stengel
525,577,Berthold Herrendorf
526,578,Bertil Tungodden
527,579,Bertrand Rime
528,580,Betsey Stevenson
529,581,Bev Dahlby
530,582,Bevin Ashenmiller
531,583,Bhagwan Chowdhry
532,584,Bhashkar Mazumder
533,585,Bhaskar Dutta
534,586,Bijan B. Aghevli
535,589,Bill Dupor
536,590,Bill M. Woodland
537,591,Bill Wright
538,592,Bin Chen
539,593,Birger Wernerfelt
540,594,Birgit Grodal
541,595,Birgit Heydenreich
542,596,Björn Bartling
543,597,Björn Tyrefors Hinnerich
544,598,Björn Wallace
545,599,Björn Öckert
546,600,Blaine Roberts
547,601,Blaise Melly
548,602,Bo Axell
549,603,Bo Chen
550,604,Bo E. Honoré
551,605,Bogaçhan Çelen
552,606,Botond Kőszegi
553,607,Boyan Jovanovic
554,608,Brad M. Barber
555,609,Bradford Cornell
556,610,Bram De Rock
557,611,Bram Thuysbaert
558,612,Brandice Canes-Wrone
559,613,Branko Urosevic
560,614,Brendan Daley
561,615,Brendan K. Beare
562,616,Brendan O’Flaherty
563,617,Brendan Price
564,618,Breno Braga
565,619,Brent Neiman
566,621,Brett Green
567,622,Brett Noel
568,623,Brett R. Gordon
569,625,Brian A. Jacob
570,626,Brian J. Aitken
571,627,Brian Blackburn
572,628,Brian Bowen
573,629,Brian C. Murray
574,631,Brian D. Bell
575,632,Brian D. Kelly
576,633,Brian D. Wright
577,634,Brian Duncan
578,635,Brian Frantz
579,636,Brian L. Goff
580,637,Brian Hill
581,638,Brian J. Hall
582,640,Brian K. Kovak
583,641,Brian Knight
584,642,Brian L. Bentick
585,643,Brian Merlob
586,644,Brian P. McCall
587,645,Brian R. Copeland
588,646,Brian Sack
589,647,Brian T. Melzer
590,648,Brian Wallace
591,649,Bridger M. Mitchell
592,650,Bridget Terry Long
593,651,Brigitte C. Madrian
594,652,Brit Grosskopf
595,653,Brook S. Payner
596,654,Brooke Helppie McFall
597,655,Brooks Pierce
598,656,Bruce A. Blonigen
599,657,Bruce A. Weinberg
600,658,Bruce Bender
601,660,Bruce C. Greenwald
602,661,Bruce C. Petersen
603,662,Bruce Champ
604,663,Bruce D. Meyer
605,664,Bruce D. Smith
606,665,Bruce E. Hansen
607,666,Bruce Hay
608,667,Bruce I. Sacerdote
609,668,Bruce Ian Carlin
610,669,Bruce N. Lehmann
611,670,Bruce Preston
612,671,Bruce Rhodes
613,672,Bruce Robert Kingma
614,674,Bruce W. Hamilton
615,675,Bruno Biais
616,676,Bruno Broseta
617,677,Bruno Crépon
618,678,Bruno Ferman
619,680,Bruno L. S. Falcão
620,681,Bruno S. Frey
621,682,Bruno Strulovici
622,683,Bryan E. Stanhouse
623,684,Bryan Ellickson
624,685,Bryan L. Boulier
625,686,Bryan S. Graham
626,687,Burcu Eyigungor
627,689,Burhanettin Kuruscu
628,690,Burton A. Abrams
629,691,Byong-Hyong Bahk
630,692,Byoung Jun
631,693,Byron F. Lutz
632,694,Byron W. Brown
633,695,Byung Sam Yoo
634,696,Byung-Kun Rhee
635,697,Bård Harstad
636,698,C. Duncan MacRae
637,699,C. Fritz Foley
638,6320,Christian Gourieroux
639,701,Christian Hansen
640,702,C. Lanier Benkard
641,703,Costas Meghir
642,704,C. Paul Hallwood
643,705,C. Timothy Koeller
644,706,C. Y. Cyrus Chu
645,707,Caglar Ozden
646,708,Camelia Minoiu
647,709,Camille Landais
648,710,Camillo Padoa-Schioppa
649,711,Campbell R. Harvey
650,712,Canice Prendergast
651,713,Cara S. Lown
652,714,Caralee McLiesh
653,715,Carl A. Futia
654,716,Carl Davidson
655,717,Carl E. Walsh
656,718,"Carl M. Campbell, III"
657,719,Carl Shapiro
658,720,Carl Wennerlind
659,721,Carlos A. Flores
660,722,Carlos A. Végh
661,724,Carlos Alfredo Rodriguez
662,724,Carlos Alfredo Rodríguez
663,725,Carlos Carvalho
664,726,Carlos Dobkin
665,727,Carlos E. da Costa
666,728,Carlos J. Ponce
667,729,Carlos Rodríguez-Palmero
668,730,Carlos Urrutia
669,731,Carlos Velasco
670,732,Carlton Hubbard
671,733,Carmen F. Menezes
672,734,Carmen M. Reinhart
673,736,Carmen Tanner
674,737,Carol Ann Rogers
675,738,Carol J. Simon
676,739,Carol Propper
677,740,Carol Shiue
678,741,Carolina Castilla
679,742,Carolina Villegas-Sanchez
680,743,Caroline Freund
681,746,Caroline Minter Hoxby
682,747,Caroline Ratcliffe
683,748,Carolyn B. Levine
684,749,Carolyn Evans
685,750,Carolyn Fischer
686,751,Carolyn L. Weaver
687,752,Carsten Trenkler
688,753,Cary Deck
689,754,Casey B. Mulligan
690,755,Casey Ichniowski
691,756,Casey Rothschild
692,757,Cass R. Sunstein
693,758,Catalina Amuedo-Dorantes
694,759,Caterina Calsamiglia
695,760,Catherine C. Eckel
696,761,Catherine D. Wolfram
697,762,Catherine E. Tucker
698,764,Catherine J. Morrison
699,765,Catherine J. Morrison Paul
700,766,Catherine Thomas
701,769,Cecilia Elena Rouse
702,771,Celeste Saravia
703,772,Cezar Santos
704,773,Chad Kendall
705,774,Chad P. Bown
706,775,Chad Syverson
707,776,Chaehee Shin
708,777,Chaim Fershtman
709,778,Chang-Tai Hsieh
710,779,Changyong Rhee
711,780,Chantale LaCasse
712,781,Chao Fu
713,782,Chao Gu
714,784,"Charles A. Holt, Jr."
715,785,Charles A. M. de Bartolome
716,786,Charles A. Wilson
717,787,Charles Bellemare
718,789,Charles Brown
719,790,Charles C. Cox
720,793,Charles D. Kolstad
721,796,Charles E. Phelps
722,797,Charles E. Stuart
723,798,Charles Engel
724,799,Charles F. Manski
725,800,Charles G. Geiss
726,801,Charles H. Whiteman
727,802,Charles Hokayem
728,804,Charles I. Jones
729,805,Charles I. Plosser
730,806,Charles J. Cicchetti
731,807,Charles J. Jacklin
732,808,Charles J. Redlick
733,811,Charles L. Ballard
734,812,Charles L. Evans
735,813,Charles M. Kahn
736,814,Charles Michalopoulos
737,815,Charles Morcom
738,816,Charles N. Noussair
739,817,Charles Nolan
740,820,Charles R. Hulten
741,821,Charles R. Link
742,822,Charles R. Nelson
743,823,Charles R. Pierret
744,824,Charles R. Plott
745,825,Charles Sprenger
746,827,Charles T. Carlstrom
747,828,Charles T. Clotfelter
748,829,Charles Towe
749,830,Charles W. Calomiris
750,833,Charles Zhoucheng Zheng
751,834,Charlotte Ostergaard
752,835,Chau-nan Chen
753,836,Che-Lin Su
754,837,Chemi Gotlibovski
755,838,Cheng Wang
756,839,Chenggang Xu
757,840,Chenghuan Sean Chu
758,841,Cheryl Gray
759,842,Chester S. Spatt
760,844,Chew Soo Hong
761,845,Chi-Keung Woo
762,846,Chiaki Hara
763,847,Chiara Fumagalli
764,848,Chihwa Kao
765,849,Ching-to Albert Ma
766,851,Chinhui Juhn
767,852,Chip Heath
768,853,Chirok Han
769,854,Chong Xiang
770,855,Choon-Geol Moon
771,856,Chris Bidner
772,857,Chris Edmond
773,858,Chris Forman
774,859,Chris I. Telmer
775,860,Chris J. McKenna
776,861,Chris Nosko
777,862,Chris Robinson
778,863,Chris Shannon
779,864,Chris Starmer
780,866,Christian Bayer
781,867,Christian Bontemps
782,868,Christian Broda
783,869,Christian Dippel
784,870,Christian Dustmann
785,871,Christian Fons-Rosen
786,872,Christian Francq
787,873,Christian Gollier
788,875,Christian Hellwig
789,876,Christian Julliard
790,877,Christian Morrisson
791,878,Christian Riis
792,879,Christian Zehnder
793,880,Christiana E. Hilmer
794,881,Christina D. Romer
795,882,Christina H. Paxson
796,885,Christine L. Soutter
797,886,Christine A. Parlour
798,887,Christoph Brunner
799,888,Christoph March
800,889,Christoph Rothe
801,890,Christoph Vanberg
802,891,Christophe Chamley
803,892,Christophe Spaenjers
804,893,Christopher A. Parsons
805,894,Christopher A. Pissarides
806,895,Christopher A. Powers
807,896,Christopher A. Sims
808,898,Christopher Blattman
809,899,Christopher Bliss
810,900,Christopher C. Geczy
811,902,Christopher Cotton
812,903,Christopher D. Carroll
813,904,Christopher F. Baum
814,905,Christopher F. Goetz
815,906,Christopher Hanes
816,907,Christopher Harris
817,909,Christopher I. Rider
818,910,Christopher J. Ellis
819,911,Christopher J. Erceg
820,912,Christopher J. Flinn
821,913,Christopher J. Mayer
822,914,Christopher J. Palmer
823,915,Christopher J. Ruhm
824,916,Christopher J. Waller
825,917,Christopher Johnsen
826,919,Christopher L. Cavanagh
827,920,Christopher L. Foote
828,921,Christopher L. House
829,922,Christopher M. Snyder
830,923,Christopher Malloy
831,925,Christopher N. Avery
832,926,Christopher Neilson
833,927,Christopher Otrok
834,928,Christopher P. Chambers
835,929,Christopher Phelan
836,931,Christopher Polk
837,932,Christopher R. Knittel
838,933,Christopher R. Taber
839,934,Christopher R. Thomas
840,935,Christopher R. Udry
841,937,Christopher T. Dawes
842,938,Christopher T. Taylor
843,941,Christopher Timmins
844,942,Christopher Tonetti
845,944,Christopher Woodruff
846,945,Christos Genakos
847,946,Christos Ioannidis
848,947,Chun-Yi Yang
849,948,Chunlin Liu
850,949,Chunrong Ai
851,950,Chunyan Hao
852,951,Cindy K. Soo
853,952,Claire Friedland
854,953,Claire Lelarge
855,954,Claire S. H. Lim
856,955,Clara Vega
857,956,Clare Leaver
858,957,Clarice Pechman
859,958,Clark Nardinelli
860,959,Claude Diebolt
861,961,Claudia D. Goldin
862,963,Claudia M. Landeo
863,964,Claudia Olivetti
864,965,Claudia Ruiz
865,966,Claudio Ferraz
866,967,Claudio Lucarelli
867,968,Claudio Mezzetti
868,969,Claudio Michelacci
869,970,Claus Thustrup Kreiner
870,971,Clemens Puppe
871,972,Clemens Sialm
872,973,Cliff Walsh
873,974,Clifford M. Hurvich
874,975,"Clifford W. Smith, Jr."
875,976,Clifford Winston
876,977,Clive Bell
877,978,Clive Bull
878,979,Clyde G. Reed
879,980,Coen N. Teulings
880,983,Colin F. Camerer
881,984,Colin Lawrence
882,985,Colin M. Campbell
883,986,Colin Stewart
884,987,Colin W. Clark
885,988,Coralio Ballester
886,989,Coren L. Apicella
887,990,Cormac O Grada
888,991,Corry Azzi
889,992,Cosmin L. Ilut
890,993,Costas Arkolakis
891,994,Costas Azariadis
892,996,Costis Skiadas
893,997,Cotton M. Lindsay
894,998,Courtney C. Coile
895,999,Craig Brett
896,1000,Craig Burnside
897,1001,Craig E. Landry
898,1002,Craig Garthwaite
899,1003,Craig McIntosh
900,1004,Craig O. Brown
901,1005,Craig R. Fox
902,1006,Cristian Pop-Eleches
903,1007,Cristina Arellano
904,1008,Curtis Carlson
905,1009,Curtis J. Simon
906,1010,Curtis R. Taylor
907,1013,Cynthia A. Montgomery
908,1014,Cynthia Bansak
909,1015,Cynthia Kinnan
910,1016,Cyril Monnet
911,1017,Cédric Ceulemans
912,1018,Cédric Tille
913,1020,D. Marc Kilgour
914,1021,D. Scott Lee
915,1022,D. T. Ulph
916,1024,Daan P. Van Soest
917,1027,Dahlia Remler
918,1028,Daigee Shaw
919,1029,Daiji Kawaguchi
920,1030,Daisuke Nakajima
921,1031,Dale Ballou
922,1032,"Dale O. Stahl, II"
923,1033,Dale T. Mortensen
924,1034,Dale W. Henderson
925,1035,Dale W. Jorgenson
926,1036,Dalia Marin
927,1037,Dallas Burtraw
928,1038,Dalton Conley
929,1039,Damien Sheehan-Connor
930,1040,Damon Clark
931,1041,Dan A. Black
932,1042,Dan Ariely
933,1043,Dan Ben-David
934,1044,Dan Bernhardt
935,1046,Dan Knoepfle
936,1047,Dan Kopf
937,1048,Dan Levin
938,1049,Dan M. Levy
939,1050,Dan Peled
940,1051,Dan Silverman
941,1052,Dan T. Rosenbaum
942,1053,Dan Usher
943,1054,Dan-Olof Rooth
944,1055,Dana Chandler
945,1057,Dana P. Goldman
946,1058,Dana W. Placzek
947,1059,Dani Rodrik
948,1060,Daniel A. Ackerberg
949,1061,Daniel A. Graham
950,1062,Daniel A. Sumner
951,1063,Daniel Aaronson
952,1065,Daniel Berger
953,1066,Daniel Bergstresser
954,1068,Daniel Chiquiar
955,1069,Daniel Cohen
956,1070,Daniel Diermeier
957,1071,Daniel F. Garrett
958,1072,Daniel F. Spulber
959,1073,Daniel F. Waggoner
960,1074,Daniel Friedman
961,1076,Daniel H. Karney
962,1077,Daniel H. Saks
963,1079,Daniel Hartley
964,1080,Daniel Hosken
965,1081,Daniel Houser
966,1083,Daniel John Zizzo
967,1084,Daniel J. Benjamin
968,1085,Daniel Kahneman
969,1086,Daniel Kaufmann
970,1088,Daniel L. Chen
971,1089,Daniel L. McFadden
972,1090,Daniel L. Rubinfeld
973,1091,Daniel L. Wisecarver
974,1092,Daniel Lederman
975,1093,Daniel Leigh
976,1094,Daniel Levy
977,1095,Daniel M. Bernhofen
978,1096,Daniel M. G. Raff
979,1097,Daniel M. Hungerman
980,1098,Daniel M. Sturm
981,1099,Daniel Martin
982,1100,Daniel Muller
983,1101,Daniel Münich
984,1102,Daniel Nagin
985,1103,Daniel P. Kessler
986,1104,Daniel P. O'Brien
987,1105,Daniel Parent
988,1106,Daniel Quint
989,1107,Daniel R. Siegel
990,1108,Daniel R. Vincent
991,1109,Daniel S. Hamermesh
992,1110,Daniel Shoag
993,1112,Daniel Stein
